Time,25W,25X,25Y
0.000,1678,1954,1544
0.020,1697,1958,1574
0.040,1691,1953,1563
0.060,1692,1967,1547
0.080,1696,1955,1565
0.100,1704,1955,1607
0.120,1704,1951,1535
0.140,1687,1957,1547
0.160,1688,1953,1540
0.180,1691,1957,1572
0.200,1701,1955,1577
0.220,1701,1954,1570
0.240,1690,1954,1568
0.260,1701,1953,1556
0.280,1690,1956,1566
0.300,1691,1953,1562
0.320,1707,1953,1581
0.340,1698,1956,1572
0.360,1705,1952,1556
0.380,1692,1964,1551
0.400,1700,1959,1556
0.420,1692,1956,1569
0.440,1695,1962,1559
0.460,1691,1956,1522
0.480,1697,1954,1577
0.500,1701,1957,1604
0.520,1701,1961,1570
0.540,1694,1948,1567
0.560,1712,1957,1563
0.580,1696,1958,1573
0.600,1699,1955,1561
0.620,1702,1957,1573
0.640,1700,1953,1575
0.660,1692,1960,1554
0.680,1699,1959,1581
0.700,1705,1970,1600
0.720,1699,1954,1554
0.740,1692,1954,1581
0.760,1706,1948,1566
0.780,1705,1961,1579
0.800,1690,1951,1576
0.820,1692,1953,1564
0.840,1694,1959,1567
0.860,1688,1958,1561
0.880,1681,1959,1551
0.900,1701,1960,1587
0.920,1694,1960,1560
0.940,1681,1954,1561
0.960,1698,1955,1572
0.980,1699,1962,1571
1.000,1693,1957,1604
1.020,1696,1951,1563
1.040,1710,1954,1572
1.060,1691,1960,1573
1.080,1692,1957,1594
1.100,1700,1957,1612
1.120,1693,1955,1581
1.140,1695,1956,1500
1.160,1697,1956,1562
1.180,1685,1961,1585
1.200,1701,1951,1614
1.220,1700,1957,1555
1.240,1685,1966,1568
1.260,1695,1954,1578
1.280,1695,1960,1593
1.300,1705,1961,1592
1.320,1688,1953,1545
1.340,1694,1961,1558
1.360,1702,1954,1588
1.380,1697,1960,1575
1.400,1698,1962,1575
1.420,1690,1958,1560
1.440,1699,1950,1517
1.460,1687,1956,1552
1.480,1693,1955,1593
1.500,1698,1959,1582
1.520,1697,1954,1567
1.540,1686,1949,1535
1.560,1704,1960,1579
1.580,1694,1955,1564
1.600,1700,1957,1599
1.620,1695,1958,1559
1.640,1681,1957,1526
1.660,1696,1952,1585
1.680,1696,1956,1581
1.700,1703,1972,1603
1.720,1695,1956,1563
1.740,1686,1950,1559
1.760,1686,1959,1532
1.780,1699,1958,1577
