Time,W,X,Y
0.000,2121,1717,429
0.020,2116,1709,433
0.040,2117,1717,428
0.060,2117,1717,428
0.080,2113,1717,431
0.100,2118,1715,438
0.120,2113,1717,431
0.140,2118,1715,438
0.160,2119,1709,431
0.180,2119,1709,431
0.200,2113,1712,427
0.220,2127,1720,435
0.240,2127,1720,435
0.260,2112,1716,431
0.280,2112,1716,431
0.300,2118,1718,440
0.320,2118,1718,440
0.340,2110,1712,428
0.360,2110,1712,428
0.380,2113,1709,430
0.400,2122,1710,446
0.420,2116,1716,429
0.440,2116,1716,429
0.460,2113,1714,429
0.480,2113,1714,429
0.500,2118,1711,425
0.520,2118,1711,425
0.540,2110,1716,424
0.560,2105,1703,420
0.580,2105,1703,420
0.600,2120,1715,432
0.620,2120,1715,432
0.640,2107,1719,438
0.660,2116,1709,437
0.680,2116,1709,437
0.700,2110,1714,425
0.720,2110,1714,425
0.740,2115,1706,424
0.760,2115,1706,424
0.780,2117,1716,434
0.800,2117,1716,434
0.820,2110,1709,434
0.840,2110,1709,434
0.860,2119,1716,429
0.880,2119,1716,429
0.900,2113,1719,429
0.920,2113,1719,429
0.940,2118,1714,435
0.960,2118,1714,435
0.980,2118,1710,430
1.000,2118,1710,430
1.020,2118,1714,439
1.040,2118,1714,439
1.060,2117,1716,435
1.080,2117,1716,435
1.100,2120,1712,432
1.120,2120,1712,432
1.140,2119,1719,431
1.160,2119,1719,431
1.180,2124,1719,424
1.200,2124,1719,424
1.220,2109,1717,441
1.240,2109,1717,441
1.260,2117,1717,427
1.280,2117,1717,427
1.300,2119,1716,426
1.320,2119,1716,426
1.340,2124,1713,444
1.360,2124,1713,444
1.380,2122,1708,434
1.400,2122,1708,434
1.420,2109,1715,434
1.440,2109,1715,434
1.460,2104,1716,415
1.480,2104,1716,415
1.500,2113,1722,429
1.520,2113,1722,429
1.540,2122,1720,435
1.560,2122,1720,435
1.580,2120,1718,433
1.600,2120,1718,433
1.620,2116,1713,434
1.640,2116,1713,434
1.660,2119,1717,428
1.680,2119,1717,428
1.700,2105,1710,428
1.720,2105,1710,428
1.740,2113,1715,427
1.760,2113,1715,427
1.780,2114,1716,431
1.800,2114,1716,431
1.820,2115,1717,440
1.840,2115,1717,440
1.860,2107,1709,432
1.880,2107,1709,432
1.900,2117,1719,438
1.920,2117,1719,438
1.940,2121,1716,439
1.960,2121,1716,439
1.980,2121,1716,436
2.000,2121,1716,436
2.020,2118,1716,440
2.040,2118,1716,440
2.060,2119,1716,438
2.080,2119,1716,438
2.100,2115,1703,421
2.120,2115,1703,421
2.140,2122,1712,425
2.160,2122,1712,425
2.180,2117,1713,436
2.200,2117,1713,436
2.220,2118,1710,438
2.240,2118,1710,438
2.260,2112,1712,428
2.280,2112,1712,428
2.300,2112,1708,420
2.320,2112,1708,420
2.340,2118,1720,435
2.360,2118,1720,435
2.380,2114,1715,434
2.400,2114,1715,434
2.420,2112,1711,431
2.440,2112,1711,431
2.460,2114,1736,423
2.480,2114,1736,423
2.500,2117,1701,427
2.520,2117,1701,427
2.540,2112,1718,416
2.560,2112,1718,416
2.580,2117,1706,428
2.600,2117,1706,428
2.620,2116,1703,439
2.640,2116,1703,439
2.660,2116,1711,436
2.680,2116,1711,436
2.700,2101,1709,409
2.720,2101,1709,409
2.740,2120,1719,422
2.760,2120,1719,422
2.780,2116,1720,432
2.800,2116,1720,432
2.820,2109,1745,428
2.840,2109,1745,428
2.860,2110,1711,432
2.880,2110,1711,432
2.900,2113,1699,421
2.920,2113,1699,421
2.940,2115,1707,421
2.960,2115,1707,421
2.980,2111,1711,432
3.000,2111,1711,432
3.020,2120,1711,428
3.040,2120,1711,428
3.060,2122,1715,438
3.080,2122,1715,438
3.100,2113,1708,426
3.120,2113,1708,426
3.140,2107,1710,428
3.160,2107,1710,428
3.180,2121,1707,431
3.200,2121,1707,431
3.220,2115,1721,434
3.240,2115,1721,434
3.260,2110,1713,433
3.280,2110,1713,433
