Time,25W,25X,25Y
0.000,1715,1959,1531
0.020,1717,1957,1532
0.040,1703,1956,1521
0.060,1714,1959,1525
0.080,1714,1960,1530
0.100,1716,1954,1552
0.120,1716,1959,1526
0.140,1711,1967,1547
0.160,1710,1958,1530
0.180,1714,1956,1539
0.200,1712,1960,1554
0.220,1703,1957,1528
0.240,1724,1956,1533
0.260,1713,1963,1523
0.280,1714,1955,1520
0.300,1714,1964,1538
0.320,1714,1965,1537
0.340,1728,1964,1522
0.360,1717,1960,1524
0.380,1703,1960,1531
0.400,1716,1958,1542
0.420,1715,1956,1533
0.440,1720,1951,1526
0.460,1720,1957,1525
0.480,1722,1956,1529
0.500,1715,1964,1533
0.520,1720,1959,1517
0.540,1711,1955,1521
0.560,1718,1957,1539
0.580,1713,1955,1507
0.600,1722,1960,1563
0.620,1719,1958,1530
0.640,1708,1956,1512
0.660,1718,1957,1533
0.680,1713,1955,1511
0.700,1715,1958,1536
0.720,1707,1957,1525
0.740,1710,1953,1518
0.760,1711,1959,1526
0.780,1706,1960,1503
0.800,1714,1960,1528
0.820,1714,1957,1535
0.840,1728,1961,1545
0.860,1715,1951,1534
0.880,1706,1964,1510
0.900,1717,1954,1536
0.920,1711,1958,1534
0.940,1723,1961,1542
0.960,1719,1960,1524
0.980,1712,1959,1502
1.000,1710,1958,1531
1.020,1720,1956,1535
1.040,1720,1952,1527
1.060,1713,1968,1532
1.080,1711,1963,1517
1.100,1713,1960,1512
1.120,1719,1959,1550
1.140,1715,1961,1542
1.160,1712,1958,1556
1.180,1700,1954,1516
1.200,1716,1955,1530
1.220,1725,1963,1536
1.240,1721,1956,1534
1.260,1711,1959,1558
1.280,1712,1959,1541
1.300,1711,1961,1540
1.320,1714,1961,1582
1.340,1703,1960,1526
1.360,1713,1961,1531
1.380,1705,1956,1527
1.400,1713,1958,1539
1.420,1719,1964,1543
1.440,1724,1956,1549
1.460,1713,1956,1533
1.480,1706,1946,1508
1.500,1719,1960,1526
1.520,1725,1961,1541
1.540,1711,1961,1515
1.560,1715,1955,1518
1.580,1709,1961,1505
1.600,1708,1955,1530
1.620,1711,1959,1538
1.640,1714,1962,1532
1.660,1720,1959,1525
1.680,1711,1955,1514
1.700,1705,1955,1530
1.720,1711,1965,1531
1.740,1709,1961,1535
1.760,1715,1962,1531
1.780,1707,1957,1527
1.800,1719,1959,1531
1.820,1711,1959,1537
1.840,1711,1964,1565
1.860,1713,1961,1525
1.880,1706,1960,1549
1.900,1720,1962,1537
1.920,1712,1964,1547
1.940,1719,1959,1543
1.960,1717,1964,1520
1.980,1706,1956,1526
2.000,1715,1958,1535
2.020,1726,1961,1546
2.040,1712,1957,1543
2.060,1717,1958,1523
2.080,1718,1961,1528
2.100,1708,1959,1526
2.120,1712,1964,1537
2.140,1713,1960,1531
2.160,1711,1961,1528
2.180,1711,1959,1523
2.200,1715,1965,1530
2.220,1715,1962,1567
2.240,1722,1960,1532
2.260,1714,1958,1527
2.280,1714,1958,1527
2.300,1721,1959,1537
2.320,1729,1958,1570
2.340,1709,1957,1535
2.360,1717,1960,1531
2.380,1710,1962,1513
2.400,1717,1960,1531
2.420,1719,1957,1542
2.440,1722,1958,1531
2.460,1717,1952,1534
2.480,1719,1956,1531
2.500,1716,1955,1536
2.520,1704,1955,1527
2.540,1735,1960,1522
2.560,1715,1958,1525
2.580,1720,1961,1537
2.600,1707,1955,1529
2.620,1714,1962,1531
2.640,1720,1958,1527
2.660,1721,1956,1535
2.680,1699,1958,1535
2.700,1716,1958,1546
2.720,1707,1960,1532
2.740,1711,1958,1526
2.760,1718,1962,1530
2.780,1708,1951,1533
2.800,1714,1962,1536
2.820,1713,1965,1533
2.840,1729,1957,1514
2.860,1720,1941,1533
2.880,1727,1959,1553
2.900,1713,1965,1533
2.920,1724,1957,1542
2.940,1711,1954,1530
2.960,1711,1959,1535
2.980,1722,1961,1517
3.000,1718,1956,1556
3.020,1725,1957,1560
3.040,1713,1963,1529
3.060,1719,1958,1525
3.080,1710,1959,1549
3.100,1718,1964,1530
3.120,1699,1956,1540
3.140,1720,1963,1525
3.160,1716,1965,1527
3.180,1726,1958,1511
3.200,1728,1958,1525
3.220,1736,1956,1553
3.240,1723,1957,1527
3.260,1725,1956,1511
3.280,1711,1961,1526
3.300,1705,1961,1553
3.320,1710,1957,1555
3.340,1708,1959,1529
3.360,1709,1964,1526
3.380,1708,1964,1530
3.400,1709,1959,1519
3.420,1707,1960,1527
3.440,1711,1959,1526
3.460,1705,1961,1526
3.480,1707,1959,1538
3.500,1706,1954,1531
3.520,1703,1963,1560
3.540,1704,1962,1552
3.560,1704,1962,1548
3.580,1711,1958,1537
3.600,1712,1964,1546
3.620,1712,1946,1519
3.640,1714,1955,1517
3.660,1711,1956,1552
3.680,1722,1957,1521
3.700,1716,1958,1519
3.720,1715,1954,1531
3.740,1713,1962,1528
3.760,1700,1972,1504
3.780,1707,1966,1519
3.800,1709,1962,1520
3.820,1710,1962,1531
