Time,25W,25X,25Y
0.000,1344,1710,4025
0.020,1426,1714,4095
0.040,1314,1716,3792
0.060,1426,1714,4095
0.080,1314,1716,3792
0.100,1183,1710,3468
0.120,1183,1710,3468
0.140,1293,1711,3863
0.160,1364,1720,4023
0.180,1293,1711,3863
0.200,1364,1720,4023
0.220,1396,1720,4095
0.240,1293,1718,3807
0.260,1181,1706,3489
0.280,1181,1706,3489
0.300,1314,1714,3852
0.320,1351,1720,4031
0.340,1429,1715,4095
0.360,1429,1715,4095
0.380,1309,1709,3767
0.400,1309,1709,3767
0.420,1187,1707,3455
0.440,1187,1707,3455
0.460,1327,1716,3853
0.480,1327,1716,3853
0.500,1353,1717,4014
0.520,1353,1717,4014
0.540,1417,1712,4095
0.560,1417,1712,4095
0.580,1294,1710,3779
0.600,1294,1710,3779
0.620,1187,1713,3475
0.640,1187,1713,3475
0.660,1289,1720,3878
0.680,1345,1718,4050
0.700,1289,1720,3878
0.720,1345,1718,4050
0.740,1439,1715,4095
0.760,1439,1715,4095
0.780,1308,1718,3817
0.800,1308,1718,3817
0.820,1175,1707,3442
0.840,1175,1707,3442
0.860,1303,1718,3872
0.880,1303,1718,3872
0.900,1329,1721,4012
0.920,1329,1721,4012
0.940,1430,1718,4095
0.960,1430,1718,4095
0.980,1292,1715,3799
1.000,1292,1715,3799
1.020,1197,1715,3503
1.040,1197,1715,3503
1.060,1291,1708,3832
1.080,1291,1708,3832
1.100,1346,1726,4027
1.120,1346,1726,4027
1.140,1438,1720,4095
1.160,1438,1720,4095
1.180,1296,1709,3808
1.200,1296,1709,3808
1.220,1185,1716,3490
1.240,1185,1716,3490
1.260,1320,1710,3850
1.280,1320,1710,3850
1.300,1348,1709,4018
1.320,1348,1709,4018
1.340,1408,1728,4095
1.360,1408,1728,4095
1.380,1300,1720,3817
1.400,1300,1720,3817
1.420,1191,1712,3536
1.440,1191,1712,3536
1.460,1305,1706,3847
1.480,1305,1706,3847
1.500,1343,1713,4016
1.520,1343,1713,4016
1.540,1443,1710,4095
1.560,1443,1710,4095
1.580,1299,1720,3795
1.600,1299,1720,3795
1.620,1221,1707,3610
1.640,1221,1707,3610
1.660,1300,1720,3870
1.680,1300,1720,3870
1.700,1375,1714,3990
1.720,1375,1714,3990
1.740,1456,1719,4095
1.760,1456,1719,4095
