Time,25W,25X,25Y
0.000,1707,1957,1587
0.020,1699,1964,1581
0.040,1704,1965,1581
0.060,1694,1963,1569
0.080,1699,1961,1584
0.100,1709,1959,1588
0.120,1708,1958,1583
0.140,1716,1962,1581
0.160,1702,1960,1557
0.180,1706,1966,1519
0.200,1710,1960,1512
0.220,1708,1961,1509
0.240,1708,1963,1511
0.260,1686,1959,1513
0.280,1692,1957,1617
0.300,1701,1963,1549
0.320,1701,1958,1577
0.340,1702,1957,1603
0.360,1704,1959,1594
0.380,1705,1965,1528
0.400,1712,1964,1527
0.420,1703,1957,1513
0.440,1705,1957,1579
0.460,1698,1953,1577
0.480,1703,1958,1589
0.500,1707,1962,1609
0.520,1708,1960,1520
0.540,1703,1962,1572
0.560,1707,1960,1597
0.580,1706,1957,1597
0.600,1720,1957,1514
0.620,1701,1968,1506
0.640,1704,1960,1512
0.660,1705,1967,1588
0.680,1699,1962,1575
0.700,1692,1954,1599
0.720,1704,1960,1509
0.740,1717,1957,1609
0.760,1709,1962,1605
0.780,1708,1961,1596
0.800,1705,1954,1646
0.820,1703,1960,1588
0.840,1703,1960,1577
0.860,1703,1961,1581
0.880,1700,1957,1594
0.900,1707,1961,1616
0.920,1704,1960,1599
0.940,1706,1954,1584
0.960,1707,1961,1581
0.980,1700,1960,1586
1.000,1704,1957,1584
1.020,1696,1957,1600
1.040,1700,1958,1502
1.060,1710,1959,1501
1.080,1698,1957,1581
1.100,1703,1965,1553
1.120,1702,1959,1550
1.140,1698,1956,1521
1.160,1703,1959,1589
1.180,1706,1964,1553
1.200,1711,1961,1571
1.220,1709,1956,1534
1.240,1698,1959,1534
1.260,1701,1959,1568
1.280,1694,1957,1544
1.300,1701,1966,1570
1.320,1702,1964,1544
1.340,1702,1960,1532
1.360,1702,1955,1541
1.380,1700,1957,1535
1.400,1709,1963,1559
1.420,1697,1958,1566
1.440,1715,1957,1577
1.460,1698,1960,1592
1.480,1695,1960,1582
1.500,1710,1962,1591
1.520,1706,1961,1581
1.540,1703,1957,1588
1.560,1699,1959,1555
1.580,1691,1959,1577
