Time,25W,25X,25Y
0.0,2065.3560233428393,1757.5646333504276,3524.901572695989
0.02,2082.0499020917464,1752.1926904317006,3639.4873577608446
0.04,2078.158094867925,1719.5275409326546,3650.8284083405842
0.06,2114.127236208581,1661.0011507224074,3383.12874253231
0.08,2089.7113806677426,1710.3395731850023,3364.032658347816
0.1,2106.0069330259744,1712.7194398786705,3854.162178434892
0.12,2054.079441828114,1646.2310583265287,3791.4917816538896
0.14,2087.010086986722,1723.900628150911,4062.1198015164314
0.16,2031.4022152652337,1681.8809923324425,3932.3823093093997
0.18,2086.5456738553694,1732.4221220861746,3760.002013585831
0.2,2044.0005355144294,1751.036541785644,3311.4395271077115
0.22,2036.590634857789,1666.1669564904441,3539.0587271902077
0.24,2087.711366542809,1662.2259841806326,3460.4675107244707
0.26,2084.3260191622667,1730.582763193434,3512.626590814525
0.28,2056.812993658271,1662.391872334168,3281.1158067780207
0.3,2082.3887110275705,1738.682763166617,3798.444775823962
0.32,2056.6939311344836,1719.6642980705178,3820.7874285194894
0.34,2058.830907337074,1697.5585944068114,3926.8829060893504
0.36,2065.622732764907,1722.441186135009,3668.9026527682254
0.38,2114.6156577221086,1693.5785953810075,3709.392815425848
0.4,2095.3975069485873,1643.1537131169473,3497.420942827713
0.42,1991.6145809885738,1671.757797502035,3114.4657997424133
0.44,2141.9706792690135,1756.5242674436838,3221.8156943410154
0.46,1996.2140239183248,1715.5878516919083,3840.1173879900107
0.48,2044.9652913774203,1745.4539965619863,3834.486406888043
0.5,2128.931424764342,1717.938351826523,4254.308895747528
0.52,2055.5564505825046,1693.248267441316,4116.507147594693
0.54,2093.846259851167,1748.9487566823502,3601.789830456005
0.56,2100.3699817429347,1726.5193898022285,3745.839571727944
0.58,2057.226453741813,1662.331007390709,3264.0925906869975
0.6,2125.339989268803,1764.0810379872105,3212.789419141498
0.62,2117.672135860288,1766.4220454920312,4008.715318901595
0.64,2108.9392409538923,1670.9865245605708,4056.2733983060925
0.66,2100.8333285280078,1727.0218837315888,3936.0286315978706
0.68,2201.11243931177,1745.706062621997,4073.928052501281
0.7,2073.9519175036735,1712.3554158736808,3814.5015691285894
0.72,2116.342605343607,1806.5549648963956,3598.913415556924
0.74,2130.2682598897995,1696.0541468273718,3599.7499902504196
0.76,2143.350227165961,1704.7313769615066,3444.718396232857
0.78,2146.7968097629973,1808.754336091839,3473.4834961504066
0.8,2089.1559453475006,1665.994843277141,3215.135072456472
0.82,2088.7600096670903,1716.4425599055269,3802.005210761706
0.84,2133.5817670915976,1739.3470397949377,3857.845262029235
0.86,2063.6703106131035,1742.5288873804388,3767.47947427606
0.88,2051.4458820346326,1677.2362131366115,4126.3516773643405
0.9,2121.1980281503684,1755.2346051450493,3839.6611610757827
0.92,2061.359623548655,1697.564506443978,4019.8116996336207
0.94,2082.9191523054164,1679.4321248139531,3576.021620050495
0.96,2085.576302760959,1747.4666557177732,3460.2793720185114
0.98,2087.1706025996946,1657.2059780477919,3419.1917917489227
1.0,2097.175351962737,1708.8560957506502,3445.0603194028417
1.02,2126.675701432142,1697.8769553434072,3761.2747941832013
1.04,2156.7577389555013,1700.4958558371632,3632.2473707641357
1.06,2058.4063889467825,1743.3654502673096,3821.6934027098614
1.08,2098.342405202973,1687.5671871473194,4186.327862575763
