Time,25W,25X,25Y
0.000,2115,1736,3155
0.020,2124,1735,4036
0.040,2124,1735,4036
0.060,2120,1733,4095
0.080,2120,1733,4095
0.100,2115,1729,3995
0.120,2115,1729,3995
0.140,2120,1733,3454
0.160,2120,1733,3454
0.180,2119,1736,3104
0.200,2114,1740,3989
0.220,2119,1736,3104
0.240,2114,1740,3989
0.260,2113,1739,4095
0.280,2119,1741,4044
0.300,2119,1741,4044
0.320,2111,1741,3539
0.340,2111,1741,3539
0.360,2116,1730,2935
0.380,2116,1730,2935
0.400,2116,1737,3951
0.420,2116,1737,3951
0.440,2118,1738,4095
0.460,2116,1744,4059
0.480,2119,1732,3605
0.500,2119,1732,3605
0.520,2108,1735,2843
0.540,2108,1735,2843
0.560,2117,1736,4012
0.580,2117,1736,4012
0.600,2115,1733,4095
0.620,2115,1733,4095
0.640,2109,1737,4047
0.660,2109,1737,4047
0.680,2114,1747,3633
0.700,2114,1747,3633
0.720,2109,1729,2848
0.740,2109,1729,2848
0.760,2117,1730,4035
0.780,2117,1730,4035
0.800,2120,1736,4095
0.820,2120,1736,4095
0.840,2111,1736,4056
0.860,2111,1736,4056
0.880,2120,1741,3725
0.900,2120,1741,3725
0.920,2119,1735,2765
0.940,2119,1735,2765
0.960,2121,1729,4040
0.980,2121,1729,4040
1.000,2119,1734,4095
1.020,2119,1734,4095
1.040,2106,1730,4063
1.060,2106,1730,4063
1.080,2116,1732,3730
1.100,2116,1732,3730
1.120,2107,1736,2849
1.140,2107,1736,2849
1.160,2112,1739,4082
1.180,2112,1739,4082
1.200,2123,1731,4095
1.220,2123,1731,4095
1.240,2118,1742,4080
1.260,2118,1742,4080
1.280,2114,1737,3695
1.300,2114,1737,3695
1.320,2120,1738,2935
1.340,2120,1738,2935
1.360,2110,1740,4080
1.380,2110,1740,4080
1.400,2119,1740,4095
1.420,2119,1740,4095
1.440,2119,1726,4095
1.460,2119,1726,4095
1.480,2119,1731,3674
1.500,2119,1731,3674
1.520,2119,1733,3071
1.540,2119,1733,3071
1.560,2121,1735,4092
1.580,2117,1736,4095
1.600,2121,1735,4092
1.620,2117,1736,4095
1.640,2119,1739,4095
1.660,2119,1739,4095
1.680,2122,1733,3645
1.700,2122,1733,3645
1.720,2114,1734,3175
1.740,2114,1734,3175
1.760,2099,1746,4001
1.780,2099,1746,4001
1.800,2117,1736,4078
1.820,2117,1736,4078
1.840,2127,1737,4095
1.860,2127,1737,4095
1.880,2114,1737,3637
1.900,2114,1737,3637
1.920,2111,1725,3164
1.940,2111,1725,3164
1.960,2101,1747,3951
1.980,2101,1747,3951
2.000,2120,1732,4095
2.020,2120,1732,4095
2.040,2130,1735,4095
2.060,2130,1735,4095
2.080,2111,1737,3623
2.100,2111,1737,3623
2.120,2107,1722,3217
2.140,2107,1722,3217
2.160,2138,1735,3874
2.180,2138,1735,3874
2.200,2126,1735,4095
2.220,2126,1735,4095
2.240,2119,1732,4095
2.260,2119,1732,4095
2.280,2109,1727,3689
2.300,2109,1727,3689
2.320,2119,1725,3181
2.340,2119,1725,3181
2.360,2115,1722,3827
2.380,2115,1722,3827
2.400,2118,1731,4095
2.420,2118,1731,4095
2.440,2097,1739,4095
2.460,2097,1739,4095
2.480,2111,1736,3737
2.500,2111,1736,3737
2.520,2118,1731,3081
2.540,2118,1731,3081
2.560,2117,1732,3803
2.580,2117,1732,3803
2.600,2110,1739,4095
2.620,2110,1739,4095
2.640,2120,1740,4095
2.660,2120,1740,4095
2.680,2117,1736,3742
2.700,2117,1736,3742
2.720,2113,1738,2965
2.740,2113,1738,2965
2.760,2122,1737,3736
2.780,2122,1737,3736
2.800,2119,1735,4095
2.820,2119,1735,4095
2.840,2117,1735,4095
2.860,2117,1735,4095
2.880,2116,1742,3741
2.900,2116,1742,3741
2.920,2107,1724,3022
2.940,2107,1724,3022
2.960,2114,1738,3765
2.980,2114,1738,3765
3.000,2116,1740,4095
3.020,2116,1740,4095
3.040,2114,1731,4095
3.060,2114,1731,4095
3.080,2121,1725,3774
3.100,2121,1725,3774
3.120,2119,1740,3189
3.140,2119,1740,3189
3.160,2120,1733,3710
3.180,2120,1733,3710
3.200,2112,1736,4095
3.220,2112,1736,4095
3.240,2113,1748,4095
3.260,2113,1748,4095
3.280,2120,1747,3749
3.300,2120,1747,3749
3.320,2120,1729,3589
3.340,2120,1729,3589
3.360,2128,1725,3703
3.380,2128,1725,3703
3.400,2121,1732,4059
3.420,2121,1732,4059
3.440,2127,1739,4095
3.460,2127,1739,4095
3.480,2121,1737,3721
3.500,2121,1737,3721
3.520,2113,1730,3598
3.540,2113,1730,3598
3.560,2113,1727,3673
3.580,2113,1727,3673
3.600,2128,1734,4050
3.620,2128,1734,4050
3.640,2113,1742,4095
3.660,2113,1742,4095
3.680,2118,1737,3697
3.700,2118,1737,3697
3.720,2116,1731,3591
3.740,2116,1731,3591
3.760,2114,1732,3610
3.780,2114,1732,3610
3.800,2110,1734,3995
3.820,2110,1734,3995
3.840,2115,1737,4095
3.860,2115,1737,4095
3.880,2120,1734,3621
3.900,2120,1734,3621
3.920,2111,1738,3631
3.940,2111,1738,3631
3.960,2107,1726,3582
3.980,2107,1726,3582
4.000,2118,1739,4011
4.020,2118,1739,4011
4.040,2119,1737,4095
4.060,2119,1737,4095
4.080,2112,1746,3604
4.100,2112,1746,3604
4.120,2115,1738,3633
4.140,2115,1738,3633
4.160,2114,1744,3566
4.180,2114,1744,3566
4.200,2120,1732,4048
4.220,2120,1732,4048
4.240,2109,1730,4095
4.260,2109,1730,4095
4.280,2124,1735,3607
4.300,2124,1735,3607
4.320,2111,1741,3622
4.340,2111,1741,3622
4.360,2120,1746,3490
4.380,2120,1746,3490
4.400,2119,1727,4063
4.420,2119,1727,4063
4.440,2115,1747,4095
4.460,2115,1747,4095
4.480,2110,1741,3676
4.500,2110,1741,3676
4.520,2118,1733,3633
4.540,2118,1733,3633
4.560,2110,1730,3482
4.580,2110,1730,3482
4.600,2116,1737,4075
4.620,2116,1737,4075
4.640,2108,1740,4095
4.660,2108,1740,4095
4.680,2100,1743,3797
4.700,2100,1743,3797
4.720,2111,1730,3607
4.740,2111,1730,3607
4.760,2112,1742,3432
4.780,2112,1742,3432
4.800,2118,1739,4095
4.820,2118,1739,4095
4.840,2124,1737,4095
4.860,2124,1737,4095
4.880,2115,1759,3863
4.900,2115,1759,3863
4.920,2118,1736,3549
4.940,2118,1736,3549
