Time,25W,25X,25Y
0.000,2110,1742,3812
0.020,2110,1749,4075
0.040,2126,1747,4095
0.060,2126,1747,4095
0.080,2122,1754,3712
0.100,2122,1754,3712
0.120,2117,1745,3606
0.140,2117,1745,3606
0.160,2120,1746,3767
0.180,2120,1746,3767
0.200,2121,1747,4054
0.220,2121,1747,4054
0.240,2124,1750,4095
0.260,2124,1750,4095
0.280,2113,1748,3689
0.300,2113,1748,3689
0.320,2106,1744,3618
0.340,2115,1736,3728
0.360,2115,1736,3728
0.380,2108,1767,4016
0.400,2108,1767,4016
0.420,2124,1748,4095
0.440,2124,1748,4095
0.460,2120,1747,3659
0.480,2120,1747,3659
0.500,2110,1749,3636
0.520,2110,1749,3636
0.540,2120,1760,3693
0.560,2120,1760,3693
0.580,2117,1746,4021
0.600,2117,1746,4021
0.620,2128,1756,4095
0.640,2128,1756,4095
0.660,2122,1747,3629
0.680,2122,1747,3629
0.700,2113,1750,3632
0.720,2113,1750,3632
0.740,2106,1752,3656
0.760,2106,1752,3656
0.780,2116,1746,4042
0.800,2116,1746,4042
0.820,2119,1743,4095
0.840,2119,1743,4095
0.860,2113,1741,3625
0.880,2113,1741,3625
0.900,2120,1747,3652
0.920,2120,1747,3652
0.940,2106,1751,3578
0.960,2106,1751,3578
0.980,2115,1751,4072
1.000,2115,1751,4072
1.020,2120,1741,4095
1.040,2120,1741,4095
1.060,2116,1751,3687
1.080,2116,1751,3687
1.100,2112,1744,3660
1.120,2112,1744,3660
1.140,2119,1747,3469
1.160,2119,1747,3469
1.180,2120,1743,4095
1.200,2120,1743,4095
1.220,2123,1745,4095
1.240,2123,1745,4095
1.260,2112,1748,3824
1.280,2112,1748,3824
1.300,2116,1749,3582
1.320,2116,1749,3582
1.340,2115,1745,3453
1.360,2115,1745,3453
1.380,2114,1755,4095
1.400,2114,1755,4095
1.420,2115,1748,4095
1.440,2115,1748,4095
1.460,2112,1734,3864
1.480,2112,1734,3864
1.500,2112,1741,3497
1.520,2112,1741,3497
1.540,2104,1755,3294
1.560,2104,1755,3294
1.580,2121,1753,4068
1.600,2121,1753,4068
1.620,2115,1752,4095
1.640,2115,1752,4095
1.660,2118,1744,3955
1.680,2118,1744,3955
1.700,2114,1745,3445
1.720,2114,1745,3445
1.740,2117,1737,3240
1.760,2117,1737,3240
1.780,2117,1751,4049
1.800,2117,1751,4049
1.820,2120,1748,4095
1.840,2120,1748,4095
1.860,2108,1746,3963
1.880,2108,1746,3963
1.900,2111,1750,3513
1.920,2111,1750,3513
1.940,2116,1755,3062
1.960,2116,1755,3062
1.980,2116,1754,3969
2.000,2116,1754,3969
2.020,2117,1752,4095
2.040,2117,1752,4095
2.060,2120,1742,4016
2.080,2120,1742,4016
2.100,2114,1744,3606
2.120,2114,1744,3606
2.140,2111,1743,2901
2.160,2111,1743,2901
2.180,2122,1747,3988
2.200,2122,1747,3988
2.220,2117,1748,4095
2.240,2117,1748,4095
2.260,2107,1749,3986
2.280,2107,1749,3986
2.300,2116,1743,3670
2.320,2116,1743,3670
2.340,2116,1747,2890
2.360,2116,1747,2890
2.380,2120,1752,4048
2.400,2120,1752,4048
2.420,2117,1748,4095
2.440,2117,1748,4095
2.460,2110,1749,3995
2.480,2110,1749,3995
2.500,2114,1745,3689
2.520,2114,1745,3689
2.540,2112,1741,2951
2.560,2112,1741,2951
2.580,2111,1750,4072
2.600,2111,1750,4072
2.620,2113,1752,4095
2.640,2113,1752,4095
2.660,2129,1750,4054
2.680,2129,1750,4054
2.700,2116,1748,3720
2.720,2116,1748,3720
2.740,2122,1743,2947
2.760,2122,1743,2947
2.780,2112,1750,4084
2.800,2112,1750,4084
2.820,2118,1748,4095
2.840,2118,1748,4095
2.860,2123,1740,4081
2.880,2123,1740,4081
2.900,2116,1747,3727
2.920,2116,1747,3727
2.940,2112,1746,3003
2.960,2112,1746,3003
2.980,2124,1748,4095
3.000,2124,1748,4095
3.020,2118,1749,4092
3.040,2118,1749,4092
3.060,2117,1755,4095
3.080,2117,1755,4095
3.100,2118,1746,3686
3.120,2118,1746,3686
3.140,2110,1744,3130
3.160,2110,1744,3130
3.180,2120,1749,4095
3.200,2120,1749,4095
3.220,2120,1747,4074
3.240,2120,1747,4074
3.260,2114,1752,4095
3.280,2114,1752,4095
3.300,2113,1751,3619
3.320,2113,1751,3619
3.340,2117,1747,3127
3.360,2117,1747,3127
3.380,2120,1748,3976
3.400,2120,1748,3976
3.420,2118,1747,4093
3.440,2118,1747,4093
3.460,2111,1747,4095
3.480,2111,1747,4095
3.500,2118,1741,3629
3.520,2118,1741,3629
3.540,2117,1743,3233
3.560,2117,1743,3233
3.580,2123,1749,3920
3.600,2123,1749,3920
3.620,2115,1746,4095
3.640,2115,1746,4095
3.660,2114,1745,4095
3.680,2114,1745,4095
3.700,2120,1748,3643
3.720,2120,1748,3643
3.740,2128,1745,3220
3.760,2128,1745,3220
3.780,2117,1742,3856
3.800,2117,1742,3856
3.820,2120,1760,4095
3.840,2120,1760,4095
3.860,2119,1743,4095
3.880,2119,1743,4095
3.900,2114,1747,3709
3.920,2114,1747,3709
3.940,2107,1735,3074
3.960,2107,1735,3074
3.980,2093,1753,3833
4.000,2093,1753,3833
4.020,2117,1746,4095
4.040,2117,1746,4095
4.060,2113,1758,4095
4.080,2113,1758,4095
4.100,2107,1743,3755
4.120,2107,1743,3755
4.140,2117,1745,3098
4.160,2117,1745,3098
4.180,2109,1746,3759
4.200,2109,1746,3759
4.220,2120,1752,4095
4.240,2120,1752,4095
4.260,2130,1743,4095
4.280,2130,1743,4095
4.300,2115,1746,3748
4.320,2115,1746,3748
4.340,2118,1745,3533
4.360,2118,1745,3533
4.380,2108,1751,3771
4.400,2108,1751,3771
4.420,2114,1746,4088
4.440,2114,1746,4088
4.460,2129,1753,4095
4.480,2129,1753,4095
4.500,2115,1744,3738
4.520,2115,1744,3738
4.540,2117,1745,3615
4.560,2117,1745,3615
4.580,2112,1754,3775
4.600,2112,1754,3775
4.620,2111,1750,4041
4.640,2111,1750,4041
4.660,2118,1757,4095
4.680,2118,1757,4095
4.700,2109,1750,3695
4.720,2109,1750,3695
4.740,2121,1743,3606
4.760,2121,1743,3606
4.780,2109,1744,3727
4.800,2109,1744,3727
4.820,2117,1745,4013
4.840,2117,1745,4013
4.860,2120,1747,4095
4.880,2120,1747,4095
4.900,2110,1743,3632
4.920,2110,1743,3632
4.940,2116,1760,3636
4.960,2116,1760,3636
4.980,2117,1749,3641
5.000,2120,1743,4036
5.020,2120,1743,4036
5.040,2121,1751,4095
5.060,2121,1751,4095
5.080,2116,1751,3606
5.100,2116,1751,3606
5.120,2111,1752,3631
5.140,2111,1752,3631
5.160,2120,1752,3548
5.180,2120,1752,3548
5.200,2116,1757,4053
5.220,2116,1757,4053
5.240,2115,1750,4095
5.260,2115,1750,4095
5.280,2117,1744,3642
5.300,2117,1744,3642
5.320,2115,1753,3668
5.340,2115,1753,3668
5.360,2111,1753,3612
5.380,2111,1753,3612
5.400,2120,1754,4095
5.420,2120,1754,4095
5.440,2118,1751,4095
5.460,2118,1751,4095
5.480,2111,1747,3775
5.500,2111,1747,3775
5.520,2117,1746,3631
5.540,2117,1746,3631
5.560,2120,1745,3482
5.580,2120,1745,3482
5.600,2115,1753,4095
5.620,2115,1753,4095
5.640,2121,1742,4095
5.660,2121,1742,4095
5.680,2116,1750,3829
5.700,2116,1750,3829
5.720,2111,1744,3530
5.740,2111,1744,3530
5.760,2114,1743,3377
5.780,2114,1743,3377
5.800,2119,1746,4095
5.820,2119,1746,4095
5.840,2112,1748,4095
5.860,2112,1748,4095
5.880,2128,1742,3916
5.900,2128,1742,3916
5.920,2117,1741,3447
5.940,2117,1741,3447
5.960,2109,1746,3284
5.980,2109,1746,3284
6.000,2120,1748,4078
6.020,2120,1748,4078
6.040,2117,1753,4095
6.060,2117,1753,4095
6.080,2116,1744,3949
6.100,2116,1744,3949
6.120,2113,1748,3415
6.140,2113,1748,3415
6.160,2115,1749,3207
6.180,2115,1749,3207
6.200,2114,1750,4062
6.220,2114,1750,4062
6.240,2120,1753,4095
6.260,2120,1753,4095
6.280,2122,1743,4022
6.300,2122,1743,4022
6.320,2117,1746,3495
6.340,2117,1746,3495
6.360,2107,1744,2992
6.380,2107,1744,2992
6.400,2111,1748,3999
6.420,2111,1748,3999
6.440,2119,1745,4095
6.460,2119,1745,4095
6.480,2117,1755,4019
6.500,2117,1755,4019
6.520,2109,1744,3607
6.540,2109,1744,3607
6.560,2128,1742,2885
6.580,2128,1742,2885
6.600,2115,1750,4013
6.620,2115,1750,4013
6.640,2121,1745,4095
6.660,2121,1745,4095
6.680,2110,1749,3988
6.700,2110,1749,3988
6.720,2118,1753,3664
6.740,2118,1753,3664
6.760,2124,1750,2932
6.780,2124,1750,2932
6.800,2117,1747,4037
6.820,2117,1747,4037
6.840,2120,1752,4095
6.860,2120,1752,4095
6.880,2109,1741,4048
6.900,2109,1741,4048
6.920,2115,1747,3731
6.940,2115,1747,3731
6.960,2109,1748,2964
6.980,2109,1748,2964
7.000,2121,1748,4095
7.020,2121,1748,4095
7.040,2115,1752,4095
7.060,2115,1752,4095
7.080,2124,1744,4076
7.100,2124,1744,4076
7.120,2113,1748,3706
7.140,2113,1748,3706
7.160,2110,1747,2999
7.180,2110,1747,2999
7.200,2114,1752,4095
7.220,2114,1752,4095
7.240,2115,1749,4095
7.260,2115,1749,4095
7.280,2117,1752,4095
7.300,2117,1752,4095
7.320,2117,1742,3683
7.340,2117,1742,3683
7.360,2112,1743,3127
7.380,2112,1743,3127
7.400,2115,1749,4095
7.420,2115,1749,4095
7.440,2111,1745,4063
7.460,2111,1745,4063
7.480,2114,1745,4095
7.500,2114,1745,4095
7.520,2120,1743,3605
7.540,2120,1743,3605
7.560,2114,1742,3194
7.580,2114,1742,3194
7.600,2119,1749,4069
7.620,2119,1749,4069
7.640,2121,1741,4095
7.660,2121,1741,4095
7.680,2121,1763,4081
7.700,2121,1763,4081
7.720,2112,1737,3614
7.740,2112,1737,3614
7.760,2109,1749,3164
7.780,2109,1749,3164
7.800,2117,1744,3954
7.820,2117,1744,3954
7.840,2111,1745,4095
7.860,2111,1745,4095
7.880,2122,1748,4095
7.900,2122,1748,4095
7.920,2117,1739,3635
7.940,2117,1739,3635
7.960,2116,1748,3271
7.980,2116,1748,3271
8.000,2122,1739,3952
8.020,2122,1739,3952
8.040,2115,1745,4095
8.060,2115,1745,4095
8.080,2120,1745,4095
8.100,2120,1745,4095
8.120,2115,1745,3682
8.140,2115,1745,3682
8.160,2117,1748,3104
8.180,2117,1748,3104
8.200,2117,1751,3847
8.220,2117,1751,3847
8.240,2115,1755,4095
8.260,2115,1755,4095
8.280,2118,1778,4095
8.300,2118,1778,4095
8.320,2115,1785,3737
8.340,2115,1785,3737
8.360,2112,1797,3079
8.380,2112,1797,3079
8.400,2113,1808,3824
8.420,2113,1808,3824
8.440,2113,1792,4095
8.460,2113,1792,4095
8.480,2122,1787,4095
8.500,2122,1787,4095
8.520,2114,1791,3769
8.540,2114,1791,3769
8.560,2110,1808,3120
8.580,2110,1808,3120
8.600,2114,1808,3781
8.620,2114,1808,3781
8.640,2110,1810,4095
8.660,2110,1810,4095
8.680,2111,1804,4095
8.700,2111,1804,4095
8.720,2110,1806,3746
8.740,2110,1806,3746
8.760,2108,1819,3532
8.780,2108,1819,3532
8.800,2122,1812,3775
8.820,2122,1812,3775
8.840,2115,1802,4075
8.860,2115,1802,4075
8.880,2114,1807,4095
8.900,2114,1807,4095
8.920,2118,1808,3707
8.940,2118,1808,3707
8.960,2114,1803,3614
8.980,2114,1803,3614
9.000,2115,1802,3747
9.020,2115,1802,3747
9.040,2119,1805,4024
9.060,2119,1805,4024
9.080,2114,1813,4095
9.100,2114,1813,4095
9.120,2112,1806,3681
9.140,2112,1806,3681
9.160,2116,1804,3603
9.180,2116,1804,3603
9.200,2117,1808,3720
9.220,2117,1808,3720
9.240,2116,1806,4019
9.260,2116,1806,4019
9.280,2114,1812,4095
9.300,2114,1812,4095
9.320,2116,1806,3602
9.340,2116,1806,3602
9.360,2117,1814,3626
9.380,2117,1814,3626
9.400,2116,1809,3675
9.420,2116,1809,3675
9.440,2117,1813,4078
9.460,2117,1813,4078
9.480,2121,1807,4095
9.500,2121,1807,4095
9.520,2111,1802,3601
9.540,2111,1802,3601
9.560,2109,1809,3655
9.580,2109,1809,3655
9.600,2119,1804,3632
9.620,2119,1804,3632
9.640,2116,1809,4095
9.660,2116,1809,4095
9.680,2114,1821,4095
9.700,2114,1821,4095
9.720,2130,1813,3736
9.740,2130,1813,3736
9.760,2120,1811,3652
9.780,2120,1811,3652
9.800,2112,1809,3433
9.820,2112,1809,3433
9.840,2115,1809,4095
9.860,2115,1809,4095
9.880,2124,1812,4095
9.900,2124,1812,4095
9.920,2108,1809,3839
9.940,2108,1809,3839
9.960,2109,1812,3516
9.980,2109,1812,3516
10.000,2107,1809,3355
10.020,2107,1809,3355
10.040,2120,1814,4076
10.060,2120,1814,4076
10.080,2116,1807,4095
10.100,2128,1809,3918
10.120,2128,1809,3918
10.140,2100,1813,3448
10.160,2100,1813,3448
10.180,2099,1813,3204
10.200,2099,1813,3204
10.220,2111,1817,4029
10.240,2111,1817,4029
10.260,2113,1812,4095
10.280,2113,1812,4095
10.300,2120,1808,3992
10.320,2120,1808,3992
10.340,2109,1806,3480
10.360,2109,1806,3480
10.380,2102,1811,3119
10.400,2102,1811,3119
10.420,2116,1821,4000
10.440,2116,1821,4000
10.460,2113,1815,4095
10.480,2119,1813,4022
10.500,2113,1815,4095
10.520,2119,1813,4022
10.540,2119,1817,3572
10.560,2119,1817,3572
10.580,2107,1811,2909
10.600,2107,1811,2909
10.620,2103,1812,4000
10.640,2103,1812,4000
10.660,2117,1817,4095
10.680,2117,1817,4095
10.700,2116,1818,3984
10.720,2116,1818,3984
10.740,2117,1814,3688
10.760,2117,1814,3688
10.780,2114,1815,2889
10.800,2114,1815,2889
10.820,2115,1810,4053
10.840,2115,1810,4053
10.860,2120,1819,4095
10.880,2120,1819,4095
10.900,2111,1813,4042
10.920,2111,1813,4042
10.940,2116,1812,3734
10.960,2116,1812,3734
10.980,2105,1807,2916
11.000,2105,1807,2916
11.020,2118,1817,4095
11.040,2118,1817,4095
11.060,2123,1821,4095
11.080,2123,1821,4095
11.100,2124,1824,4060
11.120,2124,1824,4060
11.140,2125,1816,3721
11.160,2125,1816,3721
11.180,2131,1814,2973
11.200,2131,1814,2973
11.220,2112,1820,4095
11.240,2112,1820,4095
11.260,2115,1818,4094
11.280,2115,1818,4094
11.300,2119,1822,4061
11.320,2119,1822,4061
11.340,2111,1815,3671
11.360,2111,1815,3671
11.380,2116,1814,3123
11.400,2116,1814,3123
11.420,2121,1812,4067
11.440,2121,1812,4067
11.460,2109,1813,4083
11.480,2109,1813,4083
11.500,2123,1802,4095
11.520,2123,1802,4095
11.540,2107,1818,3606
11.560,2107,1818,3606
11.580,2114,1812,3140
11.600,2114,1812,3140
11.620,2109,1816,4032
11.640,2109,1816,4032
11.660,2115,1813,4095
11.680,2115,1813,4095
11.700,2112,1812,4095
11.720,2112,1812,4095
11.740,2114,1811,3638
11.760,2114,1811,3638
11.780,2113,1815,3267
11.800,2113,1815,3267
11.820,2111,1814,3949
11.840,2111,1814,3949
11.860,2121,1824,4095
11.880,2121,1824,4095
11.900,2118,1809,4095
11.920,2118,1809,4095
11.940,2117,1815,3652
11.960,2117,1815,3652
11.980,2119,1828,3221
12.000,2119,1828,3221
12.020,2125,1811,3865
12.040,2125,1811,3865
12.060,2122,1813,4095
12.080,2122,1813,4095
12.100,2116,1814,4095
12.120,2116,1814,4095
12.140,2114,1811,3686
12.160,2114,1811,3686
12.180,2111,1816,2928
12.200,2111,1816,2928
12.220,2108,1815,3836
12.240,2108,1815,3836
12.260,2118,1816,4095
12.280,2118,1816,4095
12.300,2109,1818,4095
12.320,2109,1818,4095
12.340,2113,1807,3713
12.360,2113,1807,3713
12.380,2113,1810,3017
12.400,2113,1810,3017
12.420,2107,1822,3797
12.440,2107,1822,3797
12.460,2115,1818,4095
12.480,2115,1818,4095
12.500,2110,1828,4095
12.520,2110,1828,4095
12.540,2114,1818,3777
12.560,2114,1818,3777
12.580,2115,1808,3282
12.600,2115,1808,3282
12.620,2123,1813,3775
12.640,2123,1813,3775
12.660,2116,1819,4095
12.680,2116,1819,4095
12.700,2118,1818,4095
12.720,2118,1818,4095
12.740,2112,1816,3749
12.760,2112,1816,3749
12.780,2121,1807,3610
12.800,2121,1807,3610
12.820,2111,1811,3796
12.840,2111,1811,3796
12.860,2110,1813,4086
12.880,2110,1813,4086
12.900,2113,1813,4095
12.920,2113,1813,4095
12.940,2115,1812,3718
12.960,2115,1812,3718
12.980,2115,1815,3601
13.000,2115,1815,3601
13.020,2112,1814,3726
13.040,2112,1814,3726
13.060,2114,1819,4014
13.080,2114,1819,4014
13.100,2128,1815,4095
13.120,2128,1815,4095
13.140,2121,1818,3581
13.160,2121,1818,3581
13.180,2124,1807,3627
13.200,2124,1807,3627
13.220,2111,1817,3634
13.240,2111,1817,3634
13.260,2120,1810,4031
13.280,2120,1810,4031
13.300,2117,1812,4095
13.320,2117,1812,4095
13.340,2115,1821,3587
13.360,2115,1821,3587
13.380,2113,1816,3668
13.400,2113,1816,3668
13.420,2136,1816,3638
13.440,2136,1816,3638
13.460,2111,1813,4090
13.480,2111,1813,4090
13.500,2121,1811,4095
13.520,2121,1811,4095
13.540,2115,1807,3721
13.560,2115,1807,3721
13.580,2109,1812,3649
13.600,2109,1812,3649
13.620,2108,1822,3535
13.640,2108,1822,3535
13.660,2117,1812,4095
13.680,2117,1812,4095
13.700,2115,1822,4095
13.720,2115,1822,4095
13.740,2119,1828,3848
13.760,2119,1828,3848
13.780,2120,1822,3536
13.800,2120,1822,3536
13.820,2119,1806,3389
13.840,2119,1806,3389
13.860,2112,1810,4095
13.880,2112,1810,4095
13.900,2122,1816,4095
13.920,2122,1816,4095
13.940,2113,1808,3871
13.960,2113,1808,3871
13.980,2109,1820,3461
14.000,2109,1820,3461
14.020,2114,1816,3194
14.040,2114,1816,3194
14.060,2116,1821,4093
14.080,2116,1821,4093
14.100,2112,1821,4095
14.120,2112,1821,4095
14.140,2112,1819,3907
14.160,2112,1819,3907
14.180,2113,1816,3449
14.200,2113,1816,3449
14.220,2112,1812,3203
14.240,2112,1812,3203
14.260,2120,1822,4035
14.280,2120,1822,4035
14.300,2119,1813,4095
14.320,2119,1813,4095
14.340,2111,1813,4002
14.360,2111,1813,4002
14.380,2114,1817,3472
14.400,2114,1817,3472
14.420,2106,1816,3140
14.440,2106,1816,3140
14.460,2126,1814,4029
14.480,2126,1814,4029
14.500,2119,1829,4095
14.520,2119,1829,4095
14.540,2117,1811,3976
14.560,2117,1811,3976
14.580,2113,1812,3549
14.600,2113,1812,3549
14.620,2115,1812,2989
14.640,2115,1812,2989
14.660,2114,1810,3979
14.680,2114,1810,3979
14.700,2119,1828,4095
14.720,2119,1828,4095
14.740,2118,1828,3996
14.760,2118,1828,3996
14.780,2117,1819,3612
14.800,2117,1819,3612
14.820,2114,1813,2873
14.840,2114,1813,2873
14.860,2111,1821,4004
14.880,2111,1821,4004
14.900,2112,1817,4095
14.920,2112,1817,4095
14.940,2128,1811,3977
14.960,2128,1811,3977
14.980,2114,1813,3687
15.000,2114,1813,3687
15.020,2112,1809,2910
15.040,2112,1809,2910
15.060,2116,1820,4051
15.080,2116,1820,4051
15.100,2118,1815,4095
15.120,2120,1814,4011
15.140,2118,1815,4095
15.160,2120,1814,4011
15.180,2110,1816,3731
15.200,2110,1816,3731
15.220,2103,1809,2882
15.240,2103,1809,2882
15.260,2121,1812,4079
15.280,2121,1812,4079
15.300,2117,1816,4095
15.320,2117,1816,4095
15.340,2123,1805,4023
15.360,2123,1805,4023
15.380,2116,1815,3738
15.400,2116,1815,3738
15.420,2114,1807,2917
15.440,2114,1807,2917
15.460,2108,1779,4095
15.480,2108,1779,4095
15.500,2120,1753,4095
15.520,2120,1753,4095
15.540,2124,1754,4036
15.560,2124,1754,4036
15.580,2115,1751,3711
15.600,2115,1751,3711
15.620,2114,1747,3026
15.640,2114,1747,3026
15.660,2113,1721,4095
15.680,2113,1721,4095
15.700,2116,1735,4095
15.720,2116,1735,4095
15.740,2122,1725,4072
15.760,2122,1725,4072
15.780,2111,1736,3668
15.800,2111,1736,3668
15.820,2118,1729,3079
15.840,2118,1729,3079
15.860,2117,1711,4095
15.880,2117,1711,4095
15.900,2117,1726,4078
15.920,2117,1726,4078
15.940,2119,1712,4095
15.960,2119,1712,4095
15.980,2112,1729,3599
16.000,2112,1729,3599
16.020,2115,1716,3153
16.040,2115,1716,3153
16.060,2111,1715,3949
16.080,2111,1715,3949
16.100,2111,1721,4091
16.120,2111,1721,4091
16.140,2122,1722,4095
16.160,2122,1722,4095
16.180,2111,1721,3625
16.200,2111,1721,3625
16.220,2115,1721,3275
16.240,2115,1721,3275
16.260,2118,1709,3877
16.280,2118,1709,3877
16.300,2117,1720,4095
16.320,2117,1720,4095
16.340,2121,1715,4095
16.360,2121,1715,4095
16.380,2116,1718,3665
16.400,2116,1718,3665
16.420,2116,1720,3134
16.440,2116,1720,3134
16.460,2120,1719,3831
16.480,2120,1719,3831
16.500,2117,1715,4095
16.520,2117,1715,4095
16.540,2124,1718,4095
16.560,2124,1718,4095
16.580,2122,1722,3708
16.600,2122,1722,3708
16.620,2112,1716,3017
16.640,2112,1716,3017
16.660,2110,1721,3813
16.680,2110,1721,3813
16.700,2117,1711,4095
16.720,2117,1711,4095
16.740,2117,1732,4095
16.760,2117,1732,4095
16.780,2116,1721,3731
16.800,2116,1721,3731
16.820,2117,1713,3041
16.840,2117,1713,3041
16.860,2115,1724,3831
16.880,2115,1724,3831
16.900,2119,1720,4095
16.920,2119,1720,4095
16.940,2120,1715,4095
16.960,2120,1715,4095
16.980,2118,1716,3762
17.000,2118,1716,3762
17.020,2108,1709,3179
17.040,2108,1709,3179
17.060,2127,1719,3798
17.080,2127,1719,3798
17.100,2107,1718,4095
17.120,2107,1718,4095
17.140,2123,1723,4095
17.160,2123,1723,4095
17.180,2113,1718,3745
17.200,2113,1718,3745
17.220,2109,1716,3418
17.240,2109,1716,3418
17.260,2117,1715,3780
17.280,2117,1715,3780
17.300,2119,1719,4095
17.320,2119,1719,4095
17.340,2123,1716,4095
17.360,2123,1716,4095
17.380,2118,1718,3739
17.400,2118,1718,3739
17.420,2116,1721,3599
17.440,2116,1721,3599
17.460,2108,1715,3765
17.480,2108,1715,3765
17.500,2118,1716,4046
17.520,2118,1716,4046
17.540,2125,1716,4095
17.560,2125,1716,4095
17.580,2112,1717,3712
17.600,2112,1717,3712
17.620,2115,1717,3592
17.640,2115,1717,3592
17.660,2117,1723,3679
17.680,2117,1723,3679
17.700,2098,1710,4002
17.720,2098,1710,4002
17.740,2117,1720,4095
17.760,2117,1720,4095
17.780,2110,1713,3666
17.800,2110,1713,3666
17.820,2115,1715,3625
17.840,2115,1715,3625
17.860,2112,1714,3767
17.880,2112,1714,3767
17.900,2120,1716,3995
17.920,2120,1716,3995
17.940,2117,1715,4095
17.960,2117,1715,4095
17.980,2113,1722,3621
18.000,2113,1722,3621
18.020,2113,1714,3624
18.040,2113,1714,3624
18.060,2119,1718,3626
18.080,2119,1718,3626
18.100,2101,1716,4043
18.120,2101,1716,4043
18.140,2121,1725,4095
18.160,2121,1725,4095
18.180,2118,1713,3640
18.200,2118,1713,3640
18.220,2115,1718,3646
18.240,2115,1718,3646
18.260,2117,1707,3656
18.280,2117,1707,3656
18.300,2113,1722,4085
18.320,2113,1722,4085
18.340,2122,1718,4095
18.360,2122,1718,4095
18.380,2122,1713,3666
