Time,25W,25X,25Y
0.000,1815,1982,4095
0.020,1682,1975,3794
0.040,1666,1970,3763
0.060,1682,1975,3794
0.080,1637,1979,3723
0.100,1637,1979,3723
0.120,1723,1976,4035
0.140,1781,1997,4095
0.160,1781,1997,4095
0.180,1651,1971,3757
0.200,1651,1971,3757
0.220,1675,1976,3788
0.240,1675,1976,3788
0.260,1706,1962,3754
0.280,1706,1962,3754
0.300,1710,1987,4039
0.320,1710,1987,4039
0.340,1797,1976,4095
0.360,1797,1976,4095
0.380,1653,1969,3771
0.400,1653,1969,3771
0.420,1662,1979,3776
0.440,1662,1979,3776
0.460,1623,1974,3672
0.480,1623,1974,3672
0.500,1727,1992,4053
0.520,1782,1976,4095
0.540,1782,1976,4095
0.560,1664,1991,3823
0.580,1664,1991,3823
0.600,1669,1983,3754
0.620,1669,1983,3754
0.640,1635,1990,3706
0.660,1635,1990,3706
0.680,1726,1972,4076
0.700,1714,1978,4095
0.720,1714,1978,4095
0.740,1686,1983,3863
0.760,1686,1983,3863
0.780,1660,1971,3749
0.800,1660,1971,3749
0.820,1658,1982,3689
0.840,1658,1982,3689
0.860,1739,1992,4059
0.880,1739,1992,4059
0.900,1748,1992,4095
0.920,1748,1992,4095
0.940,1700,1978,3863
0.960,1700,1978,3863
0.980,1657,1984,3719
1.000,1657,1984,3719
1.020,1644,1975,3619
1.040,1644,1975,3619
1.060,1720,1978,4049
1.080,1720,1978,4049
1.100,1746,1979,4095
1.120,1746,1979,4095
1.140,1689,1972,3873
1.160,1689,1972,3873
1.180,1643,1973,3688
1.200,1643,1973,3688
1.220,1635,1972,3613
1.240,1635,1972,3613
1.260,1729,1976,4050
1.280,1729,1976,4050
1.300,1757,1966,4095
1.320,1757,1966,4095
1.340,1682,1973,3900
1.360,1682,1973,3900
1.380,1653,1969,3689
1.400,1653,1969,3689
1.420,1597,1966,3578
1.440,1597,1966,3578
1.460,1696,1969,4016
1.480,1696,1969,4016
1.500,1832,1980,4095
1.520,1832,1980,4095
1.540,1689,2022,3886
1.560,1689,2022,3886
1.580,1636,1974,3676
1.600,1636,1974,3676
1.620,1609,1978,3542
1.640,1609,1978,3542
1.660,1733,1981,4029
1.680,1733,1981,4029
1.700,1877,1988,4095
1.720,1877,1988,4095
1.740,1664,1976,3893
1.760,1664,1976,3893
1.780,1638,1979,3663
1.800,1638,1979,3663
1.820,1606,1987,3474
1.840,1606,1987,3474
1.860,1719,1972,4017
1.880,1719,1972,4017
1.900,1734,1974,4095
1.920,1734,1974,4095
1.940,1708,1996,3925
1.960,1708,1996,3925
1.980,1607,1963,3666
2.000,1607,1963,3666
2.020,1605,1973,3428
2.040,1605,1973,3428
2.060,1721,1988,4017
2.080,1721,1988,4017
2.100,1752,1994,4095
2.120,1752,1994,4095
2.140,1730,1979,3919
2.160,1730,1979,3919
2.180,1650,1976,3696
2.200,1650,1976,3696
2.220,1603,1977,3450
2.240,1603,1977,3450
2.260,1721,1986,3990
2.280,1721,1986,3990
2.300,1824,1985,4095
2.320,1824,1985,4095
2.340,1715,1991,3955
2.360,1715,1991,3955
2.380,1643,1981,3725
2.400,1643,1981,3725
2.420,1577,1984,3399
2.440,1577,1984,3399
2.460,1715,1982,3997
2.480,1715,1982,3997
2.500,1816,1995,4095
2.520,1816,1995,4095
2.540,1721,1988,3942
2.560,1721,1988,3942
2.580,1647,1992,3743
2.600,1647,1992,3743
