Time,W,X,Y
0.008,2116,1709,429
0.008,2116,1709,429
0.031,2111,1724,429
0.031,2111,1724,429
0.032,2134,1714,452
0.032,2134,1714,452
0.058,2118,1708,419
0.058,2118,1708,419
0.085,2112,1718,417
0.085,2115,1715,432
0.085,2115,1715,432
0.113,2114,1715,420
0.113,2114,1715,420
0.14,2120,1711,424
0.14,2120,1711,424
0.14,2107,1714,431
0.167,2107,1714,431
0.168,2122,1704,439
0.194,2122,1704,439
0.194,2117,1714,429
0.194,2117,1714,429
0.194,2117,1711,424
0.219,2117,1711,424
0.246,2118,1713,429
0.246,2118,1713,429
0.247,2113,1715,424
0.247,2113,1715,424
0.276,2107,1714,441
0.303,2107,1714,441
0.303,2116,1707,427
0.303,2116,1707,427
0.303,2112,1709,415
0.33,2112,1709,415
0.33,2117,1721,438
0.357,2117,1721,438
0.357,2128,1715,431
0.357,2128,1715,431
0.357,2122,1712,427
0.386,2122,1712,427
0.386,2113,1713,423
0.414,2117,1730,433
0.415,2117,1730,433
0.416,2116,1715,429
0.416,2116,1715,429
0.442,2128,1714,436
0.442,2128,1714,436
0.47,2115,1705,439
0.47,2115,1705,439
0.471,2120,1706,420
0.471,2120,1706,420
0.498,2120,1714,438
0.498,2120,1714,438
0.526,2115,1711,429
0.526,2115,1711,429
0.526,2124,1720,419
0.526,2124,1720,419
0.555,2128,1707,432
0.555,2128,1707,432
0.582,2120,1709,429
0.582,2120,1709,429
0.61,2119,1707,425
0.61,2119,1707,425
0.61,2120,1711,431
0.611,2120,1711,431
0.638,2124,1704,454
0.638,2124,1704,454
0.639,2117,1720,426
0.639,2117,1720,426
0.665,2118,1720,432
0.665,2118,1720,432
0.693,2128,1716,430
0.693,2128,1716,430
0.693,2115,1707,430
0.693,2115,1707,430
0.72,2109,1721,444
0.72,2109,1721,444
0.747,2121,1713,428
0.747,2121,1713,428
0.748,2120,1711,434
0.748,2120,1711,434
0.775,2122,1712,444
0.775,2122,1712,444
0.809,2124,1713,432
0.809,2124,1713,432
0.829,2116,1715,429
0.829,2116,1715,429
0.829,2126,1709,430
0.83,2126,1709,430
0.85,2117,1711,427
0.871,2117,1711,427
0.872,2119,1717,430
0.89,2119,1717,430
0.891,2117,1711,423
0.891,2117,1711,423
0.891,2114,1717,426
0.911,2114,1717,426
0.911,2117,1707,430
0.932,2117,1707,430
0.932,2115,1713,430
0.953,2115,1713,430
0.953,2105,1712,442
0.975,2105,1712,442
0.975,2114,1717,431
0.996,2114,1717,431
0.996,2127,1723,431
1.018,2127,1723,431
1.018,2121,1727,434
1.038,2121,1727,434
1.038,2118,1709,434
1.058,2118,1709,434
1.058,2130,1719,431
1.059,2130,1719,431
1.059,2109,1714,433
1.08,2109,1714,433
1.08,2119,1718,436
1.101,2119,1718,436
1.101,2113,1704,433
1.122,2113,1704,433
1.122,2115,1714,427
1.145,2115,1714,427
1.145,2110,1701,422
1.164,2110,1701,422
1.164,2118,1709,433
1.185,2118,1709,433
1.185,2110,1712,441
1.205,2110,1712,441
1.205,2115,1720,437
1.228,2115,1720,437
1.228,2117,1720,425
1.229,2117,1720,425
1.229,2120,1709,427
1.247,2120,1709,427
1.247,2110,1708,431
1.268,2110,1708,431
1.268,2112,1721,436
1.289,2112,1721,436
1.289,2118,1709,423
1.332,2118,1709,423
1.332,2105,1711,420
1.332,2105,1711,420
1.333,2111,1721,436
1.354,2111,1721,436
1.354,2111,1717,423
1.372,2111,1717,423
1.372,2116,1711,439
1.393,2116,1711,439
1.394,2119,1711,430
1.394,2119,1711,430
1.394,2116,1710,438
1.415,2116,1710,438
1.415,2119,1711,426
1.435,2119,1711,426
1.435,2110,1716,439
1.457,2110,1716,439
1.457,2107,1717,434
1.479,2107,1717,434
1.479,2108,1709,424
1.502,2108,1709,424
1.502,2107,1715,425
1.522,2107,1715,425
1.522,2126,1714,432
1.542,2126,1714,432
1.543,2120,1709,429
1.563,2120,1709,429
1.563,2130,1719,423
1.563,2130,1719,423
1.563,2113,1714,421
1.584,2113,1714,421
1.584,2117,1706,420
1.605,2117,1706,420
1.605,2120,1712,439
1.627,2120,1712,439
1.627,2120,1715,440
