Time,25W,25X,25Y
0.008,2127,1713,3216
0.008,2127,1711,3871
0.031,2127,1711,3871
0.031,2127,1715,4095
0.032,2127,1715,4095
0.032,2135,1719,4095
0.058,2135,1719,4095
0.058,2122,1717,3738
0.085,2122,1717,3738
0.085,2128,1715,3176
0.085,2128,1715,3176
0.113,2119,1717,3887
0.113,2124,1716,4095
0.14,2124,1716,4095
0.14,2126,1717,4095
0.14,2126,1717,4095
0.167,2120,1709,3774
0.168,2120,1709,3774
0.194,2121,1713,3116
0.194,2122,1712,3828
0.194,2122,1712,3828
0.194,2127,1716,4095
0.219,2130,1720,4095
0.246,2127,1716,4095
0.246,2130,1720,4095
0.247,2122,1719,3786
0.247,2122,1719,3786
0.276,2120,1711,3067
0.303,2120,1711,3067
0.303,2131,1706,3816
0.303,2131,1706,3816
0.303,2120,1718,4095
0.33,2120,1718,4095
0.33,2135,1717,4095
0.357,2135,1717,4095
0.357,2125,1720,3774
0.357,2125,1720,3774
0.357,2111,1720,3045
0.386,2111,1720,3045
0.386,2128,1722,3811
0.414,2123,1711,4095
0.415,2128,1722,3811
0.416,2123,1711,4095
0.416,2131,1718,4095
0.442,2131,1718,4095
0.442,2129,1720,3787
0.47,2129,1720,3787
0.47,2120,1719,3054
0.471,2120,1719,3054
0.471,2121,1719,3796
0.498,2121,1719,3796
0.498,2127,1722,4095
0.526,2127,1722,4095
0.526,2126,1715,4095
0.526,2126,1715,4095
0.526,2125,1713,3789
0.555,2125,1713,3789
0.555,2124,1706,3122
0.582,2124,1706,3122
0.582,2123,1713,3821
0.61,2123,1713,3821
0.61,2125,1714,4076
0.61,2125,1714,4076
0.611,2131,1717,4095
0.638,2131,1717,4095
0.638,2120,1713,3776
0.639,2120,1713,3776
0.639,2121,1720,3214
0.665,2121,1720,3214
0.665,2117,1723,3816
0.693,2117,1723,3816
0.693,2126,1714,4056
0.693,2126,1714,4056
0.693,2123,1719,4095
0.72,2123,1719,4095
0.72,2125,1722,3767
0.747,2125,1722,3767
0.747,2111,1712,3350
0.748,2111,1712,3350
0.748,2123,1721,3802
0.775,2123,1721,3802
0.775,2121,1720,4048
0.809,2121,1720,4048
0.809,2126,1718,4095
0.829,2126,1718,4095
0.829,2123,1724,3750
0.829,2123,1724,3750
0.83,2121,1712,3455
0.85,2121,1712,3455
0.871,2122,1709,3798
0.872,2122,1709,3798
0.89,2106,1711,4014
0.891,2106,1711,4014
0.891,2123,1724,4095
0.891,2123,1724,4095
0.911,2124,1712,3757
0.911,2124,1712,3757
0.932,2120,1710,3666
0.932,2120,1710,3666
0.953,2118,1719,3802
0.953,2118,1719,3802
0.975,2127,1713,4033
0.975,2127,1713,4033
0.996,2130,1716,4095
0.996,2130,1716,4095
1.018,2115,1711,3791
1.018,2115,1711,3791
1.038,2120,1711,3698
1.038,2120,1711,3698
1.058,2118,1711,3831
1.058,2118,1711,3831
1.059,2117,1718,4010
1.059,2117,1718,4010
1.08,2118,1716,4095
1.08,2118,1716,4095
1.101,2134,1718,3744
1.101,2134,1718,3744
1.122,2122,1718,3684
1.122,2119,1703,3776
1.145,2119,1703,3776
1.145,2127,1715,3984
1.164,2127,1715,3984
1.164,2123,1713,4095
1.185,2123,1713,4095
1.185,2125,1726,3701
1.205,2125,1726,3701
1.205,2126,1711,3693
1.228,2126,1711,3693
1.228,2123,1721,3779
1.229,2123,1721,3779
1.229,2121,1714,3984
1.247,2121,1714,3984
1.247,2121,1720,4095
1.268,2121,1720,4095
1.268,2126,1714,3688
1.289,2126,1714,3688
1.289,2116,1712,3704
1.332,2116,1712,3704
1.332,2122,1714,3760
1.332,2122,1714,3760
1.333,2128,1738,4012
1.354,2128,1738,4012
1.354,2128,1725,4095
1.372,2128,1725,4095
1.372,2115,1717,3656
1.393,2115,1717,3656
1.394,2124,1716,3706
1.394,2124,1716,3706
1.394,2124,1714,3726
1.415,2124,1714,3726
1.415,2123,1715,3989
1.435,2123,1715,3989
1.435,2125,1719,4095
1.457,2125,1719,4095
1.457,2125,1715,3679
1.479,2125,1715,3679
1.479,2120,1713,3715
1.502,2120,1713,3715
1.502,2116,1712,3775
1.522,2116,1712,3775
1.522,2131,1711,4026
1.542,2123,1717,4095
1.543,2123,1717,4095
1.563,2119,1718,3666
1.563,2119,1718,3666
1.563,2128,1715,3728
1.563,2128,1715,3728
1.584,2122,1715,3741
1.584,2122,1715,3741
1.605,2129,1708,4031
1.605,2129,1708,4031
1.627,2120,1711,4095
1.627,2120,1711,4095
1.647,2116,1713,3697
1.647,2116,1713,3697
1.668,2122,1690,3705
1.668,2122,1690,3705
1.691,2132,1721,3722
1.691,2132,1721,3722
1.711,2124,1717,4056
1.711,2124,1717,4056
1.731,2125,1722,4095
1.731,2125,1722,4095
1.732,2112,1717,3726
1.732,2128,1719,3732
1.752,2112,1717,3726
1.752,2128,1719,3732
1.772,2124,1708,3656
1.772,2124,1708,3656
1.794,2151,1711,4064
1.794,2151,1711,4064
1.815,2126,1713,4095
1.815,2126,1713,4095
1.837,2125,1721,3776
1.837,2125,1721,3776
1.859,2127,1714,3713
1.859,2127,1714,3713
1.88,2118,1703,3619
1.88,2118,1703,3619
1.899,2132,1715,4095
1.899,2129,1722,4095
1.9,2132,1715,4095
1.9,2129,1722,4095
1.921,2132,1732,3820
1.921,2132,1732,3820
1.941,2122,1716,3656
1.941,2122,1716,3656
1.962,2126,1703,3547
1.962,2126,1703,3547
2.004,2125,1716,4057
2.005,2125,1716,4057
2.005,2120,1710,4095
2.005,2120,1710,4095
2.025,2126,1704,3850
2.025,2126,1704,3850
2.045,2124,1712,3575
2.045,2124,1712,3575
2.066,2119,1722,3453
2.066,2119,1722,3453
2.066,2115,1716,4053
2.066,2115,1716,4053
2.087,2122,1719,4095
2.087,2122,1719,4095
2.107,2125,1717,3884
2.107,2125,1717,3884
2.128,2121,1714,3535
2.129,2121,1714,3535
2.15,2123,1714,3385
2.15,2123,1714,3385
2.171,2118,1720,4023
2.171,2118,1720,4023
2.192,2127,1731,4095
2.192,2127,1731,4095
2.216,2121,1703,3922
2.216,2121,1703,3922
2.234,2124,1717,3513
2.234,2124,1717,3513
2.234,2115,1714,3301
2.234,2115,1714,3301
2.255,2118,1716,4015
2.255,2118,1716,4015
2.276,2126,1732,4095
2.276,2126,1732,4095
2.299,2122,1717,3941
2.299,2122,1717,3941
2.322,2126,1721,3510
2.322,2126,1721,3510
2.342,2118,1708,3234
2.342,2118,1708,3234
2.385,2118,1717,4018
2.385,2118,1717,4018
2.385,2145,1715,4095
2.385,2145,1715,4095
2.406,2133,1720,3990
2.406,2133,1720,3990
2.406,2128,1710,3573
2.406,2128,1710,3573
2.426,2124,1724,3231
2.426,2124,1724,3231
2.447,2122,1711,4018
2.447,2122,1711,4018
2.468,2132,1727,4095
2.469,2132,1727,4095
2.489,2133,1717,3971
2.489,2133,1717,3971
2.511,2118,1716,3575
2.511,2118,1716,3575
2.532,2121,1716,3171
2.532,2121,1716,3171
2.553,2124,1707,4004
2.553,2124,1707,4004
2.573,2119,1707,4095
2.573,2119,1707,4095
2.575,2137,1709,4021
2.575,2137,1709,4021
2.592,2132,1710,3604
2.592,2132,1710,3604
2.614,2128,1699,3085
2.614,2128,1699,3085
2.636,2127,1706,3987
2.636,2127,1706,3987
2.655,2126,1722,4095
2.655,2126,1722,4095
2.676,2122,1728,3993
2.676,2122,1728,3993
2.696,2123,1707,3646
2.696,2123,1707,3646
2.718,2124,1717,3061
2.718,2124,1717,3061
2.738,2120,1710,3971
2.738,2120,1710,3971
2.738,2128,1716,4095
2.738,2128,1716,4095
2.759,2116,1718,4009
2.759,2116,1718,4009
2.78,2137,1714,3683
2.78,2137,1714,3683
2.801,2117,1716,3058
2.801,2117,1716,3058
2.822,2113,1719,4027
2.822,2113,1719,4027
2.842,2118,1716,4095
2.842,2118,1716,4095
2.863,2125,1712,4040
2.863,2125,1712,4040
2.884,2124,1709,3733
2.884,2124,1709,3733
2.904,2120,1706,3117
2.905,2120,1706,3117
2.905,2130,1706,4003
2.905,2130,1706,4003
2.927,2121,1716,4084
2.927,2121,1716,4084
2.949,2118,1715,4005
2.949,2118,1715,4005
2.969,2124,1716,3737
2.969,2124,1716,3737
2.989,2123,1704,3003
2.989,2123,1704,3003
3.01,2124,1720,4045
3.01,2119,1714,4092
3.03,2119,1714,4092
3.03,2120,1711,4007
3.051,2120,1711,4007
3.051,2124,1714,3756
3.075,2124,1714,3756
3.075,2117,1703,2971
3.075,2117,1703,2971
3.075,2129,1716,4064
3.097,2129,1716,4064
3.097,2123,1715,4092
3.117,2123,1715,4092
3.117,2132,1723,3995
3.139,2132,1723,3995
3.139,2122,1715,3781
3.16,2122,1715,3781
3.16,2100,1708,2973
3.18,2100,1708,2973
3.18,2120,1708,4079
3.202,2120,1708,4079
3.202,2128,1718,4079
3.246,2128,1718,4079
3.246,2131,1714,4052
3.247,2131,1714,4052
3.247,2127,1716,3769
3.247,2127,1716,3769
3.247,2115,1712,3064
3.267,2115,1712,3064
3.267,2133,1720,4095
3.287,2133,1720,4095
3.287,2118,1716,4048
3.307,2118,1716,4048
3.308,2121,1720,4037
3.328,2121,1720,4037
3.328,2121,1716,3753
3.349,2121,1716,3753
3.349,2127,1714,3110
3.37,2127,1714,3110
3.37,2125,1710,4095
3.39,2125,1710,4095
3.39,2122,1708,4063
3.411,2122,1708,4063
3.411,2119,1723,4020
3.412,2119,1723,4020
3.412,2122,1711,3761
3.433,2122,1711,3761
3.433,2128,1712,3205
3.453,2128,1712,3205
3.453,2121,1715,4095
3.475,2121,1715,4095
3.475,2126,1717,4058
3.495,2126,1717,4058
3.495,2142,1716,4074
3.515,2142,1716,4074
3.515,2124,1720,3710
3.536,2124,1720,3710
3.536,2123,1710,3259
3.558,2123,1710,3259
3.558,2124,1717,4095
3.578,2124,1717,4095
3.578,2126,1711,4052
3.578,2126,1711,4052
3.578,2121,1721,4090
3.598,2121,1721,4090
3.599,2120,1711,3656
3.62,2120,1711,3656
3.62,2123,1706,3325
3.639,2123,1706,3325
3.639,2124,1717,4028
3.661,2124,1717,4028
3.661,2125,1715,4091
3.681,2125,1715,4091
3.681,2128,1719,4095
3.701,2128,1719,4095
3.701,2127,1714,3674
3.724,2127,1714,3674
3.724,2103,1709,3337
3.746,2103,1709,3337
3.746,2099,1740,3963
3.747,2099,1740,3963
3.747,2124,1710,4095
3.767,2124,1710,4095
3.767,2112,1719,4095
3.787,2112,1719,4095
3.787,2123,1717,3656
3.807,2123,1717,3656
3.807,2123,1711,3195
3.828,2123,1711,3195
3.828,2125,1705,3959
3.849,2125,1705,3959
3.85,2121,1712,4095
3.87,2121,1712,4095
3.87,2140,1710,4095
3.892,2140,1710,4095
3.892,2114,1703,3667
3.916,2114,1703,3667
3.916,2122,1710,2959
3.917,2122,1710,2959
3.917,2097,1759,3832
3.956,2097,1759,3832
3.956,2126,1733,4095
3.956,2126,1733,4095
3.956,2145,1716,4095
3.974,2145,1716,4095
3.974,2130,1722,3577
3.995,2130,1722,3577
3.995,2112,1724,2495
4.016,2112,1724,2495
4.016,2117,1739,3869
4.038,2117,1739,3869
4.038,2122,1727,4095
4.059,2122,1727,4095
4.059,2123,1719,4095
4.078,2123,1719,4095
4.079,2122,1728,3637
4.079,2122,1728,3637
4.079,2118,1711,2162
4.1,2118,1711,2162
4.1,2118,1703,3783
4.12,2118,1703,3783
4.12,2116,1716,4095
4.141,2116,1716,4095
4.141,2135,1769,4095
4.162,2135,1769,4095
4.162,2140,1712,3646
4.183,2140,1712,3646
4.183,2124,1714,1982
4.203,2124,1714,1982
4.203,2119,1730,3832
4.224,2119,1730,3832
4.224,2123,1731,4095
4.245,2123,1731,4095
4.245,2141,1716,4095
4.245,2141,1716,4095
4.245,2107,1716,3628
4.265,2107,1716,3628
4.265,2120,1717,1785
4.286,2120,1717,1785
4.286,2103,1731,3704
4.308,2103,1731,3704
4.308,2128,1721,4095
4.328,2128,1721,4095
4.328,2126,1773,4095
4.351,2126,1773,4095
4.351,2119,1731,3676
4.37,2119,1731,3676
4.37,2092,1724,1959
4.391,2092,1724,1959
4.391,2118,1739,3811
4.412,2118,1739,3811
4.412,2128,1728,4095
4.412,2128,1728,4095
4.412,2143,1739,4095
4.432,2143,1739,4095
4.432,2129,1733,3583
4.454,2129,1733,3583
4.454,2124,1732,2424
4.475,2124,1732,2424
4.475,2128,1717,3606
4.495,2128,1717,3606
4.495,2129,1724,4095
4.517,2129,1724,4095
4.517,2129,1751,4095
4.537,2129,1751,4095
4.537,2111,1728,3482
4.557,2117,1730,3280
4.557,2111,1728,3482
4.578,2117,1730,3280
4.578,2108,1719,3671
4.578,2108,1719,3671
4.578,2133,1727,4095
4.598,2133,1727,4095
4.598,2139,1724,4095
4.62,2139,1724,4095
4.62,2121,1738,3570
4.643,2121,1738,3570
4.643,2114,1728,3319
4.662,2114,1728,3319
4.662,2137,1708,3640
4.683,2137,1708,3640
4.683,2121,1725,4095
4.703,2121,1725,4095
4.703,2130,1746,4095
4.723,2130,1746,4095
4.723,2123,1740,3431
4.766,2123,1740,3431
4.766,2121,1745,3322
4.766,2121,1745,3322
4.766,2124,1727,3595
4.767,2124,1727,3595
4.767,2119,1734,4095
4.785,2119,1734,4095
4.785,2131,1778,4095
4.806,2131,1778,4095
4.807,2131,1733,3439
4.827,2131,1733,3439
4.827,2129,1728,3388
4.848,2129,1728,3388
4.848,2112,1744,3616
4.868,2112,1744,3616
4.868,2117,1741,4095
4.891,2151,1742,4095
4.891,2117,1741,4095
4.911,2151,1742,4095
4.911,2128,1730,3344
4.912,2128,1730,3344
4.912,2103,1734,3414
4.952,2103,1734,3414
4.952,2113,1759,3584
4.952,2113,1759,3584
4.954,2115,1732,4095
4.973,2115,1732,4095
4.974,2137,1738,4095
4.996,2137,1738,4095
4.996,2112,1732,3340
5.016,2112,1732,3340
5.016,2136,1726,3491
5.037,2136,1726,3491
5.037,2119,1733,3632
5.057,2119,1733,3632
5.057,2119,1727,4095
5.079,2119,1727,4095
5.079,2100,1743,4095
5.079,2100,1743,4095
5.079,2142,1742,3329
5.099,2142,1742,3329
5.099,2116,1729,3417
5.142,2116,1729,3417
5.142,2122,1727,3397
5.142,2122,1727,3397
5.143,2128,1730,4095
5.162,2128,1730,4095
5.162,2123,1757,4095
5.183,2123,1757,4095
5.183,2105,1767,3545
5.204,2105,1767,3545
5.204,2119,1730,3389
5.225,2119,1730,3389
5.225,2136,1744,3287
5.247,2136,1744,3287
5.247,2111,1729,4095
5.247,2111,1729,4095
5.248,2140,1761,4095
5.266,2140,1761,4095
5.266,2144,1690,3736
5.288,2144,1690,3736
5.288,2125,1718,3353
5.308,2125,1718,3353
5.308,2119,1732,3034
5.329,2119,1732,3034
5.33,2126,1746,4095
5.35,2126,1746,4095
5.35,2125,1734,4095
5.371,2125,1734,4095
5.371,2145,1719,3859
5.393,2145,1719,3859
5.393,2123,1723,3187
5.409,2123,1723,3187
5.41,2120,1727,2799
5.41,2120,1727,2799
5.41,2120,1747,4095
5.43,2120,1747,4095
5.43,2142,1751,4095
5.453,2142,1751,4095
5.454,2134,1736,3901
5.473,2134,1736,3901
5.473,2110,1737,3047
5.494,2110,1737,3047
5.495,2110,1713,2888
5.517,2110,1713,2888
5.517,2121,1750,4095
5.536,2121,1750,4095
5.536,2151,1731,4095
5.557,2151,1731,4095
5.557,2110,1750,4083
5.578,2110,1750,4083
5.578,2139,1721,2935
5.578,2139,1721,2935
5.578,2125,1719,2544
5.6,2125,1719,2544
5.6,2123,1736,4095
5.621,2123,1736,4095
5.621,2134,1755,4095
5.641,2134,1755,4095
5.641,2139,1727,4017
5.662,2139,1727,4017
5.662,2121,1711,2865
5.682,2121,1711,2865
5.682,2119,1717,2598
5.704,2119,1717,2598
5.704,2143,1721,4095
5.724,2143,1721,4095
5.724,2118,1744,4095
5.744,2118,1744,4095
5.744,2148,1738,3994
5.745,2148,1738,3994
5.745,2144,1720,2939
5.765,2144,1720,2939
5.765,2122,1738,2398
5.806,2122,1738,2398
5.806,2110,1736,4095
5.806,2110,1736,4095
5.806,2155,1707,4095
5.827,2155,1707,4095
5.827,2128,1706,4076
5.848,2128,1706,4076
5.848,2124,1733,2912
5.868,2124,1733,2912
5.868,2116,1719,2173
5.889,2116,1719,2173
5.889,2129,1730,4095
5.909,2129,1730,4095
5.909,2109,1731,4095
5.909,2109,1731,4095
5.909,2129,1747,4060
5.93,2129,1747,4060
5.93,2120,1730,3038
5.951,2120,1730,3038
5.951,2117,1744,2353
5.97,2117,1744,2353
5.97,2163,1723,4095
5.99,2163,1723,4095
5.991,2136,1764,4095
6.012,2136,1764,4095
6.012,2138,1753,4063
6.034,2138,1753,4063
6.034,2122,1731,3039
6.054,2122,1731,3039
6.054,2135,1730,2070
6.075,2135,1730,2070
6.075,2126,1708,4095
6.075,2126,1708,4095
6.075,2114,1741,4095
6.096,2114,1741,4095
6.096,2143,1748,4095
6.117,2143,1748,4095
6.117,2128,1733,3172
6.138,2128,1733,3172
6.138,2110,1708,2017
6.158,2110,1708,2017
6.158,2124,1716,4095
6.18,2124,1716,4095
6.18,2112,1739,4095
6.201,2112,1739,4095
6.201,2140,1735,4095
6.223,2140,1735,4095
6.223,2127,1739,3196
6.243,2127,1739,3196
6.244,2116,1752,1720
6.244,2116,1752,1720
6.244,2148,1751,4079
6.264,2148,1751,4079
6.264,2122,1740,4095
6.284,2122,1740,4095
6.284,2102,1730,4095
6.308,2102,1730,4095
6.308,2130,1735,3229
6.326,2130,1735,3229
6.326,2104,1722,1747
6.347,2104,1722,1747
6.347,2130,1724,4095
