Time,25W,25X,25Y
0.008,2122,1727,526
0.008,2122,1727,526
0.031,2123,1728,532
0.031,2123,1728,532
0.032,2126,1719,551
0.032,2126,1719,551
0.058,2115,1723,512
0.058,2115,1723,512
0.085,2118,1722,456
0.085,2118,1722,456
0.085,2127,1715,537
0.113,2127,1715,537
0.113,2115,1724,530
0.14,2115,1724,530
0.14,2128,1717,554
0.14,2128,1717,554
0.167,2120,1719,524
0.168,2120,1719,524
0.194,2121,1720,512
0.194,2121,1720,512
0.194,2118,1726,487
0.194,2118,1726,487
0.219,2119,1696,524
0.246,2119,1696,524
0.246,2119,1725,552
0.247,2119,1725,552
0.247,2122,1719,518
0.276,2122,1719,518
0.303,2123,1722,498
0.303,2123,1722,498
0.303,2124,1719,514
0.303,2124,1719,514
0.33,2121,1720,532
0.33,2121,1720,532
0.357,2124,1724,541
0.357,2124,1724,541
0.357,2117,1726,491
0.357,2117,1726,491
0.386,2118,1722,503
0.386,2118,1722,503
0.414,2113,1724,479
0.415,2113,1724,479
0.416,2115,1719,521
0.416,2115,1719,521
0.442,2125,1722,545
0.442,2125,1722,545
0.47,2115,1728,488
0.47,2115,1728,488
0.471,2117,1726,504
0.471,2117,1726,504
0.498,2121,1714,555
0.498,2121,1714,555
0.526,2111,1725,528
0.526,2111,1725,528
0.526,2122,1722,526
0.526,2122,1722,526
0.555,2123,1721,516
0.555,2123,1721,516
0.582,2115,1723,513
0.582,2115,1723,513
0.61,2122,1721,523
0.61,2122,1721,523
0.61,2117,1717,528
0.611,2117,1717,528
0.638,2122,1724,523
0.638,2122,1724,523
0.639,2116,1721,499
0.639,2116,1721,499
0.665,2120,1724,504
0.665,2120,1724,504
0.693,2124,1733,471
0.693,2124,1733,471
0.693,2121,1723,522
0.693,2121,1723,522
0.72,2124,1722,548
0.72,2124,1722,548
0.747,2121,1724,517
0.747,2121,1724,517
0.748,2120,1733,487
0.748,2120,1733,487
0.775,2119,1720,506
0.775,2119,1720,506
0.809,2122,1723,514
0.809,2122,1723,514
0.829,2124,1723,535
0.829,2124,1723,535
0.829,2127,1722,516
0.83,2127,1722,516
0.85,2111,1734,479
0.871,2111,1734,479
0.872,2128,1717,507
0.89,2128,1717,507
0.891,2123,1724,535
0.891,2123,1724,535
