Time,25W,25X,25Y
0.008,2125,1711,3934
0.008,2121,1703,4095
0.031,2117,1711,3913
0.031,2117,1711,3913
0.032,2116,1703,3691
0.032,2116,1703,3691
0.058,2107,1705,3512
0.058,2111,1704,3988
0.085,2111,1704,3988
0.085,2109,1706,4095
0.085,2109,1706,4095
0.113,2114,1702,3864
0.113,2114,1702,3864
0.14,2116,1712,3723
0.14,2116,1712,3723
0.14,2115,1705,3657
0.167,2115,1705,3657
0.168,2112,1704,4004
0.194,2112,1704,4004
0.194,2117,1714,4095
0.194,2111,1699,3778
0.194,2113,1706,3767
0.219,2113,1706,3767
0.246,2114,1708,3720
0.246,2114,1708,3720
0.247,2112,1702,3999
0.247,2111,1706,4095
0.276,2107,1703,3695
0.303,2107,1703,3695
0.303,2112,1706,3764
0.303,2112,1706,3764
0.303,2107,1698,3768
0.33,2107,1698,3768
0.33,2115,1704,3986
0.357,2115,1704,3986
0.357,2122,1702,4095
0.357,2122,1702,4095
0.357,2107,1699,3673
0.386,2107,1699,3673
0.386,2110,1702,3767
0.414,2110,1702,3767
0.415,2106,1701,3803
0.416,2106,1701,3803
0.416,2110,1706,3965
0.442,2110,1706,3965
0.442,2117,1707,4095
0.47,2117,1707,4095
0.47,2111,1722,3708
0.471,2111,1722,3708
0.471,2113,1707,3752
0.498,2113,1707,3752
0.498,2122,1710,3826
0.526,2122,1710,3826
0.526,2115,1710,3965
0.526,2115,1710,3965
0.526,2114,1704,4095
0.555,2114,1704,4095
0.555,2118,1706,3734
0.582,2118,1706,3734
0.582,2107,1713,3737
0.61,2107,1713,3737
0.61,2111,1705,3830
0.61,2111,1705,3830
0.611,2108,1697,3988
0.638,2108,1697,3988
0.638,2114,1706,4095
0.639,2114,1706,4095
0.639,2113,1707,3768
0.665,2113,1707,3768
0.665,2128,1714,3751
0.693,2128,1714,3751
0.693,2122,1706,3848
0.693,2122,1706,3848
0.693,2109,1706,4002
0.72,2109,1706,4002
0.72,2120,1695,4095
0.747,2120,1695,4095
0.747,2114,1705,3804
0.748,2114,1705,3804
0.748,2115,1706,3532
0.775,2115,1706,3532
0.775,2116,1703,3848
0.809,2116,1703,3848
0.809,2129,1703,4009
0.829,2129,1703,4009
0.829,2100,1698,4095
0.829,2100,1698,4095
0.83,2118,1702,3774
0.85,2118,1702,3774
0.871,2111,1701,3342
0.872,2111,1701,3342
0.89,2120,1709,3872
0.891,2120,1709,3872
0.891,2116,1706,4034
0.891,2116,1706,4034
0.911,2108,1705,4095
0.911,2108,1705,4095
0.932,2115,1713,3772
0.932,2115,1713,3772
0.953,2113,1704,3416
0.953,2113,1704,3416
0.975,2116,1703,3835
0.975,2116,1703,3835
0.996,2119,1703,4030
0.996,2119,1703,4030
1.018,2110,1698,4095
1.018,2110,1698,4095
1.038,2116,1709,3745
1.038,2116,1709,3745
1.058,2116,1712,3336
1.058,2116,1712,3336
1.059,2116,1704,3891
1.059,2116,1704,3891
1.08,2111,1711,4052
1.08,2111,1711,4052
1.101,2107,1710,4095
1.101,2107,1710,4095
1.122,2115,1703,3764
1.122,2115,1703,3764
1.145,2103,1706,3393
1.145,2103,1706,3393
1.164,2117,1705,3906
1.164,2117,1705,3906
1.185,2109,1705,3977
1.185,2109,1705,3977
1.205,2128,1700,4083
1.205,2128,1700,4083
1.228,2117,1703,3725
1.228,2117,1703,3725
1.229,2107,1711,3406
1.229,2107,1711,3406
1.247,2107,1706,3917
1.247,2107,1706,3917
1.268,2115,1703,3967
1.268,2115,1703,3967
1.289,2118,1705,4055
1.289,2118,1705,4055
1.332,2120,1705,3728
1.332,2120,1705,3728
1.332,2109,1701,3373
1.333,2109,1701,3373
1.354,2118,1703,3976
1.354,2118,1703,3976
1.372,2117,1708,3969
1.372,2117,1708,3969
1.393,2112,1704,4006
1.394,2112,1704,4006
1.394,2119,1706,3721
1.394,2119,1706,3721
1.415,2114,1703,3306
1.415,2114,1703,3306
1.435,2116,1711,4040
1.435,2116,1711,4040
1.457,2112,1703,3944
1.457,2112,1703,3944
1.479,2111,1707,3970
1.479,2111,1707,3970
1.502,2119,1708,3770
1.502,2119,1708,3770
1.522,2113,1711,3277
1.522,2113,1711,3277
1.542,2120,1710,4071
1.543,2120,1710,4071
1.563,2109,1703,3960
1.563,2109,1703,3960
1.563,2114,1704,4001
1.563,2114,1704,4001
1.584,2113,1708,3769
1.584,2113,1708,3769
1.605,2107,1699,3302
1.605,2107,1699,3302
1.627,2112,1706,4030
1.627,2112,1706,4030
1.647,2112,1703,3956
1.647,2112,1703,3956
1.668,2113,1709,3963
1.668,2113,1709,3963
1.691,2112,1709,3768
1.691,2112,1709,3768
1.711,2109,1703,3289
1.711,2109,1703,3289
1.731,2113,1708,4039
1.731,2113,1708,4039
1.732,2114,1706,3998
1.732,2114,1706,3998
1.752,2112,1700,3949
1.752,2112,1700,3949
1.772,2111,1710,3769
1.772,2111,1710,3769
1.794,2118,1695,3332
1.794,2118,1695,3332
1.815,2110,1709,3971
1.815,2110,1709,3971
1.837,2116,1709,4011
1.837,2116,1709,4011
1.859,2116,1710,3978
1.859,2116,1710,3978
1.88,2109,1710,3760
1.88,2109,1710,3760
1.899,2110,1711,3446
1.899,2110,1711,3446
1.9,2115,1709,3958
1.9,2115,1709,3958
1.921,2110,1728,4010
1.921,2110,1728,4010
1.941,2112,1707,3952
1.941,2112,1707,3952
1.962,2111,1706,3748
1.962,2111,1706,3748
2.004,2105,1702,3491
2.005,2113,1707,3961
2.005,2105,1702,3491
2.005,2113,1707,3961
2.025,2116,1709,4018
2.025,2116,1709,4018
2.045,2116,1705,3903
2.045,2116,1705,3903
2.066,2108,1708,3740
2.066,2108,1708,3740
2.066,2102,1706,3508
2.066,2102,1706,3508
2.087,2109,1705,3966
2.087,2109,1705,3966
2.107,2117,1710,4064
2.107,2117,1710,4064
2.128,2109,1708,3974
2.129,2109,1708,3974
2.15,2115,1707,3749
