Time,25W,25X,25Y
0.008,2148,1747,4008
0.008,2154,1754,4095
0.031,2148,1755,4025
0.031,2148,1755,4025
0.032,2147,1751,3563
0.032,2147,1751,3563
0.058,2144,1746,3115
0.058,2144,1746,3115
0.085,2152,1749,4027
0.085,2152,1749,4027
0.085,2149,1750,4095
0.113,2149,1750,4095
0.113,2143,1764,4010
0.14,2143,1764,4010
0.14,2144,1747,3581
0.14,2144,1747,3581
0.167,2148,1747,3096
0.168,2148,1747,3096
0.194,2149,1754,4022
0.194,2149,1754,4022
0.194,2146,1754,4095
0.194,2146,1754,4095
0.219,2149,1756,4010
0.246,2149,1756,4010
0.246,2152,1751,3587
0.247,2152,1751,3587
0.247,2136,1755,3048
0.276,2136,1755,3048
0.303,2150,1753,3998
0.303,2150,1753,3998
0.303,2157,1757,4095
0.303,2157,1757,4095
0.33,2157,1749,4010
0.33,2157,1749,4010
0.357,2150,1749,3602
0.357,2150,1749,3602
0.357,2140,1744,2978
0.357,2140,1744,2978
0.386,2147,1751,4010
0.386,2147,1751,4010
0.414,2147,1757,4095
0.415,2147,1757,4095
0.416,2149,1780,3993
0.416,2149,1780,3993
0.442,2142,1754,3615
0.442,2142,1754,3615
0.47,2151,1745,2948
0.47,2151,1745,2948
0.471,2152,1754,4010
0.471,2152,1754,4010
0.498,2155,1761,4095
0.498,2155,1761,4095
0.526,2149,1764,4022
0.526,2149,1764,4022
0.526,2143,1748,3621
0.526,2143,1748,3621
0.555,2147,1748,2906
0.555,2147,1748,2906
0.582,2145,1748,4004
0.582,2145,1748,4004
0.61,2145,1753,4095
0.61,2145,1753,4095
0.61,2145,1744,4000
0.611,2145,1744,4000
0.638,2144,1749,3629
0.638,2144,1749,3629
0.639,2149,1751,2948
0.639,2149,1751,2948
0.665,2149,1724,3986
0.665,2149,1724,3986
0.693,2151,1751,4095
0.693,2151,1751,4095
0.693,2162,1748,4004
0.693,2162,1748,4004
0.72,2146,1748,3632
0.72,2146,1748,3632
0.747,2146,1746,2977
0.747,2146,1746,2977
0.748,2144,1748,3990
0.748,2144,1748,3990
0.775,2151,1757,4095
0.775,2151,1757,4095
0.809,2140,1754,4019
0.809,2140,1754,4019
0.829,2146,1756,3629
0.829,2146,1756,3629
0.829,2147,1748,2969
0.83,2147,1748,2969
0.85,2144,1749,4006
0.871,2144,1749,4006
0.872,2154,1756,4095
0.89,2154,1756,4095
0.891,2150,1749,4012
0.891,2150,1749,4012
0.891,2147,1752,3640
0.911,2147,1752,3640
0.911,2148,1758,2944
0.932,2148,1758,2944
0.932,2154,1749,4042
0.953,2154,1749,4042
0.953,2151,1754,4095
0.975,2151,1754,4095
0.975,2141,1751,4055
0.996,2141,1751,4055
0.996,2154,1754,3666
1.018,2154,1754,3666
1.018,2137,1751,2989
1.038,2137,1751,2989
1.038,2143,1751,4059
1.058,2143,1751,4059
1.058,2152,1752,4095
1.059,2152,1752,4095
1.059,2144,1748,4029
1.08,2144,1748,4029
1.08,2152,1755,3629
1.101,2152,1755,3629
1.101,2150,1748,3004
1.122,2150,1748,3004
1.122,2144,1754,4013
1.145,2144,1754,4013
1.145,2147,1748,4095
1.164,2147,1748,4095
1.164,2156,1757,3990
1.185,2156,1757,3990
1.185,2151,1751,3660
1.205,2151,1751,3660
1.205,2152,1758,2960
1.228,2152,1758,2960
1.228,2146,1770,4020
1.229,2146,1770,4020
1.229,2149,1756,4095
1.247,2149,1756,4095
1.247,2150,1751,4015
1.268,2150,1751,4015
1.268,2148,1751,3679
1.289,2148,1751,3679
1.289,2153,1756,3029
1.332,2153,1756,3029
1.332,2152,1733,4019
1.332,2152,1733,4019
1.333,2145,1751,4095
1.354,2145,1751,4095
1.354,2157,1742,3990
1.372,2157,1742,3990
1.372,2150,1753,3687
1.393,2150,1753,3687
1.394,2142,1745,2986
1.394,2142,1745,2986
1.394,2152,1752,4014
1.415,2152,1752,4014
1.415,2145,1751,4095
1.435,2145,1751,4095
1.435,2133,1750,4015
1.457,2133,1750,4015
1.457,2148,1751,3675
1.479,2148,1751,3675
1.479,2145,1743,3063
1.502,2145,1743,3063
1.502,2151,1755,4038
1.522,2151,1755,4038
1.522,2149,1754,4095
1.542,2149,1754,4095
1.543,2144,1750,4000
1.563,2144,1750,4000
1.563,2152,1760,3683
1.563,2152,1760,3683
1.563,2138,1759,3000
1.584,2138,1759,3000
1.584,2142,1746,4052
1.605,2142,1746,4052
1.605,2143,1747,4095
1.627,2143,1747,4095
1.627,2152,1748,3980
1.647,2152,1748,3980
1.647,2145,1752,3698
1.668,2145,1752,3698
1.668,2152,1745,3051
1.691,2152,1745,3051
1.691,2148,1749,4051
1.711,2148,1749,4051
1.711,2151,1752,4095
1.731,2151,1752,4095
1.731,2156,1744,4005
1.732,2156,1744,4005
1.732,2144,1744,3714
