Time,25W,25X,25Y
0.008,2137,1744,4095
0.008,2137,1744,4095
0.031,2123,1750,4095
0.031,2123,1750,4095
0.032,2108,1746,3939
0.032,2108,1746,3939
0.058,2118,1739,3385
0.058,2115,1735,3076
0.085,2118,1739,3385
0.085,2115,1735,3076
0.085,2134,1744,4095
0.113,2134,1744,4095
0.113,2125,1740,4095
0.14,2125,1740,4095
0.14,2128,1731,3902
0.14,2128,1731,3902
0.167,2134,1744,3395
0.168,2134,1744,3395
0.194,2114,1740,3074
0.194,2114,1740,3074
0.194,2120,1741,4093
0.194,2120,1741,4093
0.219,2128,1748,4095
0.246,2128,1748,4095
0.246,2119,1744,3823
0.247,2119,1744,3823
0.247,2115,1737,3443
0.276,2115,1737,3443
0.303,2119,1739,3227
0.303,2119,1739,3227
0.303,2128,1738,4095
0.303,2128,1738,4095
0.33,2135,1747,4095
0.33,2135,1747,4095
0.357,2122,1750,3746
0.357,2122,1750,3746
0.357,2129,1747,3533
0.357,2120,1732,3342
0.386,2120,1732,3342
0.386,2130,1742,4095
0.414,2130,1742,4095
0.415,2126,1740,4095
0.416,2126,1740,4095
0.416,2123,1731,3691
0.442,2123,1731,3691
0.442,2133,1742,3594
0.47,2133,1742,3594
0.47,2128,1748,3429
0.471,2128,1748,3429
0.471,2132,1742,4095
0.498,2132,1742,4095
0.498,2130,1741,4095
0.526,2130,1741,4095
0.526,2127,1735,3573
0.526,2127,1735,3573
0.526,2123,1737,3615
0.555,2123,1737,3615
0.555,2133,1721,3492
0.582,2133,1721,3492
0.582,2132,1739,4095
0.61,2132,1739,4095
0.61,2126,1749,4095
0.61,2126,1749,4095
0.611,2146,1733,3517
0.638,2146,1733,3517
0.638,2123,1741,3535
0.639,2123,1741,3535
0.639,2131,1732,3582
0.665,2131,1732,3582
0.665,2131,1742,4095
0.693,2131,1742,4095
0.693,2136,1746,4095
0.693,2136,1746,4095
0.693,2128,1748,3601
0.72,2128,1748,3601
0.72,2122,1750,3625
0.747,2122,1750,3625
0.747,2132,1735,3693
0.748,2132,1735,3693
0.748,2127,1743,4056
0.775,2127,1743,4056
0.775,2124,1742,4095
0.809,2124,1742,4095
0.809,2123,1742,3616
0.829,2123,1742,3616
0.829,2123,1744,3546
0.829,2123,1744,3546
0.83,2132,1741,3679
0.85,2132,1741,3679
0.871,2129,1735,4060
0.872,2129,1735,4060
0.89,2132,1743,4095
0.891,2132,1743,4095
0.891,2123,1745,3659
0.891,2123,1745,3659
0.911,2127,1738,3544
0.911,2127,1738,3544
0.932,2127,1721,3725
0.932,2127,1721,3725
0.953,2134,1744,4095
0.953,2134,1744,4095
0.975,2139,1742,4095
0.975,2139,1742,4095
0.996,2128,1732,3724
0.996,2128,1732,3724
1.018,2123,1736,3518
1.018,2123,1736,3518
1.038,2130,1737,3741
1.038,2130,1737,3741
1.058,2119,1744,4095
1.058,2119,1744,4095
1.059,2144,1749,4095
1.059,2144,1749,4095
1.08,2125,1740,3752
1.08,2125,1740,3752
1.101,2122,1742,3518
1.101,2122,1742,3518
1.122,2128,1744,3735
1.122,2128,1744,3735
1.145,2130,1747,4095
1.145,2130,1747,4095
1.164,2135,1731,4095
1.164,2135,1731,4095
1.185,2139,1732,3663
1.185,2139,1732,3663
1.205,2128,1739,3378
1.205,2128,1739,3378
1.228,2136,1740,3772
1.228,2136,1740,3772
1.229,2160,1738,4095
1.229,2160,1738,4095
1.247,2135,1751,4095
1.247,2135,1751,4095
1.268,2130,1741,3663
1.268,2130,1741,3663
1.289,2120,1735,3091
1.289,2120,1735,3091
1.332,2140,1743,3752
1.332,2140,1743,3752
1.332,2124,1737,4095
1.333,2124,1737,4095
1.354,2139,1757,4095
1.354,2139,1757,4095
1.372,2132,1737,3701
1.372,2132,1737,3701
1.393,2123,1743,3071
1.394,2123,1743,3071
1.394,2130,1725,3770
1.394,2130,1725,3770
1.415,2125,1743,4095
1.415,2125,1743,4095
1.435,2133,1735,4095
1.435,2133,1735,4095
1.457,2136,1743,3697
1.457,2136,1743,3697
1.479,2111,1739,2984
1.479,2111,1739,2984
1.502,2135,1733,3780
1.502,2135,1733,3780
1.522,2127,1739,4095
1.522,2127,1739,4095
1.542,2138,1750,4095
1.543,2138,1750,4095
1.563,2127,1750,3687
1.563,2127,1750,3687
1.563,2134,1740,2904
1.563,2134,1740,2904
1.584,2129,1748,3837
1.584,2129,1748,3837
1.605,2132,1741,4095
1.605,2132,1741,4095
1.627,2120,1738,4095
1.627,2120,1738,4095
1.647,2124,1739,3626
1.647,2124,1739,3626
1.668,2126,1744,3018
1.668,2126,1744,3018
1.691,2131,1734,3791
1.691,2131,1734,3791
1.711,2127,1745,4095
1.711,2127,1745,4095
1.731,2126,1744,4095
1.731,2126,1744,4095
1.732,2117,1741,3634
1.732,2117,1741,3634
1.752,2128,1733,2851
1.752,2128,1733,2851
1.772,2109,1735,3872
1.772,2109,1735,3872
1.794,2132,1761,4095
1.794,2132,1761,4095
1.815,2130,1734,4095
1.815,2130,1734,4095
1.837,2132,1749,3585
1.837,2132,1749,3585
1.859,2133,1726,2898
1.859,2133,1726,2898
1.88,2142,1724,3863
1.88,2142,1724,3863
1.899,2127,1750,4095
1.899,2127,1750,4095
1.9,2136,1746,4095
1.9,2136,1746,4095
1.921,2120,1739,3610
1.921,2120,1739,3610
1.941,2125,1748,2905
1.941,2125,1748,2905
1.962,2127,1719,3971
1.962,2127,1719,3971
2.004,2123,1732,4095
2.005,2123,1732,4095
2.005,2125,1723,4095
2.005,2125,1723,4095
2.025,2127,1742,3544
2.025,2127,1742,3544
2.045,2124,1739,3013
2.045,2124,1739,3013
2.066,2108,1753,3904
2.066,2108,1753,3904
2.066,2127,1742,4095
2.066,2127,1742,4095
2.087,2128,1736,4095
2.087,2128,1736,4095
2.107,2120,1736,3501
2.107,2120,1736,3501
2.128,2122,1736,3051
2.129,2122,1736,3051
2.15,2126,1734,4027
2.15,2126,1734,4027
2.171,2127,1738,4095
2.171,2127,1738,4095
2.192,2137,1743,4095
2.192,2137,1743,4095
2.216,2131,1742,3548
2.216,2131,1742,3548
2.234,2123,1733,3055
2.234,2123,1733,3055
2.234,2136,1723,3999
2.234,2136,1723,3999
2.255,2126,1742,4095
2.255,2126,1742,4095
2.276,2118,1727,4095
2.276,2118,1727,4095
2.299,2124,1737,3481
2.299,2119,1732,2974
2.322,2119,1732,2974
2.322,2131,1760,4048
2.342,2131,1760,4048
2.342,2129,1736,4095
2.385,2129,1736,4095
2.385,2118,1736,4095
2.385,2118,1736,4095
2.385,2121,1733,3518
2.406,2121,1733,3518
2.406,2128,1740,2960
2.406,2128,1740,2960
2.406,2131,1738,4055
2.426,2131,1738,4055
2.426,2130,1737,4095
2.447,2130,1737,4095
2.447,2136,1747,4082
2.468,2136,1747,4082
2.469,2129,1727,3491
2.489,2129,1727,3491
2.489,2132,1742,2967
2.511,2132,1742,2967
2.511,2136,1724,4095
2.532,2136,1724,4095
2.532,2130,1741,4095
2.553,2130,1741,4095
2.553,2095,1745,4095
2.573,2095,1745,4095
2.573,2127,1736,3559
2.575,2127,1736,3559
2.575,2107,1738,2813
2.592,2107,1738,2813
2.592,2134,1711,4095
2.614,2134,1711,4095
2.614,2133,1739,4095
2.636,2133,1739,4095
2.636,2116,1742,4095
2.655,2116,1742,4095
2.655,2127,1735,3510
2.676,2127,1735,3510
2.676,2115,1737,2786
2.696,2115,1737,2786
2.696,2141,1726,4095
2.718,2141,1726,4095
2.718,2128,1736,4095
2.738,2128,1736,4095
2.738,2110,1744,4095
2.738,2135,1734,3573
2.738,2110,1744,4095
2.759,2135,1734,3573
2.759,2121,1728,2753
2.78,2143,1728,4095
2.78,2143,1728,4095
2.801,2135,1741,4095
2.801,2135,1741,4095
2.822,2107,1727,4095
2.822,2107,1727,4095
2.842,2124,1738,3551
2.842,2124,1738,3551
2.863,2124,1724,2694
2.863,2124,1724,2694
2.884,2139,1732,4095
2.884,2139,1732,4095
2.904,2129,1740,4095
2.905,2129,1740,4095
2.905,2123,1749,4063
2.905,2123,1749,4063
2.927,2132,1749,3619
2.927,2132,1749,3619
2.949,2119,1731,2647
2.949,2119,1731,2647
2.969,2112,1743,4095
2.969,2112,1743,4095
2.989,2132,1736,4095
2.989,2132,1736,4095
3.01,2119,1738,4095
3.01,2119,1738,4095
3.03,2120,1742,3597
3.03,2120,1742,3597
3.051,2128,1731,2749
3.051,2128,1731,2749
3.075,2128,1737,4095
3.075,2128,1737,4095
3.075,2124,1743,4095
3.075,2124,1743,4095
3.097,2139,1754,4095
3.097,2139,1754,4095
3.117,2121,1738,3579
3.117,2121,1738,3579
3.139,2129,1740,2744
3.139,2129,1740,2744
3.16,2122,1741,4077
3.16,2122,1741,4077
3.18,2128,1735,4095
3.18,2128,1735,4095
3.202,2143,1748,4095
3.202,2143,1748,4095
3.246,2130,1739,3649
3.246,2130,1739,3649
3.247,2120,1744,2673
3.247,2120,1744,2673
3.247,2119,1749,4095
3.247,2119,1749,4095
3.267,2128,1740,4095
3.267,2128,1740,4095
3.287,2149,1733,4095
3.287,2149,1733,4095
3.307,2126,1736,3633
3.308,2126,1736,3633
3.328,2123,1742,2694
3.328,2123,1742,2694
3.349,2127,1746,4095
3.349,2127,1746,4095
3.37,2129,1740,4095
3.37,2129,1740,4095
3.39,2110,1745,3989
3.39,2110,1745,3989
3.411,2117,1741,3609
3.411,2117,1741,3609
3.412,2123,1744,2838
3.412,2123,1744,2838
3.433,2128,1743,4075
3.433,2128,1743,4075
3.453,2138,1742,4095
3.453,2138,1742,4095
3.475,2118,1748,3984
3.475,2118,1748,3984
3.495,2133,1741,3572
3.495,2133,1741,3572
3.515,2128,1741,2632
3.515,2128,1741,2632
3.536,2134,1717,4049
3.536,2134,1717,4049
3.558,2132,1746,4095
3.558,2132,1746,4095
3.578,2142,1758,3993
3.578,2142,1758,3993
3.578,2126,1730,3519
3.578,2126,1730,3519
3.598,2120,1751,2600
3.599,2120,1751,2600
3.62,2135,1744,4095
3.62,2135,1744,4095
3.639,2133,1739,4095
3.639,2133,1739,4095
3.661,2132,1754,4043
3.661,2132,1754,4043
3.681,2125,1744,3422
3.681,2125,1744,3422
3.701,2155,1734,2732
3.701,2155,1734,2732
3.724,2130,1744,4065
3.724,2130,1744,4065
3.746,2128,1745,4095
3.746,2128,1745,4095
3.747,2142,1753,4023
3.747,2142,1753,4023
3.767,2130,1744,3375
3.767,2130,1744,3375
3.787,2103,1751,2768
3.787,2103,1751,2768
3.807,2132,1749,4013
3.807,2132,1749,4013
3.828,2138,1754,4095
3.828,2138,1754,4095
3.849,2118,1750,4036
3.85,2118,1750,4036
3.87,2138,1749,3391
3.87,2138,1749,3391
3.892,2136,1722,2732
3.892,2136,1722,2732
3.916,2166,1741,4052
3.916,2166,1741,4052
3.917,2153,1750,4095
3.917,2153,1750,4095
3.956,2138,1764,4050
3.956,2138,1764,4050
3.956,2139,1730,3282
3.956,2139,1730,3282
3.974,2123,1749,2652
3.974,2123,1749,2652
3.995,2140,1757,4094
3.995,2140,1757,4094
4.016,2156,1764,4095
4.016,2156,1764,4095
