Time,25W,25X,25Y
0.008,2103,1696,4095
0.008,2103,1696,4095
0.031,2105,1687,4095
0.031,2105,1687,4095
0.032,2097,1687,3622
0.032,2097,1687,3622
0.058,2100,1692,3364
0.058,2100,1692,3364
0.085,2090,1689,3961
0.085,2090,1689,3961
0.085,2112,1688,4095
0.113,2110,1688,4095
0.113,2108,1681,3610
0.14,2107,1696,3261
0.14,2107,1696,3261
0.14,2106,1683,3962
0.167,2106,1683,3962
0.168,2103,1693,4087
0.194,2104,1693,4095
0.194,2104,1693,4095
0.194,2104,1693,4095
0.194,2103,1688,3600
0.219,2103,1688,3600
0.246,2095,1686,3208
0.246,2095,1686,3208
0.247,2116,1690,3958
0.247,2116,1690,3958
0.276,2109,1687,4065
0.303,2110,1690,4095
0.303,2110,1690,4095
0.303,2108,1687,3584
0.303,2108,1687,3584
0.33,2108,1679,3181
0.33,2108,1679,3181
0.357,2106,1694,4070
0.357,2109,1687,4086
0.357,2106,1694,4070
0.357,2109,1687,4086
0.386,2112,1693,4095
0.386,2112,1693,4095
0.414,2109,1689,3594
0.415,2109,1689,3594
0.416,2104,1693,3158
0.416,2104,1693,3158
0.442,2100,1696,4063
0.442,2100,1696,4063
0.47,2112,1690,4085
0.47,2112,1690,4085
0.471,2098,1685,4094
0.471,2098,1685,4094
0.498,2106,1704,3614
0.498,2106,1704,3614
0.526,2101,1677,3178
0.526,2101,1677,3178
0.526,2112,1695,4067
0.526,2112,1695,4067
0.555,2113,1685,4087
0.555,2113,1685,4087
0.582,2105,1679,4095
0.582,2105,1679,4095
0.61,2107,1686,3656
0.61,2107,1686,3656
0.61,2112,1687,3206
0.611,2112,1687,3206
0.638,2121,1680,4093
0.638,2121,1680,4093
0.639,2112,1688,4084
0.639,2112,1688,4084
0.665,2114,1694,4014
0.665,2114,1694,4014
0.693,2107,1688,3659
0.693,2107,1688,3659
0.693,2101,1685,3169
0.693,2101,1685,3169
0.72,2115,1686,4095
0.72,2115,1686,4095
0.747,2107,1689,4055
0.747,2107,1689,4055
0.748,2113,1680,4095
0.748,2113,1680,4095
0.775,2108,1689,3654
0.775,2108,1689,3654
0.809,2112,1688,3165
0.809,2112,1688,3165
0.829,2112,1689,4095
0.829,2112,1689,4095
0.829,2103,1692,4095
0.83,2103,1692,4095
0.85,2121,1685,4063
0.871,2121,1685,4063
0.872,2103,1692,3707
0.89,2103,1692,3707
0.891,2104,1689,3111
0.891,2104,1689,3111
0.891,2117,1690,4095
0.911,2117,1690,4095
0.911,2105,1689,4095
0.932,2105,1689,4095
0.932,2104,1694,4003
0.953,2104,1694,4003
0.953,2107,1690,3683
0.975,2107,1690,3683
0.975,2104,1693,3066
0.996,2104,1693,3066
0.996,2117,1688,4095
1.018,2117,1688,4095
1.018,2103,1687,4085
1.038,2103,1687,4085
1.038,2104,1698,4095
1.058,2104,1698,4095
1.058,2107,1688,3704
1.059,2107,1688,3704
1.059,2108,1682,3011
1.08,2108,1682,3011
1.08,2111,1693,4095
1.101,2111,1693,4095
1.101,2106,1695,4073
1.122,2106,1695,4073
1.122,2110,1689,4095
1.145,2110,1689,4095
1.145,2105,1694,3702
1.164,2105,1694,3702
1.164,2101,1686,2984
1.185,2101,1686,2984
1.185,2114,1686,4095
1.205,2114,1686,4095
1.205,2112,1690,4095
1.228,2112,1690,4095
1.228,2123,1685,4018
1.229,2123,1685,4018
1.229,2104,1692,3672
1.247,2104,1692,3672
1.247,2110,1688,2999
1.268,2110,1688,2999
1.268,2109,1698,4095
1.289,2109,1698,4095
1.289,2104,1687,4095
1.332,2104,1687,4095
1.332,2099,1701,4031
1.332,2099,1701,4031
1.333,2105,1696,3683
1.354,2105,1696,3683
1.354,2108,1694,2964
1.372,2108,1694,2964
1.372,2112,1689,4095
1.393,2112,1689,4095
1.394,2109,1689,4095
1.394,2109,1689,4095
1.394,2105,1695,4091
1.415,2105,1695,4091
1.415,2102,1701,3695
1.435,2102,1701,3695
1.435,2101,1687,2979
1.457,2101,1687,2979
1.457,2103,1695,4095
