Time,25W,25X,25Y
0.008,2121,1716,2243
0.008,2115,1719,2110
0.031,2115,1719,2110
0.031,2115,1719,2089
0.032,2115,1719,2089
0.032,2128,1718,2109
0.058,2128,1718,2109
0.058,2117,1715,2129
0.085,2117,1715,2129
0.085,2136,1724,2216
0.085,2136,1724,2216
0.113,2128,1714,2109
0.113,2128,1714,2109
0.14,2118,1720,2082
0.14,2118,1720,2082
0.14,2111,1714,2137
0.167,2111,1714,2137
0.168,2118,1716,2156
0.194,2118,1716,2156
0.194,2123,1714,2236
0.194,2123,1714,2236
0.194,2123,1714,2236
0.219,2113,1718,2094
0.246,2119,1711,2098
0.246,2119,1711,2098
0.247,2111,1727,2099
0.247,2111,1727,2099
0.276,2120,1720,2141
0.303,2120,1720,2141
0.303,2120,1716,2183
0.303,2120,1716,2183
0.303,2113,1718,2087
0.33,2113,1718,2087
0.33,2114,1717,2103
0.357,2114,1717,2103
0.357,2109,1716,2023
0.357,2109,1716,2023
0.357,2125,1720,2153
0.386,2125,1720,2153
0.386,2128,1723,2189
0.414,2128,1723,2189
0.415,2125,1715,2084
0.416,2125,1715,2084
0.416,2121,1717,2120
0.442,2121,1717,2120
0.442,2124,1717,2070
0.47,2124,1717,2070
0.47,2132,1719,2160
0.471,2132,1719,2160
0.471,2113,1723,2163
0.498,2113,1723,2163
0.498,2125,1716,2102
0.526,2125,1716,2102
0.526,2110,1713,2090
0.526,2110,1713,2090
0.526,2114,1716,2063
0.555,2114,1716,2063
0.555,2118,1721,2142
0.582,2118,1721,2142
0.582,2127,1720,2214
0.61,2127,1720,2214
0.61,2117,1726,2120
0.61,2117,1726,2120
0.611,2118,1713,2070
0.638,2118,1713,2070
0.638,2120,1716,2053
0.639,2120,1716,2053
0.639,2120,1721,2152
0.665,2120,1721,2152
0.665,2120,1717,2175
0.693,2120,1717,2175
0.693,2109,1713,2121
0.693,2109,1713,2121
0.693,2120,1711,2087
0.72,2120,1711,2087
0.72,2112,1717,2046
0.747,2112,1717,2046
0.747,2115,1724,2149
0.748,2115,1724,2149
0.748,2124,1725,2200
0.775,2124,1725,2200
0.775,2112,1716,2149
0.809,2112,1716,2149
0.809,2120,1715,2095
0.829,2120,1715,2095
