Time,25W,25X,25Y
0.008,1637,1978,3705
0.008,1637,1978,3705
0.031,1601,1987,3601
0.031,1601,1987,3601
0.032,1719,1975,4055
0.032,1719,1975,4055
0.058,1800,1992,4095
0.058,1800,1992,4095
0.085,1700,1980,3873
0.085,1700,1980,3873
0.085,1623,1975,3664
0.113,1623,1975,3664
0.113,1632,1990,3566
0.14,1632,1990,3566
0.14,1713,1973,4020
0.14,1713,1973,4020
0.167,1845,1990,4095
0.168,1679,1979,3910
0.194,1679,1979,3910
0.194,1613,1986,3666
0.194,1613,1986,3666
0.194,1601,1973,3528
0.219,1601,1973,3528
0.246,1714,1987,4027
0.246,1714,1987,4027
0.247,1839,1981,4095
0.247,1839,1981,4095
0.276,1700,1996,3913
0.303,1700,1996,3913
0.303,1642,1990,3662
0.303,1642,1990,3662
0.303,1599,1990,3480
0.33,1599,1990,3480
0.33,1707,1996,4002
0.357,1808,1992,4095
0.357,1808,1992,4095
0.357,1696,1996,3882
0.357,1696,1996,3882
0.386,1623,1990,3654
0.386,1623,1990,3654
0.414,1611,1981,3460
0.415,1611,1981,3460
0.416,1710,1973,4014
0.416,1710,1973,4014
0.442,1783,1992,4095
0.442,1783,1992,4095
0.47,1677,1981,3897
0.47,1677,1981,3897
0.471,1621,1988,3665
0.471,1621,1988,3665
0.498,1614,1991,3462
0.498,1614,1991,3462
0.526,1711,2001,4016
0.526,1711,2001,4016
0.526,1781,1976,4095
0.526,1781,1976,4095
0.555,1694,1987,3882
0.555,1694,1987,3882
0.582,1617,1989,3660
0.582,1617,1989,3660
0.61,1579,1976,3471
0.61,1579,1976,3471
0.61,1716,1981,4034
0.611,1827,1996,4095
0.638,1716,1981,4034
0.638,1827,1996,4095
0.639,1659,1983,3891
0.639,1659,1983,3891
0.665,1578,1978,3657
0.665,1578,1978,3657
0.693,1633,1981,3520
0.693,1633,1981,3520
0.693,1718,1992,4029
0.693,1718,1992,4029
0.72,1857,1986,4095
0.72,1857,1986,4095
0.747,1679,1989,3877
0.747,1679,1989,3877
0.748,1636,1977,3663
0.748,1636,1977,3663
0.775,1607,1982,3508
0.775,1607,1982,3508
0.809,1735,1990,4037
0.809,1735,1990,4037
0.829,1858,1994,4095
0.829,1858,1994,4095
0.829,1719,1983,3876
0.83,1719,1983,3876
0.85,1639,1982,3654
0.871,1639,1982,3654
0.872,1614,1979,3504
0.89,1614,1979,3504
0.891,1717,1994,4024
0.891,1717,1994,4024
0.891,1812,1996,4095
0.911,1812,1996,4095
0.911,1706,1991,3913
0.932,1706,1991,3913
0.932,1633,1988,3669
0.953,1633,1988,3669
0.953,1591,1978,3502
0.975,1591,1978,3502
0.975,1731,1993,4021
0.996,1731,1993,4021
0.996,1826,2004,4095
1.018,1826,2004,4095
1.018,1667,1978,3908
1.038,1667,1978,3908
1.038,1630,1982,3671
1.058,1630,1982,3671
1.058,1578,1977,3486
1.059,1578,1977,3486
1.059,1724,1988,4028
1.08,1724,1988,4028
1.08,1800,2001,4095
1.101,1800,2001,4095
1.101,1686,1995,3919
1.122,1686,1995,3919
1.122,1637,1987,3678
1.145,1637,1987,3678
1.145,1613,1978,3493
1.164,1613,1978,3493
1.164,1732,1983,4019
1.185,1732,1983,4019
1.185,1769,1985,4095
1.205,1769,1985,4095
1.205,1710,1989,3903
1.228,1710,1989,3903
1.228,1645,1988,3683
1.229,1645,1988,3683
1.229,1613,1989,3461
1.247,1613,1989,3461
1.247,1703,1973,3999
1.268,1703,1973,3999
1.268,1756,1989,4095
1.289,1756,1989,4095
1.289,1723,1987,3929
1.332,1723,1987,3929
1.332,1631,1988,3688
1.332,1631,1988,3688
1.333,1578,1974,3398
1.354,1578,1974,3398
1.354,1735,1981,4009
1.372,1735,1981,4009
1.372,1804,1979,4095
1.393,1804,1979,4095
1.394,1709,1980,3935
1.394,1709,1980,3935
1.394,1628,1977,3688
1.415,1628,1977,3688
1.415,1567,1982,3374
1.435,1567,1982,3374
1.435,1714,1993,4006
1.457,1821,1993,4095
1.457,1714,1993,4006
1.479,1821,1993,4095
1.479,1725,1987,3958
1.502,1725,1987,3958
1.502,1637,1988,3704
1.522,1637,1988,3704
1.522,1556,1967,3382
1.542,1556,1967,3382
1.543,1718,1987,4000
1.563,1718,1987,4000
1.563,1862,1929,4095
1.563,1862,1929,4095
1.563,1717,1982,3937
1.584,1717,1982,3937
1.584,1642,1981,3713
1.605,1591,1977,3329
1.605,1713,1984,3994
1.627,1713,1984,3994
1.627,1846,1983,4095
1.647,1846,1983,4095
1.647,1712,1987,3935
1.668,1712,1987,3935
1.668,1654,1992,3727
1.691,1654,1992,3727
1.691,1580,1987,3331
1.711,1580,1987,3331
1.711,1715,1978,4002
1.731,1715,1978,4002
1.731,1800,2002,4095
1.732,1800,2002,4095
1.732,1721,1982,3936
1.752,1721,1982,3936
1.752,1667,1975,3720
1.772,1582,1986,3334
1.772,1667,1975,3720
1.794,1582,1986,3334
1.794,1704,1988,3980
1.815,1704,1988,3980
1.815,1810,1985,4095
1.837,1810,1985,4095
1.837,1702,1991,3914
1.859,1702,1991,3914
1.859,1648,1979,3720
1.88,1648,1979,3720
1.88,1531,1978,3309
1.899,1531,1978,3309
1.899,1708,1987,4037
1.9,1708,1987,4037
1.9,1803,1984,4095
1.921,1803,1984,4095
1.921,1718,1987,3976
1.941,1718,1987,3976
1.941,1656,1986,3777
1.962,1656,1986,3777
1.962,1547,1996,3277
2.004,1547,1996,3277
2.005,1722,1988,4010
2.005,1722,1988,4010
2.005,1797,1982,4095
2.025,1797,1982,4095
2.025,1695,1968,3951
2.045,1695,1968,3951
2.045,1658,1984,3743
2.066,1658,1984,3743
2.066,1531,1982,3314
2.066,1531,1982,3314
2.066,1691,1991,4010
2.087,1691,1991,4010
2.087,1721,1983,4043
2.107,1721,1983,4043
2.107,1676,1983,3916
2.128,1676,1983,3916
2.129,1657,1981,3767
2.15,1657,1981,3767
2.15,1521,1979,3327
2.171,1521,1979,3327
2.171,1704,1987,4009
2.192,1704,1987,4009
2.192,1719,1991,4041
2.216,1719,1991,4041
2.216,1697,1986,3942
2.234,1697,1986,3942
2.234,1672,1991,3797
2.234,1672,1991,3797
2.234,1571,1990,3373
2.255,1571,1990,3373
2.255,1718,1984,4020
2.276,1718,1984,4020
2.276,1725,1979,4035
2.299,1725,1979,4035
2.299,1712,1980,3983
2.322,1712,1980,3983
2.322,1671,2011,3799
2.342,1671,2011,3799
2.342,1585,1989,3366
2.385,1585,1989,3366
2.385,1706,1987,4026
2.385,1706,1987,4026
2.385,1724,1989,4034
2.406,1724,1989,4034
2.406,1699,1987,3995
2.406,1699,1987,3995
2.406,1679,1987,3805
2.426,1679,1987,3805
2.426,1570,1984,3352
2.447,1570,1984,3352
2.447,1719,1983,4030
2.468,1719,1983,4030
2.469,1739,1982,4025
2.489,1739,1982,4025
2.489,1701,1978,3970
2.511,1701,1978,3970
2.511,1670,1983,3810
2.532,1670,1983,3810
2.532,1553,2021,3344
2.553,1553,2021,3344
2.553,1729,1982,4065
2.573,1729,1982,4065
2.573,1721,1981,4040
2.575,1721,1981,4040
2.575,1721,1993,3975
2.592,1721,1993,3975
2.592,1681,1973,3795
2.614,1681,1973,3795
2.614,1568,1984,3348
2.636,1568,1984,3348
2.636,1721,1987,4078
2.655,1721,1987,4078
2.655,1732,1995,4031
2.676,1732,1995,4031
2.676,1692,1988,3977
2.696,1692,1988,3977
2.696,1680,1978,3811
2.718,1680,1978,3811
2.718,1547,1984,3372
2.738,1547,1984,3372
2.738,1723,1987,4091
2.738,1723,1987,4091
2.738,1717,2004,4026
2.759,1717,2004,4026
2.759,1742,1985,3992
2.78,1742,1985,3992
2.78,1669,1991,3797
2.801,1669,1991,3797
2.801,1566,1981,3398
2.822,1566,1981,3398
2.822,1738,1981,4087
2.842,1738,1981,4087
2.842,1715,1994,4033
2.863,1715,1994,4033
2.863,1730,1998,4008
2.884,1730,1998,4008
2.884,1670,1987,3808
2.904,1670,1987,3808
2.905,1554,1979,3433
2.905,1554,1979,3433
2.905,1744,1981,4095
2.927,1744,1981,4095
2.927,1700,1990,4010
2.949,1700,1990,4010
2.949,1669,1987,3976
2.969,1669,1987,3976
2.969,1666,1979,3793
2.989,1666,1979,3793
2.989,1573,1979,3468
3.01,1573,1979,3468
3.01,1747,1983,4095
3.03,1747,1983,4095
3.03,1709,1981,4001
3.051,1709,1981,4001
3.051,1779,1985,4059
3.075,1779,1985,4059
3.075,1677,1985,3793
3.075,1677,1985,3793
3.075,1612,1990,3470
3.097,1612,1990,3470
3.097,1726,1994,4094
3.117,1726,1994,4094
3.117,1714,1987,4007
3.139,1714,1987,4007
3.139,1719,1977,3977
3.16,1719,1977,3977
3.16,1669,1983,3776
3.18,1669,1983,3776
3.18,1609,1974,3488
3.202,1609,1974,3488
3.202,1717,1991,4073
3.246,1717,1991,4073
3.246,1702,1982,4002
3.247,1702,1982,4002
3.247,1690,2008,3991
3.247,1690,2008,3991
3.247,1659,1989,3749
3.267,1659,1989,3749
3.267,1586,1991,3464
3.287,1586,1991,3464
3.287,1727,1988,4045
3.307,1727,1988,4045
3.308,1725,1983,4018
3.328,1725,1983,4018
3.328,1720,1971,4025
3.349,1720,1971,4025
3.349,1663,1985,3746
3.37,1663,1985,3746
3.37,1579,1988,3503
3.39,1579,1988,3503
3.39,1753,1976,4036
3.411,1753,1976,4036
3.411,1705,1987,4019
3.412,1705,1987,4019
3.412,1725,1978,4070
3.433,1725,1978,4070
3.433,1652,1981,3751
3.453,1652,1981,3751
3.453,1621,1983,3602
3.475,1621,1983,3602
3.475,1717,1970,3997
3.495,1717,1970,3997
3.495,1733,1981,4054
3.515,1733,1981,4054
3.515,1711,1982,4093
3.536,1711,1982,4093
3.536,1652,1992,3719
3.558,1652,1992,3719
3.558,1669,1975,3635
3.578,1669,1975,3635
3.578,1716,1996,3993
3.578,1716,1996,3993
3.578,1723,1992,4067
3.598,1723,1992,4067
3.599,1722,1991,4094
3.62,1722,1991,4094
3.62,1667,1986,3763
3.639,1667,1986,3763
3.639,1633,1988,3511
3.661,1633,1988,3511
3.661,1668,1987,3957
3.681,1668,1987,3957
3.681,1756,1993,4095
3.701,1756,1993,4095
3.701,1757,1993,4095
3.724,1757,1993,4095
3.724,1660,1986,3775
3.746,1660,1986,3775
3.746,1588,1989,3366
3.747,1588,1989,3366
3.747,1715,1992,3972
3.767,1761,1972,4095
3.767,1715,1992,3972
3.787,1761,1972,4095
3.787,1747,1993,4095
3.807,1747,1993,4095
3.807,1648,1983,3760
3.828,1648,1983,3760
3.828,1503,1983,3272
3.849,1503,1983,3272
3.85,1675,1997,3940
3.87,1675,1997,3940
3.87,1752,2005,4095
3.892,1752,2005,4095
3.892,1783,1997,4095
3.916,1783,1997,4095
3.916,1663,2001,3803
3.917,1663,2001,3803
3.917,1541,1994,3385
3.956,1541,1994,3385
3.956,1682,1992,3931
3.956,1682,1992,3931
3.956,1776,1991,4095
3.974,1776,1991,4095
3.974,1770,2003,4095
3.995,1770,2003,4095
3.995,1681,1997,3807
4.016,1681,1997,3807
4.016,1640,1992,3515
4.038,1640,1992,3515
4.038,1709,1995,3924
4.059,1709,1995,3924
4.059,1782,1988,4095
4.078,1782,1988,4095
4.079,1802,1996,4095
4.079,1802,1996,4095
4.079,1668,1989,3797
4.1,1668,1989,3797
4.1,1619,1989,3486
4.12,1619,1989,3486
4.12,1708,1996,3912
4.141,1708,1996,3912
