Time,25W,25X,25Y,25Z,25P,25Q
111.026,2156,2853,3999,377,381,380
111.026,2149,2866,3953,372,378,381
111.026,2155,2852,3913,380,372,379
111.026,2153,2853,3997,377,378,377
111.026,2156,2851,4030,379,369,378
111.026,2155,2864,3994,383,385,379
111.026,2156,2851,3960,382,375,375
111.026,2138,2855,3895,379,361,373
111.026,2148,2851,3986,381,373,373
111.026,2139,2860,4005,384,373,375
111.026,2150,2852,3980,376,377,382
111.026,2158,2857,3973,375,383,381
111.026,2150,2855,3912,379,397,380
111.026,2152,2856,3996,384,373,378
111.026,2148,2858,4075,381,379,382
111.026,2144,2857,4007,377,380,380
111.026,2147,2858,3970,382,386,380
111.026,2135,2852,3896,379,372,374
111.026,2146,2851,3976,381,379,375
111.026,2160,2854,4095,399,376,376
111.026,2150,2845,3988,381,372,380
111.026,2147,2851,3977,375,375,373
111.026,2143,2854,3897,378,372,377
111.026,2147,2857,3988,376,373,384
111.026,2153,2858,4095,381,377,380
111.026,2148,2857,3998,381,372,369
111.026,2142,2861,3975,376,376,374
111.026,2146,2852,3887,378,381,375
111.026,2149,2859,3989,381,381,382
111.026,2160,2856,4095,376,379,384
111.026,2151,2858,3979,380,375,379
111.026,2159,2860,3973,377,380,378
111.031,2152,2855,3900,376,371,374
111.046,2150,2852,3984,380,373,377
111.065,2155,2854,4095,383,373,381
111.078,2137,2863,3973,388,378,374
111.094,2141,2854,3979,417,370,375
111.109,2154,2855,3911,374,374,371
111.125,2137,2856,3998,380,375,374
111.144,2156,2855,4088,378,379,374
111.144,2152,2851,4005,377,371,376
111.160,2149,2859,3976,377,380,382
111.173,2143,2857,3921,384,373,376
111.187,2152,2856,4018,375,399,373
111.203,2146,2855,4095,379,382,383
111.223,2155,2852,3997,372,384,379
111.241,2142,2853,3999,378,384,375
111.255,2145,2855,3930,384,377,374
111.268,2146,2852,4008,371,373,372
111.269,2153,2868,4088,382,379,373
111.280,2143,2875,3991,377,382,367
111.299,2154,2860,3974,371,376,374
111.319,2139,2860,3896,373,375,384
111.335,2160,2842,3986,374,390,373
111.345,2147,2851,4042,384,382,382
111.361,2148,2847,3950,383,377,373
111.380,2150,2854,3965,380,373,379
111.401,2139,2851,3928,380,374,381
111.401,2158,2854,3986,381,376,375
111.410,2151,2856,4048,379,381,380
111.429,2148,2860,3976,378,375,373
111.442,2146,2855,3979,379,376,371
111.462,2150,2853,3950,369,381,371
111.503,2146,2847,3997,378,379,377
111.503,2152,2860,4040,379,377,379
111.521,2152,2854,3963,378,375,384
111.540,2143,2856,3984,374,371,382
111.541,2135,2856,3910,377,374,373
111.557,2142,2857,3989,379,373,378
111.566,2146,2853,4053,373,378,378
111.585,2143,2863,3958,381,375,371
111.601,2145,2862,3983,381,378,374
111.620,2135,2843,3927,376,376,375
111.656,2140,2850,3996,378,373,379
111.656,2152,2853,4062,380,375,378
111.671,2156,2857,3974,378,374,380
111.671,2143,2858,3982,378,374,375
111.683,2139,2852,3938,374,373,352
111.701,2146,2857,3990,381,373,381
111.712,2144,2859,4085,380,374,379
111.731,2146,2854,3955,374,371,379
111.750,2156,2855,3979,375,377,371
111.768,2138,2850,3924,374,379,372
111.782,2153,2854,3991,373,373,378
111.804,2136,2868,4095,400,375,395
111.805,2149,2862,3960,372,371,378
111.820,2150,2856,3983,376,378,381
111.839,2154,2848,3957,376,376,394
111.857,2144,2861,4000,379,375,379
111.871,2143,2857,4095,381,378,380
111.884,2146,2845,3965,372,372,370
111.902,2143,2859,3983,375,377,380
111.920,2155,2857,3968,379,381,382
111.938,2145,2856,3998,376,376,376
111.938,2144,2854,4094,375,376,380
111.956,2145,2857,3972,374,380,381
111.964,2153,2862,3978,378,376,378
111.982,2162,2856,3931,384,376,367
112.002,2149,2852,3997,380,378,381
112.044,2155,2856,4091,374,377,380
112.046,2148,2862,3967,378,373,378
112.061,2146,2859,3988,376,379,378
112.077,2148,2852,3981,374,373,378
112.077,2145,2853,4006,386,377,378
112.092,2153,2849,4062,379,377,378
112.107,2145,2856,3954,377,375,377
112.121,2151,2857,3980,378,378,378
112.137,2146,2855,3950,378,371,379
112.153,2144,2853,3987,378,380,373
112.169,2143,2853,4047,372,375,381
112.187,2152,2855,3965,380,380,378
112.207,2143,2855,3955,376,354,374
112.207,2132,2849,3935,362,369,374
112.221,2149,2853,3992,373,382,374
