Time,25W,25X,25Y,25Z,25P,25Q
0.000,2144,2856,4015,385,387,383
0.020,2141,2854,3867,378,384,384
0.040,2135,2854,4002,381,383,378
0.060,2141,2857,3990,386,379,377
0.080,2145,2851,4014,383,383,388
0.100,2139,2857,3984,386,382,382
0.120,2141,2858,3870,388,378,396
0.140,2145,2864,4006,384,386,379
0.160,2144,2858,3989,379,381,382
0.180,2140,2859,4022,388,378,385
0.200,2139,2861,3977,378,381,382
0.220,2141,2866,3881,379,373,376
0.240,2141,2866,4014,388,379,383
0.260,2138,2855,3997,379,381,385
0.280,2141,2857,4016,393,383,390
0.300,2142,2856,3988,384,380,385
0.320,2135,2861,3889,381,383,384
0.340,2144,2861,4012,388,382,391
0.360,2137,2864,3991,385,375,385
0.380,2144,2850,4003,381,383,383
0.400,2140,2857,3982,375,383,382
0.420,2142,2853,3898,377,377,376
0.440,2138,2861,3997,392,380,379
0.460,2148,2863,3992,381,390,383
0.480,2140,2855,4011,379,383,386
0.500,2149,2864,3992,381,388,389
0.520,2136,2854,3888,379,388,383
0.540,2144,2859,4003,386,383,393
0.560,2140,2862,3995,379,389,384
0.580,2144,2858,4014,385,386,380
0.600,2127,2857,3984,384,379,382
0.620,2139,2860,3914,378,378,379
0.640,2148,2856,4007,385,383,387
0.660,2139,2861,4000,385,386,382
0.680,2155,2866,4015,382,388,384
0.700,2136,2862,3986,385,388,379
0.720,2135,2856,3873,381,377,378
0.740,2119,2857,4005,383,380,389
0.760,2138,2839,3997,381,378,383
0.780,2158,2855,4022,383,385,381
0.800,2146,2861,3981,382,382,387
0.820,2145,2861,3867,383,385,385
0.840,2157,2861,4000,383,386,387
0.860,2147,2861,4002,390,382,381
0.880,2133,2860,4036,381,379,392
0.900,2152,2853,3951,379,381,381
0.920,2128,2860,3853,383,377,388
0.940,2143,2859,3987,381,390,387
0.960,2143,2861,4002,392,386,389
0.980,2148,2854,3989,387,388,390
1.000,2146,2857,3979,378,385,384
1.020,2136,2855,3875,384,388,391
1.040,2149,2867,4019,388,388,387
1.060,2150,2868,3991,381,392,385
1.080,2151,2856,3999,384,387,374
1.100,2139,2860,3979,392,382,382
1.120,2139,2856,3854,392,383,382
1.140,2143,2861,4005,381,384,383
1.160,2155,2860,3995,389,393,391
1.180,2146,2861,3995,389,389,379
1.200,2144,2859,3975,390,384,386
1.220,2141,2869,3894,382,373,380
1.240,2148,2875,3990,379,388,392
1.260,2139,2879,3991,383,389,391
1.280,2136,2864,4020,385,382,382
1.300,2146,2852,3981,375,382,376
1.320,2138,2862,3877,388,381,380
1.340,2144,2855,3997,390,385,393
1.360,2148,2854,3984,378,380,383
1.380,2141,2861,3989,386,375,382
1.400,2148,2869,3972,389,381,379
1.420,2145,2861,3896,384,384,382
1.440,2144,2861,4011,384,382,386
1.460,2133,2859,4000,383,384,390
1.480,2150,2854,4042,382,379,382
1.500,2139,2853,3974,385,384,388
1.520,2141,2859,3889,383,392,381
1.540,2143,2857,4007,381,387,380
1.560,2139,2860,4000,389,379,387
1.580,2147,2861,4046,384,390,381
1.600,2143,2862,3975,384,384,386
1.620,2135,2850,3879,377,379,379
1.640,2147,2853,3997,388,382,387
1.660,2139,2859,3998,386,387,381
1.680,2152,2860,4027,380,385,386
1.700,2145,2852,3977,388,388,386
1.720,2136,2860,3885,386,384,385
1.740,2146,2855,4005,387,375,389
1.760,2152,2855,3990,390,382,384
1.780,2154,2847,4044,381,392,383
1.800,2142,2860,3983,383,381,382
1.820,2133,2864,3872,379,381,375
1.840,2150,2857,3996,392,386,388
1.860,2153,2853,3991,386,383,384
1.880,2146,2857,4054,387,382,382
1.900,2138,2857,3975,385,384,383
1.920,2131,2868,3871,392,383,384
1.940,2141,2855,4012,386,390,385
1.960,2134,2862,3984,380,380,384
1.980,2131,2847,4019,381,400,380
2.000,2142,2855,3965,381,386,382
2.020,2141,2863,3897,390,381,386
2.040,2139,2863,4003,382,388,386
2.060,2143,2854,3983,383,378,384
2.080,2121,2868,3963,381,375,388
2.100,2141,2854,3967,388,382,384
2.120,2152,2860,3923,382,387,385
2.140,2145,2857,4000,396,388,383
2.160,2141,2856,3985,388,385,397
2.180,2150,2839,4003,377,383,377
2.200,2144,2857,3976,383,382,384
2.220,2145,2857,3937,382,388,378
2.240,2141,2857,4008,379,373,384
2.260,2138,2855,3980,392,384,384
2.280,2131,2857,4028,383,378,389
2.300,2143,2859,3957,383,385,389
2.320,2141,2865,3930,392,392,389
2.340,2139,2860,3999,379,392,377
2.360,2150,2863,3991,391,388,383
2.380,2152,2864,4068,385,377,379
2.400,2149,2865,3959,398,382,389
2.420,2148,2859,3951,384,390,390
2.440,2141,2851,3993,392,392,395
2.460,2147,2865,3995,387,388,387
2.480,2149,2854,4043,385,385,384
2.500,2148,2860,3975,386,390,381
2.520,2131,2850,3940,385,391,378
2.540,2139,2862,4000,388,379,388
2.560,2136,2859,3992,381,374,378
2.580,2146,2864,4022,388,395,387
2.600,2138,2856,3977,385,377,377
2.620,2131,2856,3931,379,381,381
2.640,2135,2864,4008,383,379,381
2.660,2148,2863,4000,392,384,383
2.680,2147,2857,4040,382,389,377
2.700,2135,2851,3978,382,381,388
2.720,2136,2860,3936,382,375,372
2.740,2140,2857,4000,383,387,375
2.760,2143,2861,3988,388,385,385
2.780,2146,2864,4076,386,384,395
2.800,2143,2859,3985,386,380,384
2.820,2135,2858,3885,386,385,375
2.840,2127,2867,3980,384,383,380
2.860,2142,2861,3993,387,392,379
2.880,2147,2860,4059,383,389,387
2.900,2137,2857,3975,389,389,386
2.920,2143,2859,3834,390,383,381
2.940,2141,2854,3960,386,382,379
2.960,2145,2857,3995,385,383,382
2.980,2144,2863,4059,377,381,379
3.000,2142,2855,3977,377,385,384
3.020,2143,2851,3838,377,382,384
3.040,2148,2853,3964,379,384,384
3.060,2150,2877,3985,391,384,380
3.080,2156,2865,4061,389,386,382
3.100,2154,2859,3966,386,384,375
3.120,2152,2859,3832,388,379,385
3.140,2180,2859,3996,385,380,384
3.160,2157,2864,3997,385,386,386
3.180,2126,2866,4086,379,378,383
3.200,2152,2869,3967,384,388,388
3.220,2134,2867,3888,385,375,386
3.240,2143,2869,3998,383,392,380
3.260,2143,2858,4025,379,382,384
3.280,2140,2855,4090,379,393,378
3.300,2146,2859,3978,385,380,382
3.320,2134,2855,3913,380,381,382
3.340,2092,2860,4002,375,384,397
3.360,2135,2864,4011,383,378,381
3.380,2138,2855,4075,383,385,388
3.400,2142,2858,3976,388,386,382
3.420,2123,2852,3951,381,384,376
3.440,2144,2863,4004,382,385,384
3.460,2137,2858,4011,383,383,386
3.480,2143,2864,4059,384,387,386
3.500,2139,2861,3980,382,385,388
3.520,2136,2860,3932,388,388,386
3.540,2145,2858,3971,383,384,383
3.560,2149,2863,4003,382,387,387
3.580,2149,2856,4095,392,391,382
3.600,2127,2857,3979,382,382,383
3.620,2144,2861,3921,386,384,386
3.640,2138,2857,3965,388,382,386
3.660,2154,2859,4008,389,387,384
3.680,2155,2864,4091,395,382,388
3.700,2149,2859,3978,380,383,384
3.720,2145,2858,3929,383,384,382
3.740,2152,2859,3957,389,389,390
3.760,2148,2855,4000,389,390,390
3.780,2154,2863,4093,382,388,387
3.800,2142,2856,3988,383,382,383
3.820,2143,2858,3910,379,381,386
3.840,2153,2861,3946,388,388,381
3.860,2146,2858,3985,385,379,387
3.880,2150,2854,4095,385,385,379
3.900,2142,2858,3975,380,381,385
3.920,2136,2861,3870,378,377,388
3.940,2142,2852,3954,382,378,388
3.960,2143,2857,4008,388,379,387
3.980,2141,2855,4092,392,377,392
4.000,2140,2857,3983,383,382,384
4.020,2121,2851,3867,378,382,384
4.040,2134,2856,3947,376,385,375
4.060,2147,2856,4000,383,378,381
4.080,2150,2849,4095,383,383,388
4.100,2144,2859,4000,383,382,379
4.120,2141,2853,3883,384,380,383
4.140,2144,2857,3952,381,379,392
4.160,2147,2858,3992,378,384,386
4.180,2153,2851,4095,382,384,388
4.200,2144,2854,3999,386,387,382
4.220,2139,2850,3879,388,382,377
4.240,2151,2835,3946,386,384,378
4.260,2144,2855,3999,387,381,387
4.280,2137,2855,4085,384,386,385
4.300,2146,2864,3990,375,381,382
4.320,2151,2846,3892,388,390,380
4.340,2156,2858,3936,385,392,381
4.360,2152,2855,4002,383,389,390
4.380,2143,2856,4095,385,388,390
4.400,2141,2856,4004,388,386,398
4.420,2146,2852,3886,375,387,375
4.440,2152,2855,3953,387,386,389
4.460,2150,2856,3987,375,382,380
4.480,2144,2871,4095,386,375,387
4.500,2143,2864,3990,385,385,388
4.520,2148,2858,3881,375,385,384
4.540,2138,2870,3944,409,388,394
4.560,2144,2866,4003,388,385,385
4.580,2149,2856,4095,383,382,385
4.600,2144,2858,3984,384,384,388
4.620,2143,2863,3848,379,388,376
4.640,2148,2850,3957,384,391,382
4.660,2145,2861,3982,385,388,390
4.680,2133,2853,4095,388,373,382
4.700,2148,2861,3983,378,385,383
4.720,2148,2861,3860,385,385,378
4.740,2135,2865,3968,392,379,380
4.760,2146,2863,4000,382,383,380
4.780,2160,2855,4095,394,382,379
4.800,2144,2857,3974,389,388,377
4.820,2138,2849,3845,386,384,383
4.840,2152,2862,3981,388,386,392
4.860,2141,2859,3996,383,383,383
4.880,2151,2858,4095,385,385,389
4.900,2145,2864,3978,381,382,384
4.920,2139,2858,3850,387,379,379
4.940,2125,2858,3979,387,380,377
4.960,2152,2868,3991,410,381,389
4.980,2149,2860,4095,391,380,386
