Time,25W,25X,25Y,25Z,25P,25Q
5.524,2188,2900,3861,453,443,445
5.524,2181,2899,4001,447,454,462
5.524,2188,2901,4002,457,459,454
5.524,2173,2899,4023,458,454,456
5.524,2179,2905,3993,456,458,451
5.524,2174,2907,3876,456,451,450
5.524,2178,2895,4000,457,454,449
5.524,2182,2899,3994,461,453,456
5.524,2174,2893,3987,452,450,452
5.524,2189,2897,3997,457,459,454
5.524,2173,2900,3865,452,464,456
5.524,2180,2898,4010,453,460,458
5.524,2179,2898,4006,458,457,464
5.524,2183,2900,3990,460,449,457
5.524,2182,2897,3994,454,449,457
5.524,2172,2904,3888,459,457,455
5.524,2184,2895,4005,455,462,451
5.524,2186,2908,4008,462,460,464
5.524,2192,2913,4013,447,461,457
5.524,2183,2895,3981,458,453,456
5.524,2170,2894,3882,454,454,447
5.524,2183,2895,3991,452,459,457
5.524,2189,2904,4047,455,458,462
5.524,2187,2899,4018,454,454,458
5.524,2183,2901,4011,456,451,451
5.524,2189,2902,3884,446,455,450
5.524,2184,2900,3993,458,456,455
5.524,2175,2909,4043,460,454,457
5.524,2188,2900,4014,450,456,452
5.524,2179,2897,3979,450,447,456
5.524,2180,2903,3902,454,452,448
5.524,2191,2894,3991,454,459,452
5.524,2185,2899,4077,459,454,454
5.538,2177,2907,4033,460,458,450
5.557,2186,2904,3999,453,457,454
5.567,2184,2911,3889,462,453,466
5.585,2191,2909,3969,465,456,457
5.585,2196,2903,4095,460,456,458
5.603,2217,2900,4023,457,453,455
5.625,2194,2900,3979,453,463,456
5.646,2182,2900,3901,454,452,450
5.663,2183,2900,3998,452,451,454
5.684,2191,2900,4085,464,453,464
5.704,2194,2900,4028,460,456,455
5.724,2182,2899,3976,451,458,447
5.743,2169,2880,3875,454,451,447
5.743,2181,2899,3994,453,457,454
5.779,2187,2899,4088,454,453,459
5.780,2180,2891,4009,456,453,447
5.798,2183,2899,3970,458,462,456
5.818,2179,2898,3878,456,443,452
5.838,2182,2901,3989,456,450,452
5.878,2196,2899,4095,457,447,458
5.879,2181,2904,4011,449,451,464
5.897,2182,2895,3978,446,452,488
5.897,2174,2899,3876,445,459,447
5.909,2182,2895,3993,457,450,453
5.927,2186,2901,4095,459,459,458
5.949,2175,2894,4012,456,456,440
5.970,2182,2902,3976,451,447,454
5.992,2187,2896,3872,456,456,455
6.011,2187,2901,3992,451,454,451
