Time,25W,25X,25Y,25Z,25P,25Q
0.000,2177,2891,4004,452,448,439
0.020,2180,2899,3919,450,452,456
0.040,2189,2887,4012,451,447,453
0.060,2184,2897,4009,452,454,451
0.080,2193,2894,4094,446,452,448
0.100,2184,2897,3978,448,452,452
0.120,2181,2899,3921,456,452,453
0.140,2194,2895,4002,456,452,457
0.160,2184,2904,4000,452,452,450
0.180,2196,2899,4074,453,455,451
0.200,2181,2896,3982,447,446,448
0.220,2172,2893,3910,454,448,448
0.240,2180,2889,3998,445,446,454
0.260,2180,2890,3998,453,452,446
0.280,2206,2898,4089,445,441,452
0.300,2181,2893,3979,449,446,452
0.320,2173,2893,3916,435,441,444
0.340,2187,2897,4007,448,442,450
0.360,2182,2898,3986,449,447,454
0.380,2182,2885,4024,440,458,445
0.400,2175,2900,3982,451,456,450
0.420,2200,2891,3934,447,453,451
0.440,2188,2888,3998,464,443,447
0.460,2189,2903,4010,447,452,451
0.480,2185,2904,4075,456,450,456
0.500,2179,2896,3976,443,447,474
0.520,2182,2906,3907,452,445,454
0.540,2179,2893,4006,448,447,448
0.560,2179,2899,3995,445,447,452
0.580,2188,2903,4019,455,446,447
0.600,2183,2896,3978,447,452,448
0.620,2174,2904,3919,454,449,445
0.640,2189,2917,3987,459,459,453
0.660,2179,2899,3995,454,447,452
0.680,2182,2891,4011,455,451,446
0.700,2180,2901,3974,451,447,451
0.720,2180,2890,3905,447,451,449
0.740,2175,2899,4010,452,452,448
0.760,2180,2898,4008,450,449,450
0.780,2195,2904,4081,456,454,441
0.800,2178,2897,3982,448,452,449
0.820,2178,2907,3926,448,446,450
0.840,2181,2904,3989,449,446,447
0.860,2180,2895,3989,445,445,450
0.880,2200,2900,4091,449,440,451
0.900,2182,2890,3973,452,459,425
0.920,2186,2900,3923,446,439,447
0.940,2186,2889,4021,448,443,452
0.960,2179,2893,3990,456,454,449
0.980,2198,2897,4095,449,441,449
1.000,2183,2905,3965,449,451,453
1.020,2185,2899,3928,444,441,452
1.040,2171,2893,4013,446,447,454
1.060,2184,2896,3997,453,449,443
1.080,2157,2902,4033,455,446,449
1.100,2181,2895,3967,457,456,452
1.120,2179,2891,3909,444,447,443
1.140,2175,2898,4009,454,459,448
1.160,2182,2899,3997,448,454,454
1.180,2185,2882,4023,438,458,447
1.200,2172,2897,3972,451,445,450
1.220,2190,2895,3929,454,453,448
1.240,2183,2903,3997,452,462,450
1.260,2185,2900,3993,453,456,453
1.280,2195,2906,4045,464,458,456
1.300,2153,2887,3966,452,447,453
1.320,2166,2907,3906,447,458,455
1.340,2184,2897,4001,455,456,452
1.360,2189,2905,3998,464,457,458
1.380,2203,2899,4069,484,460,455
1.400,2184,2895,3977,452,451,454
1.420,2180,2889,3931,446,464,453
1.440,2182,2896,3997,449,446,459
1.460,2180,2895,3991,453,451,451
1.480,2180,2888,4035,452,457,456
1.500,2165,2890,3984,450,456,448
1.520,2182,2903,3920,451,446,447
1.540,2187,2905,4004,449,448,462
1.560,2183,2897,3984,452,453,448
1.580,2180,2909,4026,454,445,437
1.600,2177,2900,3970,454,453,456
1.620,2184,2890,3929,446,456,443
1.640,2187,2891,3986,454,449,456
1.660,2182,2896,3999,450,450,449
1.680,2177,2891,4015,449,451,442
1.700,2177,2900,3970,448,450,454
1.720,2178,2912,3915,451,440,456
1.740,2188,2894,3984,455,446,447
1.760,2183,2895,4004,447,445,443
1.780,2180,2896,4048,453,450,458
1.800,2177,2896,3975,453,444,452
1.820,2180,2906,3914,448,448,447
1.840,2175,2891,3997,441,448,445
1.860,2188,2897,4004,448,448,452
1.880,2178,2893,4075,444,454,445
1.900,2174,2896,3983,443,448,449
1.920,2175,2896,3913,446,451,448
1.940,2185,2891,3991,448,446,441
1.960,2167,2893,3986,451,443,456
1.980,2182,2901,4080,452,446,450
2.000,2178,2894,3994,444,455,447
2.020,2188,2895,3894,446,450,450
2.040,2180,2898,4002,450,450,443
2.060,2177,2893,3998,430,444,437
2.080,2192,2906,4069,449,444,447
2.100,2185,2891,3972,457,454,452
2.120,2173,2896,3880,450,447,453
2.140,2191,2901,3979,448,450,449
2.160,2183,2895,3997,451,449,453
2.180,2180,2900,4057,412,456,457
2.200,2175,2904,3967,454,450,455
2.220,2179,2906,3876,447,449,455
2.240,2182,2893,3986,449,449,449
