Time,25W,25X,25Y,25Z,25P,25Q
55.759,2151,2908,3991,419,422,417
55.759,2155,2918,4093,416,418,420
55.759,2158,2903,3971,418,415,418
55.759,2153,2907,3949,415,426,414
55.759,2169,2916,3967,414,411,413
55.759,2158,2908,3996,414,424,418
55.759,2166,2917,4095,423,427,427
55.759,2157,2907,3976,419,414,410
55.759,2163,2906,3972,423,427,429
55.759,2163,2909,3951,432,424,422
55.759,2166,2911,3988,427,427,430
55.759,2177,2908,4093,423,412,427
55.759,2163,2911,3962,431,429,437
55.759,2166,2923,3985,421,422,428
55.759,2150,2920,3952,416,422,426
55.759,2160,2911,3983,426,423,426
55.759,2165,2915,4080,430,415,446
55.759,2162,2914,3964,428,436,428
55.759,2158,2912,3976,428,425,426
55.759,2156,2913,3963,431,425,422
55.759,2160,2908,3982,417,427,423
55.759,2160,2916,4075,440,424,425
55.759,2166,2914,3973,427,431,429
55.759,2160,2912,3976,417,426,426
55.759,2167,2916,3956,429,419,425
55.759,2162,2914,3975,429,431,431
55.759,2167,2911,4069,438,440,427
55.759,2165,2914,3956,425,430,422
55.759,2167,2909,3977,434,427,429
55.759,2152,2900,3937,426,422,424
55.759,2172,2910,3989,427,432,428
55.759,2168,2928,4064,438,437,433
55.759,2165,2911,3962,427,427,433
55.759,2163,2909,3969,430,436,435
55.759,2173,2920,3950,433,433,431
55.759,2163,2913,3999,428,432,429
55.759,2161,2907,4072,429,434,433
55.759,2151,2901,3963,412,428,425
55.759,2162,2915,3977,432,428,425
55.759,2161,2910,3935,427,423,431
55.759,2159,2918,4001,429,427,427
55.759,2172,2916,4073,456,430,423
55.759,2156,2914,3964,426,432,430
55.759,2168,2916,3978,431,426,433
55.759,2160,2905,4007,427,420,428
55.759,2162,2913,3991,427,432,429
55.759,2176,2909,4086,423,445,428
55.759,2152,2913,3957,429,432,432
55.759,2166,2914,3972,433,436,426
55.759,2159,2921,3917,430,424,432
55.759,2159,2911,3991,429,425,425
55.759,2171,2914,4051,423,428,432
55.759,2166,2906,3959,427,432,424
55.759,2165,2911,3979,422,431,426
55.759,2163,2906,3933,431,439,435
55.759,2166,2911,3988,431,433,430
55.759,2170,2910,4068,436,423,430
55.759,2162,2905,3959,427,436,428
55.759,2172,2920,3967,435,427,425
55.759,2169,2913,3952,428,418,432
55.759,2173,2908,3991,436,431,432
55.759,2163,2926,4090,439,437,431
55.759,2180,2909,3957,422,425,423
55.759,2169,2919,3963,430,430,426
55.759,2154,2915,3925,418,429,424
55.759,2164,2913,3989,437,435,438
55.759,2160,2911,4067,431,436,435
55.759,2176,2915,3960,433,435,430
55.759,2173,2916,3971,427,436,434
55.759,2163,2913,3933,425,427,419
55.759,2168,2916,3993,438,437,435
55.759,2165,2916,4071,433,436,431
55.759,2169,2912,3968,429,431,427
55.759,2175,2919,3982,432,438,438
55.759,2156,2911,3921,434,438,443
55.767,2165,2914,3990,439,433,431
55.787,2180,2928,4095,439,443,442
55.788,2164,2911,3956,442,444,439
55.803,2169,2916,3988,439,436,440
55.814,2183,2920,3935,439,448,441
55.834,2166,2918,3985,410,425,435
55.846,2175,2927,4075,436,434,435
55.866,2160,2909,3955,431,436,431
55.886,2166,2917,3986,428,432,428
55.902,2163,2903,3936,436,432,435
55.915,2177,2920,3991,429,425,428
55.917,2158,2920,4031,438,427,439
55.932,2168,2912,3964,436,432,429
55.948,2163,2908,3984,431,432,423
55.967,2156,2921,3945,429,424,428
55.985,2163,2913,3993,430,426,424
55.998,2165,2915,4043,422,430,432
56.011,2170,2905,3975,424,423,431
56.029,2168,2912,3979,432,430,431
56.049,2171,2917,3917,427,432,436
56.049,2165,2916,4000,436,431,432
56.061,2183,2915,4060,442,431,441
56.089,2162,2915,3974,429,430,431
56.089,2163,2917,3970,426,433,426
56.106,2163,2924,3903,436,430,428
56.124,2176,2910,3991,440,439,448
56.138,2163,2915,4046,444,436,441
56.156,2178,2913,3954,445,428,432
56.173,2167,2918,3977,430,430,442
56.174,2165,2911,3897,434,427,436
56.186,2167,2909,3989,438,420,428
56.205,2169,2913,4087,430,433,424
56.244,2157,2919,3991,424,432,436
56.244,2165,2936,3967,441,427,435
56.263,2157,2911,3900,428,428,428
56.279,2170,2928,3996,432,438,430
56.296,2184,2917,4095,435,444,439
56.312,2171,2915,4008,444,447,437
56.313,2171,2916,3974,438,441,431
56.328,2162,2920,3907,439,435,435
56.345,2167,2917,3995,437,434,437
56.359,2169,2931,4091,442,430,438
56.376,2165,2907,3970,427,438,424
56.396,2164,2913,3961,415,431,433
56.413,2168,2914,3887,437,436,435
56.427,2167,2923,3997,437,440,438
56.443,2174,2927,4067,438,433,441
56.443,2169,2914,3980,432,435,428
56.452,2171,2918,3963,437,440,436
56.474,2163,2921,3879,439,444,437
56.492,2162,2915,3987,429,436,431
56.507,2173,2919,4075,444,440,411
56.522,2167,2911,3976,437,438,435
56.541,2177,2919,3965,438,438,440
