Time,25W,25X,25Y,25Z,25P,25Q
0.000,2138,2891,3954,400,394,390
0.020,2140,2893,3944,391,390,391
0.040,2139,2906,3981,399,404,394
0.060,2135,2900,4012,397,397,400
0.080,2149,2901,4079,397,401,399
0.100,2134,2899,3968,399,391,398
0.120,2136,2896,3893,393,389,393
0.140,2138,2902,3981,382,394,394
0.160,2136,2900,4004,396,400,396
0.180,2134,2894,4074,395,395,397
0.200,2141,2900,3978,388,396,393
0.220,2123,2893,3841,388,394,400
0.240,2133,2906,3974,400,387,392
0.260,2143,2901,4004,400,398,400
0.280,2133,2898,4055,398,398,394
0.300,2143,2904,3977,397,395,391
0.320,2133,2900,3830,400,399,402
0.340,2133,2903,3987,397,405,393
0.360,2140,2901,4009,398,399,397
0.380,2148,2906,4070,400,403,399
0.400,2148,2899,3960,393,398,397
0.420,2132,2901,3855,394,387,395
0.440,2135,2922,3981,423,403,381
0.460,2133,2895,4004,394,399,395
0.480,2135,2895,4068,394,397,391
0.500,2138,2875,3967,397,393,394
0.520,2144,2896,3920,393,400,392
0.540,2135,2898,3986,394,403,389
0.560,2150,2910,4003,398,395,401
0.580,2135,2901,4047,412,400,405
0.600,2141,2899,3969,396,397,397
0.620,2137,2898,3921,402,392,395
0.640,2140,2900,3996,395,393,405
0.660,2143,2887,4000,391,401,405
0.680,2149,2908,4040,402,400,392
0.700,2143,2904,3977,404,398,398
0.720,2144,2899,3938,392,397,393
0.740,2137,2912,4011,401,395,401
0.760,2142,2894,3994,401,408,399
0.780,2130,2908,4094,401,382,412
0.800,2135,2904,3989,398,400,395
0.820,2141,2897,3949,402,399,399
0.840,2140,2910,4004,404,391,401
0.860,2142,2904,3985,399,399,408
0.880,2142,2889,4021,379,400,388
0.900,2139,2899,3967,388,392,395
0.920,2148,2905,3923,392,385,389
0.940,2138,2896,4021,400,396,396
0.960,2140,2897,3992,391,402,396
0.980,2146,2904,4038,403,392,391
1.000,2143,2897,3981,397,404,399
1.020,2131,2900,3874,401,392,392
1.040,2138,2903,4003,400,396,396
1.060,2141,2902,3993,396,397,392
1.080,2135,2900,4006,398,402,388
1.100,2152,2910,3982,403,404,398
1.120,2138,2894,3872,396,395,400
1.140,2135,2904,4011,417,394,395
1.160,2143,2895,3999,399,399,404
1.180,2152,2898,4023,386,400,389
1.200,2142,2901,3984,404,397,397
1.220,2133,2905,3885,399,397,396
1.240,2141,2903,4010,397,396,404
1.260,2142,2904,3991,402,400,402
1.280,2149,2894,4029,392,399,392
1.300,2143,2902,3993,394,397,394
1.320,2128,2894,3906,390,397,389
1.340,2144,2895,4004,399,387,394
1.360,2138,2900,3995,401,392,398
1.380,2139,2903,3996,398,402,397
1.400,2139,2899,3992,402,402,400
1.420,2131,2894,3884,390,390,397
1.440,2144,2902,3992,399,398,398
1.460,2142,2902,3992,397,392,402
1.480,2145,2890,4000,391,405,400
1.500,2137,2928,3970,397,391,402
1.520,2138,2903,3858,400,404,404
1.540,2148,2897,4008,389,391,391
1.560,2136,2896,3999,397,398,401
1.580,2136,2900,4037,414,396,401
1.600,2145,2901,3985,404,399,395
1.620,2129,2897,3871,393,405,396
1.640,2143,2906,3998,403,396,398
1.660,2151,2902,4086,401,403,402
1.680,2141,2900,4013,401,400,393
1.700,2142,2895,3979,397,400,394
1.720,2132,2892,3893,383,396,391
1.740,2139,2900,3997,389,396,394
1.760,2145,2904,4095,402,405,399
1.780,2161,2897,4046,396,401,394
1.800,2142,2898,3976,406,398,399
1.820,2160,2894,3860,397,400,401
1.840,2140,2899,3989,397,396,414
1.860,2141,2904,4095,395,400,404
1.880,2132,2894,4005,392,387,401
1.900,2135,2901,4001,398,403,399
1.920,2133,2903,3849,397,391,386
1.940,2147,2906,4018,397,402,397
1.960,2177,2908,4095,403,393,397
1.980,2150,2900,3991,394,400,401
2.000,2146,2900,3967,399,401,448
2.020,2139,2898,3841,408,399,402
2.040,2142,2899,3992,400,397,404
2.060,2146,2901,4087,399,407,399
2.080,2156,2902,3979,398,401,405
2.100,2148,2908,3959,399,392,399
2.120,2130,2900,3853,395,395,404
2.140,2138,2901,3986,393,380,394
2.160,2145,2894,4095,402,394,392
2.180,2145,2889,4016,400,392,409
2.200,2145,2925,3958,388,396,400
2.220,2132,2890,3858,401,394,390
2.240,2144,2902,3991,405,404,403
2.260,2150,2906,4095,416,404,409
2.280,2137,2903,4019,401,395,404
2.300,2139,2902,3981,394,399,396
2.320,2137,2903,3855,393,391,400
2.340,2151,2903,3990,398,398,394
2.360,2143,2905,4075,399,413,394
2.380,2144,2899,4021,405,404,402
2.400,2145,2911,3949,397,404,405
2.420,2137,2899,3849,395,399,402
2.440,2156,2906,3981,401,401,401
2.460,2168,2895,4087,404,405,409
2.480,2154,2904,4014,400,398,392
2.500,2144,2909,3979,408,409,395
2.520,2147,2910,3896,407,399,399
2.540,2140,2909,4015,402,400,408
2.560,2153,2906,4095,403,403,398
2.580,2140,2922,4049,393,400,404
2.600,2142,2908,3987,395,403,403
2.620,2132,2896,3876,403,393,400
2.640,2138,2904,3988,395,404,401
2.660,2181,2903,4093,404,401,412
2.680,2154,2912,4033,406,404,398
