Time,25W,25X,25Y,25Z,25P,25Q
97.254,2037,2626,3756,29,28,24
97.254,2023,2632,3988,28,25,27
97.254,2041,2621,3884,28,28,29
97.254,2034,2629,3664,27,23,23
97.254,2038,2629,3657,24,25,24
97.254,2042,2632,3763,22,21,21
97.254,2037,2631,4006,29,28,23
97.254,2034,2629,3884,26,26,25
97.254,2029,2622,3671,27,23,32
97.254,2045,2626,3669,21,22,28
97.254,2034,2627,3765,23,23,29
97.254,2039,2630,3995,26,15,29
97.254,2037,2621,3884,21,24,26
97.254,2042,2629,3676,25,36,26
97.254,2042,2627,3644,22,25,28
97.254,2038,2629,3751,27,27,23
97.254,2026,2634,3992,26,31,28
97.254,2039,2625,3899,28,25,23
97.254,2031,2629,3677,26,27,26
97.254,2031,2626,3635,25,25,26
97.254,2040,2626,3742,29,23,23
97.254,2034,2628,4013,28,20,26
97.254,2042,2633,3902,30,23,24
97.254,2037,2627,3684,26,26,23
97.254,2037,2625,3634,26,26,21
97.254,2041,2632,3747,25,26,23
97.254,2042,2630,4000,27,30,29
97.254,2039,2632,3892,25,25,29
97.254,2035,2622,3690,25,28,27
97.254,2037,2625,3646,26,23,26
97.254,2038,2623,3754,24,28,25
97.254,2041,2627,4019,28,31,27
97.254,2043,2626,3894,26,30,32
97.254,2034,2629,3702,30,25,28
97.254,2037,2632,3647,23,20,26
97.254,2044,2625,3753,25,28,29
97.254,2044,2628,4004,28,24,21
97.257,2040,2626,3900,27,24,28
97.277,2034,2628,3695,28,30,27
97.295,2039,2624,3630,26,27,23
97.296,2041,2634,3735,27,26,28
97.313,2039,2632,4015,22,19,25
97.331,2035,2623,3896,28,20,19
97.349,2027,2621,3696,25,25,25
97.368,2043,2625,3619,24,25,26
97.387,2037,2629,3739,26,24,26
97.408,2044,2632,4027,26,23,27
97.426,2036,2623,3899,25,26,32
97.440,2036,2627,3704,27,23,28
97.440,2042,2631,3603,25,26,21
97.453,2039,2632,3756,26,26,28
97.474,2054,2630,4032,30,22,25
