Time,25W,25X,25Y,25Z,25P,25Q
0.000,2037,2630,3927,28,23,23
0.020,2036,2624,3978,23,22,26
0.040,2049,2635,3943,23,22,25
0.060,2043,2627,3820,24,21,27
0.080,2035,2624,3594,26,27,26
0.100,2039,2615,3732,24,21,25
0.120,2037,2626,3991,21,27,27
0.140,2039,2632,3937,25,32,21
0.160,2040,2629,3808,28,24,29
0.180,2045,2623,3587,19,26,22
0.200,2039,2634,3732,23,26,21
0.220,2055,2638,3988,28,26,24
0.240,2045,2632,3940,21,28,28
0.260,2033,2630,3807,22,20,19
0.280,2039,2622,3591,24,28,26
0.300,2031,2631,3726,23,25,23
0.320,2045,2627,3976,25,23,27
0.340,2030,2632,3936,29,25,23
0.360,2020,2624,3796,22,23,15
0.380,2038,2632,3587,25,26,25
0.400,2046,2628,3736,27,20,26
0.420,2039,2629,4011,27,25,22
0.440,2039,2630,3932,25,28,23
0.460,2049,2625,3810,28,23,22
0.480,2041,2628,3589,26,21,27
0.500,2041,2626,3749,27,27,26
0.520,2037,2632,4011,23,23,32
0.540,2035,2631,3931,23,32,25
0.560,2042,2630,3782,28,26,20
0.580,2039,2631,3593,26,27,26
0.600,2036,2626,3748,23,26,21
0.620,2054,2623,4010,21,25,19
0.640,2039,2627,3925,23,23,26
0.660,2046,2632,3791,26,21,24
0.680,2045,2628,3577,28,26,22
0.700,2037,2623,3729,19,19,21
0.720,2041,2632,4006,22,22,28
0.740,2042,2628,3917,21,18,24
0.760,2043,2639,3820,27,23,23
0.780,2051,2639,3574,27,24,27
0.800,2048,2634,3734,28,26,25
0.820,2043,2630,3999,24,22,21
0.840,2044,2625,3924,28,26,22
0.860,2030,2619,3781,26,22,24
0.880,2031,2630,3595,21,27,28
0.900,2037,2632,3736,23,23,22
0.920,2043,2623,4036,30,21,26
0.940,2039,2627,3924,25,23,23
0.960,2039,2619,3774,25,22,30
0.980,2029,2625,3582,21,27,23
1.000,2049,2627,3730,24,27,22
1.020,2074,2627,4031,28,28,26
1.040,2039,2623,3917,27,25,24
1.060,2035,2631,3762,24,21,23
1.080,2045,2632,3578,26,22,24
1.100,2036,2628,3740,19,27,19
1.120,2045,2628,4050,27,23,23
1.140,2035,2625,3921,23,25,26
1.160,2035,2623,3768,24,21,20
1.180,2042,2629,3602,22,20,32
1.200,2045,2627,3744,23,26,25
1.220,2041,2630,4036,25,25,23
1.240,2045,2629,3927,26,22,25
1.260,2030,2628,3766,19,28,22
1.280,2044,2630,3574,21,23,26
1.300,2043,2628,3735,20,32,23
1.320,2017,2633,4037,26,28,24
