Time,25W,25X,25Y,25Z,25P,25Q
67.170,1834,2643,3865,10,5,14
67.170,1838,2642,3952,5,8,3
67.170,1840,2650,3982,7,7,9
67.170,1836,2645,4062,7,12,9
67.170,1852,2644,3960,12,5,3
67.170,1832,2639,3853,6,-1,6
67.170,1838,2649,3953,3,8,7
67.170,1837,2643,3990,7,6,4
67.170,1844,2646,4078,4,7,8
67.170,1844,2644,3961,6,6,4
67.170,1842,2646,3872,-1,8,3
67.170,1839,2651,3955,7,9,6
67.170,1831,2646,3996,13,8,5
67.170,1837,2646,4065,10,7,9
67.170,1844,2644,3959,13,5,4
67.170,1833,2645,3848,5,10,5
67.170,1838,2650,3956,8,8,6
67.170,1840,2651,3982,13,6,10
67.170,1849,2650,4056,6,4,5
67.170,1837,2643,3962,9,11,8
67.170,1834,2645,3868,5,6,5
67.170,1834,2645,3952,6,10,8
67.170,1836,2646,3975,7,5,8
67.170,1840,2646,4060,11,6,5
67.170,1847,2653,3952,8,4,3
67.170,1837,2646,3853,5,5,7
67.170,1850,2650,3944,10,7,5
67.170,1846,2656,3977,5,7,8
67.170,1847,2647,4060,7,6,5
67.170,1865,2660,3959,7,5,1
67.170,1848,2653,3876,0,4,6
67.170,1851,2662,3951,12,3,9
67.170,1845,2655,3988,-1,8,7
67.170,1844,2665,4060,8,10,16
67.170,1856,2655,3952,12,16,7
67.170,1852,2643,3848,8,8,8
67.170,1866,2645,3950,10,5,12
67.170,1851,2647,3991,10,10,5
67.170,1851,2650,4045,12,8,6
67.170,1847,2649,3957,8,5,7
67.176,1845,2646,3871,9,6,8
67.191,1852,2654,3945,5,6,8
67.210,1849,2647,3984,8,14,7
67.230,1852,2649,4060,8,4,8
67.248,1850,2651,3949,8,7,16
67.270,1849,2654,3867,5,4,11
67.290,1847,2657,3948,4,7,6
67.310,1845,2651,3986,5,10,7
67.324,1852,2647,4053,5,3,9
67.325,1852,2657,3945,5,7,3
67.343,1856,2651,3858,7,6,-6
67.360,1847,2654,3936,8,5,12
67.377,1844,2649,3979,9,8,3
67.416,1842,2651,4055,3,1,4
67.418,1845,2649,3957,8,6,10
67.426,1834,2641,3860,6,12,8
67.444,1837,2646,3942,8,8,6
67.445,1844,2650,3967,4,6,7
67.464,1845,2646,4042,16,8,9
67.485,1844,2646,3945,4,7,10
67.506,1831,2644,3870,10,5,7
67.524,1856,2646,3968,9,3,9
67.540,1837,2649,3985,7,5,12
67.560,1840,2656,4024,9,9,6
67.578,1837,2645,3953,5,8,1
67.599,1837,2644,3874,10,3,7
67.599,1832,2645,3970,6,3,11
67.612,1837,2644,3986,5,7,5
67.626,1842,2647,4023,8,8,7
67.643,1835,2646,3954,7,2,3
67.661,1833,2644,3869,14,5,2
67.681,1827,2651,3965,6,4,3
67.692,1840,2643,3976,8,8,9
67.706,1837,2660,3975,9,8,4
67.715,1844,2649,3952,6,5,3
67.715,1846,2650,3858,8,8,12
67.737,1849,2657,3957,9,9,7
67.759,1848,2657,3971,5,9,6
67.780,1866,2656,4072,12,8,2
67.799,1837,2648,3973,7,8,5
67.811,1840,2648,3853,8,3,9
67.828,1848,2649,3969,12,12,12
67.847,1835,2647,3967,10,8,7
67.866,1834,2646,4019,5,8,9
67.866,1855,2652,3953,6,8,10
67.880,1831,2644,3880,8,3,7
67.894,1834,2652,3944,1,5,-1
67.914,1834,2650,3978,8,4,7
67.934,1846,2652,3997,3,5,5
67.955,1839,2643,3956,12,5,3
67.976,1830,2650,3875,7,8,10
