Time,25W,25X,25Y,25Z,25P,25Q
0.000,1842,2639,3996,8,7,7
0.020,1838,2647,3948,5,7,7
0.040,1841,2645,3819,6,3,5
0.060,1834,2643,3976,5,2,5
0.080,1840,2644,4075,6,9,5
0.100,1837,2641,3999,2,6,7
0.120,1840,2645,3960,9,5,5
0.140,1834,2644,3843,-1,3,7
0.160,1835,2648,3976,21,5,8
0.180,1835,2644,4087,5,9,7
0.200,1837,2637,3999,4,8,7
0.220,1837,2648,3947,4,11,8
0.240,1833,2642,3852,7,2,8
0.260,1836,2644,3980,6,4,4
0.280,1838,2639,4056,9,7,8
0.300,1837,2646,3989,6,5,7
0.320,1834,2641,3969,5,8,7
0.340,1834,2645,3820,11,7,4
0.360,1834,2644,3970,7,7,7
0.380,1838,2645,4017,4,5,3
0.400,1837,2646,3984,4,9,6
0.420,1836,2644,3959,6,6,4
0.440,1831,2649,3855,8,5,4
0.460,1836,2649,3982,5,4,6
0.480,1833,2644,3988,8,7,5
0.500,1835,2646,3962,5,9,7
0.520,1828,2647,3960,8,8,4
0.540,1829,2652,3826,12,9,6
0.560,1833,2639,3976,5,7,8
0.580,1830,2646,3988,5,7,9
0.600,1835,2649,3981,6,5,8
0.620,1840,2642,3964,11,5,10
0.640,1826,2643,3836,16,9,8
0.660,1836,2640,3990,8,6,5
0.680,1830,2642,3979,7,5,5
0.700,1842,2646,3991,11,5,12
0.720,1834,2641,3950,5,7,9
0.740,1838,2645,3816,10,8,4
0.760,1833,2645,3976,8,11,7
0.780,1837,2642,4011,3,3,7
0.800,1835,2652,3962,4,4,4
0.820,1833,2643,3944,8,6,3
0.840,1832,2646,3839,8,7,7
0.860,1832,2644,3970,6,6,8
0.880,1827,2649,3979,8,-10,3
0.900,1830,2645,3984,7,10,4
0.920,1833,2646,3962,5,7,11
0.940,1827,2646,3822,9,3,10
0.960,1833,2641,3989,9,4,4
0.980,1835,2641,3975,13,4,5
1.000,1835,2641,3994,9,8,9
1.020,1838,2644,3956,8,8,5
1.040,1831,2636,3851,3,9,5
1.060,1837,2648,3984,5,10,5
1.080,1833,2644,4023,4,13,4
1.100,1832,2641,3981,16,5,2
1.120,1833,2644,3957,10,8,10
1.140,1825,2644,3844,12,9,8
1.160,1840,2639,3973,2,7,7
1.180,1832,2647,4074,9,7,8
1.200,1830,2648,4003,6,9,8
1.220,1833,2640,3959,12,3,4
1.240,1837,2644,3836,10,7,6
1.260,1836,2643,3975,4,8,5
1.280,1843,2641,4088,3,8,8
1.300,1840,2645,4005,1,8,4
1.320,1837,2642,3956,5,5,6
1.340,1832,2643,3840,5,5,8
1.360,1836,2635,3966,6,8,7
1.380,1834,2650,4079,8,9,5
1.400,1840,2646,3967,12,7,9
1.420,1833,2646,3941,3,4,1
1.440,1834,2639,3849,6,5,9
1.460,1832,2637,3967,9,5,2
1.480,1841,2645,4094,8,10,5
1.500,1834,2644,3977,8,8,8
1.520,1833,2642,3950,8,4,7
1.540,1827,2642,3845,5,7,2
1.560,1834,2641,3980,5,8,11
1.580,1839,2641,4084,10,1,1
1.600,1842,2647,3984,4,9,9
1.620,1840,2642,3942,11,3,10
1.640,1831,2644,3828,10,9,9
1.660,1837,2646,3980,9,3,8
1.680,1833,2648,4076,5,6,6
1.700,1841,2647,3965,11,3,-1
1.720,1836,2645,3944,6,8,3
1.740,1829,2648,3797,6,3,6
1.760,1832,2643,3945,6,3,6
1.780,1845,2646,4084,8,5,7
1.800,1835,2642,3994,10,3,2
