Time,25W,25X,25Y,25Z,25P,25Q
35.521,2248,2664,3940,83,81,86
35.521,2237,2653,3943,76,84,79
35.521,2241,2656,3917,78,85,83
35.521,2231,2664,3840,81,88,83
35.521,2234,2655,3668,82,77,77
35.521,2235,2664,3940,75,78,77
35.521,2249,2666,3934,82,77,75
35.521,2233,2659,3893,84,82,84
35.521,2235,2656,3837,77,80,62
35.521,2231,2661,3625,75,75,78
35.521,2243,2655,3927,82,76,80
35.521,2231,2658,3923,78,76,80
35.521,2229,2657,3914,77,78,79
35.521,2235,2658,3824,73,79,75
35.521,2218,2651,3631,85,80,72
35.521,2233,2661,3925,75,74,80
35.521,2249,2661,3936,76,74,76
35.521,2239,2655,3897,78,79,75
35.521,2234,2657,3811,82,58,76
35.521,2238,2658,3690,74,75,83
35.521,2241,2656,3917,82,80,85
35.521,2241,2664,3996,82,78,81
35.521,2236,2655,3899,80,77,81
35.521,2245,2682,3801,82,78,80
35.521,2236,2657,3668,77,82,77
35.521,2248,2660,3922,80,78,82
35.521,2242,2665,4029,80,75,79
35.521,2248,2662,3924,79,78,80
35.521,2258,2661,3794,84,81,79
35.553,2248,2646,3672,76,76,80
35.553,2251,2664,3917,73,80,84
35.566,2248,2664,4035,77,84,81
35.567,2247,2661,3888,84,84,85
35.585,2242,2650,3802,77,74,75
35.604,2244,2665,3695,77,80,80
35.622,2239,2659,3911,82,81,84
35.642,2253,2663,4041,78,82,75
35.659,2246,2660,3890,75,79,79
35.680,2240,2660,3761,82,84,81
35.699,2236,2659,3693,81,81,78
35.719,2248,2660,3925,77,85,84
35.722,2252,2655,4038,75,86,71
35.737,2244,2659,3873,83,71,79
35.755,2243,2661,3745,82,96,83
35.775,2240,2655,3717,80,81,83
35.795,2260,2661,3922,86,76,77
35.815,2238,2659,4040,80,75,81
35.833,2247,2664,3877,84,81,80
35.853,2229,2654,3761,77,80,75
35.869,2227,2652,3760,84,75,77
35.869,2236,2660,3925,82,82,82
35.884,2252,2663,4024,81,78,79
35.904,2238,2655,3869,73,74,71
35.924,2233,2665,3781,80,75,77
35.943,2231,2667,3755,77,76,82
35.979,2244,2663,3920,80,82,80
35.979,2248,2661,4022,84,82,76
35.999,2238,2655,3822,77,79,82
36.020,2239,2659,3805,83,78,84
36.020,2245,2652,3803,77,75,70
36.039,2252,2661,3931,77,81,75
36.055,2242,2670,4013,85,83,80
36.074,2230,2666,3823,71,82,80
36.095,2237,2656,3822,81,79,81
36.117,2231,2659,3803,77,72,79
36.159,2246,2665,3926,89,83,81
36.159,2248,2672,4019,79,78,81
36.175,2230,2651,3819,81,73,83
36.175,2232,2657,3816,75,75,80
36.195,2218,2665,3829,80,78,82
36.215,2235,2662,3922,80,78,77
36.236,2238,2659,4036,75,83,79
36.255,2234,2664,3808,81,88,80
36.276,2236,2680,3816,84,79,77
36.296,2234,2666,3804,75,78,83
36.334,2240,2659,3922,76,81,75
36.335,2235,2661,4021,86,80,79
36.336,2224,2659,3809,84,77,76
36.355,2225,2649,3818,79,77,80
36.374,2231,2661,3818,74,82,78
36.393,2222,2651,3922,79,88,83
36.412,2244,2664,4063,80,75,86
36.430,2233,2655,3789,79,74,82
36.452,2256,2661,3828,77,80,76
36.470,2248,2655,3869,82,91,80
36.491,2240,2653,3921,77,78,78
36.511,2250,2665,4074,80,76,76
36.512,2243,2656,3795,78,77,73
36.529,2225,2660,3823,77,78,84
36.548,2242,2659,3848,79,77,79
36.568,2231,2658,3911,78,76,81
36.586,2254,2655,4080,83,78,77
36.603,2231,2654,3799,82,80,74
36.621,2241,2652,3808,81,82,77
36.641,2267,2659,3874,82,88,72
36.662,2249,2669,3933,77,80,75
36.664,2251,2658,4076,81,83,84
36.683,2233,2660,3808,73,79,86
36.701,2244,2657,3813,79,81,82
36.721,2235,2655,3855,75,77,78
36.736,2244,2655,3917,71,78,80
36.748,2243,2666,4061,84,78,80
36.764,2239,2664,3824,79,80,81
36.782,2234,2659,3825,71,77,80
