Time,25W,25X,25Y,25Z,25P,25Q
0.000,2221,2656,3917,83,80,80
0.020,2205,2658,4022,87,83,81
0.040,2218,2666,3875,95,84,83
0.060,2214,2658,3763,79,82,82
0.080,2194,2658,3748,78,78,90
0.100,2213,2662,3910,87,82,81
0.120,2223,2665,4003,86,84,82
0.140,2201,2662,3869,84,82,81
0.160,2208,2655,3784,81,85,77
0.180,2219,2653,3796,82,80,76
0.200,2215,2654,3923,79,79,80
0.220,2224,2654,4009,80,87,81
0.240,2212,2665,3881,81,78,86
0.260,2210,2653,3784,82,82,79
0.280,2221,2655,3783,79,84,84
0.300,2226,2662,3916,81,78,80
0.320,2220,2660,4025,80,83,77
0.340,2224,2651,3833,82,81,85
0.360,2211,2656,3808,77,83,84
0.380,2193,2659,3771,80,75,77
0.400,2217,2661,3921,82,78,80
0.420,2202,2657,4005,86,79,78
0.440,2204,2651,3833,85,82,87
0.460,2217,2658,3807,83,80,78
0.480,2205,2666,3800,84,83,82
0.500,2217,2660,3927,80,84,81
0.520,2212,2664,3988,85,84,83
0.540,2191,2661,3839,82,86,75
0.560,2215,2663,3819,79,75,80
0.580,2213,2660,3816,78,76,88
0.600,2223,2658,3921,81,82,82
0.620,2222,2639,4007,86,74,81
0.640,2230,2661,3837,79,75,84
0.660,2211,2661,3824,81,77,82
0.680,2178,2659,3781,87,84,75
0.700,2210,2657,3923,79,82,84
0.720,2226,2665,4023,83,84,79
0.740,2216,2665,3814,81,75,84
0.760,2206,2657,3823,81,82,84
0.780,2222,2657,3821,83,76,81
0.800,2215,2666,3923,85,82,82
0.820,2201,2662,4042,83,79,79
0.840,2216,2659,3808,84,84,81
0.860,2222,2653,3809,77,81,82
0.880,2228,2663,3813,80,85,78
0.900,2213,2654,3924,82,81,77
0.920,2203,2656,4054,84,73,79
0.940,2209,2653,3799,84,84,87
0.960,2217,2658,3820,81,75,77
0.980,2222,2671,3838,78,77,84
1.000,2214,2666,3923,81,77,83
1.020,2235,2655,4078,81,79,88
1.040,2196,2651,3801,81,83,81
1.060,2208,2661,3806,81,77,80
1.080,2206,2664,3855,84,79,83
1.100,2250,2661,3910,82,80,80
1.120,2222,2656,4069,82,82,79
1.140,2210,2650,3801,85,82,83
1.160,2208,2656,3811,84,80,84
1.180,2199,2658,3851,83,88,77
1.200,2219,2661,3919,84,83,85
1.220,2226,2656,4075,84,82,81
1.240,2219,2653,3812,79,81,78
1.260,2212,2657,3802,78,81,82
1.280,2209,2666,3850,80,81,84
1.300,2210,2667,3921,83,80,84
1.320,2218,2660,4083,81,82,82
1.340,2230,2675,3839,86,77,77
1.360,2213,2680,3813,81,82,80
1.380,2232,2662,3867,79,77,79
1.400,2239,2655,3918,81,81,77
1.420,2223,2664,4095,80,83,84
1.440,2218,2660,3823,81,79,83
1.460,2209,2668,3816,82,78,74
1.480,2223,2662,3849,77,84,81
1.500,2214,2664,3921,81,82,84
1.520,2232,2664,4095,84,82,85
1.540,2217,2661,3823,79,82,78
1.560,2216,2655,3804,85,85,88
