Time,25W,25X,25Y,25Z,25P,25Q
85.541,2298,2855,3960,365,356,363
85.541,2309,2851,3872,358,362,361
85.541,2299,2864,3957,357,362,363
85.541,2316,2858,3990,366,361,372
85.541,2300,2857,4095,362,366,369
85.541,2306,2860,3977,359,360,364
85.541,2295,2847,3864,356,360,353
85.541,2302,2864,3985,367,363,369
85.541,2300,2858,3992,362,357,359
85.541,2311,2857,4095,359,364,368
85.541,2308,2858,3988,362,366,359
85.541,2305,2853,3872,363,357,365
85.541,2316,2860,3948,363,360,361
85.541,2308,2857,3987,359,362,362
85.541,2313,2858,4084,365,357,365
85.541,2306,2851,3962,351,364,362
85.541,2288,2855,3880,357,357,363
85.541,2306,2862,3967,365,365,361
85.541,2306,2859,3991,361,364,359
85.541,2303,2864,4047,359,367,363
85.541,2305,2857,3967,362,357,362
85.541,2319,2863,3943,363,358,362
85.541,2300,2861,3984,364,359,361
85.541,2304,2857,3992,361,362,360
85.541,2303,2864,4082,360,363,372
85.541,2307,2856,3967,364,356,362
85.541,2306,2851,3935,360,370,355
85.541,2316,2857,3982,365,354,367
85.541,2303,2857,4000,364,361,358
85.541,2310,2855,4069,366,366,366
85.541,2302,2858,3977,359,364,359
85.541,2294,2854,3883,359,362,356
85.541,2309,2860,4001,362,360,363
85.541,2293,2859,4014,365,357,362
85.541,2303,2860,4059,364,365,363
85.541,2304,2858,3976,362,359,358
85.541,2302,2847,3823,361,364,357
85.541,2303,2860,3970,368,356,369
85.541,2295,2858,4005,363,359,360
85.541,2305,2848,4026,353,369,361
85.541,2309,2856,3973,362,366,364
85.541,2304,2860,3913,364,362,360
85.541,2309,2861,3984,360,360,364
85.541,2304,2860,3983,360,362,362
85.541,2303,2859,4012,355,365,349
85.541,2295,2855,3969,366,359,356
85.541,2303,2857,3949,364,360,361
85.541,2305,2859,3997,355,364,360
85.541,2303,2862,3976,363,359,363
85.541,2271,2863,3999,366,357,360
85.541,2293,2853,3981,355,362,358
85.549,2290,2869,3874,360,363,359
85.567,2301,2864,4000,363,362,363
85.584,2293,2847,3986,362,363,361
85.601,2296,2853,4025,360,366,357
85.618,2298,2859,3975,361,364,361
85.631,2302,2855,3831,362,368,358
85.649,2307,2858,4014,362,354,362
85.667,2304,2862,3993,366,361,358
85.667,2306,2856,4039,364,364,365
85.687,2296,2855,3959,358,355,364
85.704,2299,2855,3877,369,358,360
85.717,2299,2863,3996,361,362,359
85.731,2294,2854,3995,356,361,357
85.748,2290,2848,4022,363,358,366
85.767,2297,2857,3975,365,361,359
85.806,2287,2856,3895,359,359,368
85.806,2295,2856,4011,361,361,358
85.807,2300,2865,3990,360,360,365
85.813,2305,2853,4014,362,353,359
85.830,2285,2850,3977,360,363,363
85.848,2283,2851,3862,358,358,355
85.867,2286,2858,4007,363,366,360
85.884,2294,2854,3996,361,362,363
85.892,2290,2857,4009,362,362,363
85.913,2298,2850,3962,356,352,354
85.953,2291,2859,3880,359,356,360
85.953,2312,2855,3975,360,360,358
85.954,2293,2854,4089,368,365,357
85.972,2301,2860,4018,360,359,361
85.978,2305,2874,3965,374,361,359
85.992,2293,2858,3847,360,360,361
86.006,2297,2857,3983,363,358,368
86.018,2301,2856,4091,358,360,361
86.039,2296,2860,4002,361,362,357
86.059,2296,2858,3979,359,357,357
86.060,2281,2858,3847,352,359,350
86.075,2296,2852,3975,341,356,357
86.094,2311,2857,4095,362,360,359
86.111,2296,2861,3991,362,360,359
86.130,2301,2860,3984,361,360,361
86.142,2293,2858,3851,355,354,351
86.156,2288,2851,3983,359,356,362
86.164,2290,2863,4091,361,357,358
86.185,2301,2852,3999,364,363,363
86.204,2293,2847,3965,357,359,365
86.204,2291,2855,3843,357,358,364
86.216,2295,2858,3988,360,368,359
86.229,2295,2864,4095,357,368,364
86.242,2296,2858,3999,358,361,360
86.260,2292,2853,3969,359,355,355
