Time,25W,25X,25Y,25Z,25P,25Q
0.000,2250,2850,3880,355,347,353
0.020,2251,2850,3895,350,351,342
0.040,2256,2856,3969,351,347,347
0.060,2250,2856,3981,348,347,356
0.080,2256,2855,4095,362,351,355
0.100,2249,2858,3952,347,352,352
0.120,2233,2850,3832,353,353,347
0.140,2252,2848,3951,343,353,351
0.160,2249,2848,3997,356,347,357
0.180,2251,2861,4095,354,358,357
0.200,2264,2867,3959,354,350,354
0.220,2259,2853,3860,357,352,352
0.240,2249,2847,3925,349,347,351
0.260,2250,2856,3990,345,348,356
0.280,2260,2853,4095,349,357,350
0.300,2249,2855,3973,352,360,356
0.320,2240,2852,3880,349,346,357
0.340,2306,2852,3992,362,349,357
0.360,2287,2855,3989,351,352,353
0.380,2282,2866,4095,356,354,351
0.400,2304,2849,3967,352,347,351
0.420,2324,2849,3894,350,352,347
0.440,2298,2848,3972,346,354,351
0.460,2305,2851,3989,352,353,353
0.480,2302,2849,4093,344,358,352
0.500,2307,2846,3978,347,350,348
0.520,2299,2844,3869,347,354,356
0.540,2313,2854,3947,357,354,359
0.560,2306,2852,3998,352,355,351
0.580,2311,2857,4063,357,351,355
0.600,2304,2848,3973,352,351,351
0.620,2304,2847,3899,368,353,357
0.640,2309,2849,3963,353,355,353
0.660,2312,2855,3996,360,353,354
0.680,2308,2853,4047,354,351,347
0.700,2286,2850,3991,360,356,349
0.720,2299,2854,3937,347,353,355
0.740,2306,2860,3986,353,359,348
0.760,2298,2858,4007,356,353,355
0.780,2302,2854,4095,353,349,355
0.800,2298,2855,3982,354,356,356
0.820,2298,2866,3864,352,350,352
0.840,2291,2857,3992,356,358,360
0.860,2279,2854,4001,353,347,354
0.880,2303,2848,4091,350,349,354
0.900,2290,2853,3981,354,350,353
0.920,2288,2847,3816,351,351,347
0.940,2290,2850,3959,353,358,349
0.960,2297,2856,3979,354,347,360
0.980,2291,2853,4060,360,345,351
1.000,2253,2853,3970,347,343,344
1.020,2308,2844,3938,347,344,347
1.040,2286,2851,3997,347,349,351
1.060,2291,2851,3979,354,354,353
1.080,2271,2855,3997,349,356,356
1.100,2296,2851,3977,350,348,352
1.120,2296,2855,3933,354,348,356
1.140,2296,2855,3986,353,349,354
1.160,2287,2850,3988,350,354,349
1.180,2294,2847,4051,352,355,359
1.200,2280,2851,3973,355,350,343
1.220,2278,2857,3860,349,356,347
1.240,2295,2855,4003,348,350,350
1.260,2300,2853,3990,350,345,346
1.280,2301,2854,3983,344,351,342
1.300,2299,2849,3972,348,347,343
1.320,2293,2845,3855,347,358,348
1.340,2294,2853,4001,347,354,347
1.360,2305,2838,3985,342,349,346
1.380,2296,2847,4016,352,347,347
1.400,2291,2851,3965,348,352,356
1.420,2267,2849,3889,346,352,356
1.440,2289,2851,3996,355,353,352
1.460,2288,2851,3975,352,345,353
1.480,2305,2847,4024,355,351,348
1.500,2305,2844,3977,344,349,348
1.520,2277,2851,3882,348,354,345
1.540,2272,2846,3997,344,343,358
1.560,2268,2847,3979,350,349,348
1.580,2272,2845,4002,355,353,344
1.600,2302,2852,3967,347,346,346
1.620,2282,2850,3854,350,350,348
1.640,2306,2847,3993,348,349,347
1.660,2310,2853,4000,349,348,349
1.680,2300,2837,4006,347,344,350
1.700,2294,2851,3978,348,356,350
1.720,2306,2849,3853,352,351,349
1.740,2306,2852,3993,356,352,352
1.760,2318,2864,4068,349,345,360
1.780,2303,2853,3996,351,349,351
1.800,2309,2851,3974,351,353,353
1.820,2309,2845,3890,346,353,348
1.840,2309,2857,3981,347,353,347
1.860,2311,2852,4079,351,350,350
1.880,2312,2856,4034,349,347,353
1.900,2316,2847,3973,342,346,348
1.920,2293,2847,3859,347,349,352
1.940,2328,2859,3987,363,351,356
1.960,2311,2856,4086,350,354,352
1.980,2313,2850,4010,355,345,351
2.000,2306,2850,3976,348,349,347
2.020,2290,2849,3819,345,352,356
2.040,2289,2857,3995,356,357,352
2.060,2293,2851,4095,353,358,350
2.080,2296,2841,3989,356,344,356
2.100,2293,2852,3982,348,356,360
2.120,2294,2863,3825,351,352,346
2.140,2309,2849,3992,352,347,352
2.160,2295,2849,4074,351,344,351
2.180,2304,2858,3967,360,355,347
2.200,2304,2852,3962,357,357,353
2.220,2265,2855,3844,350,352,349
2.240,2286,2853,3988,360,352,357
2.260,2295,2853,4095,348,352,342
2.280,2294,2856,3959,350,350,352
2.300,2296,2858,3967,352,347,355
2.320,2270,2848,3844,348,351,349
2.340,2288,2847,3993,353,352,355
2.360,2299,2850,4095,350,352,350
2.380,2311,2859,4041,358,346,353
2.400,2304,2863,3954,355,351,355
2.420,2307,2866,3863,342,353,346
2.440,2318,2858,3980,349,353,350
2.460,2292,2853,4058,354,351,354
2.480,2314,2865,4006,355,352,367
2.500,2282,2857,3956,356,353,348
2.520,2315,2848,3889,360,352,352
2.540,2284,2856,3971,350,357,361
2.560,2277,2847,4062,345,361,343
2.580,2276,2852,3998,357,353,370
2.600,2274,2851,3962,354,358,351
2.620,2287,2857,3868,363,350,351
2.640,2304,2862,3974,363,353,354
2.660,2326,2864,4045,355,350,356
2.680,2305,2848,3993,353,352,354
2.700,2274,2852,3956,356,358,356
2.720,2240,2845,3861,351,357,343
2.740,2252,2856,3973,351,354,358
2.760,2272,2861,4032,356,351,353
2.780,2248,2843,3982,351,351,352
2.800,2242,2854,3924,358,353,347
2.820,2264,2848,3881,346,352,350
2.840,2296,2865,3975,352,343,354
2.860,2288,2860,3998,351,363,349
2.880,2307,2856,4003,350,356,360
2.900,2302,2853,3950,351,327,350
2.920,2297,2850,3861,342,347,349
2.940,2301,2851,3973,356,353,356
2.960,2293,2852,4034,354,354,366
2.980,2247,2852,3975,371,356,366
3.000,2298,2861,3949,351,347,351
3.020,2310,2855,3876,354,358,347
3.040,2277,2848,3981,345,345,349
3.060,2271,2852,4095,351,357,350
3.080,2298,2843,3983,356,346,344
3.100,2288,2850,3969,347,358,352
3.120,2303,2850,3888,357,354,346
3.140,2298,2856,3987,349,353,349
3.160,2296,2847,4095,354,352,349
3.180,2299,2848,3960,354,350,358
3.200,2303,2853,3964,355,355,360
3.220,2288,2860,3933,356,352,360
3.240,2301,2852,3983,349,353,356
3.260,2301,2852,4012,352,351,353
3.280,2290,2849,3963,355,358,357
3.300,2279,2847,3965,349,356,353
3.320,2280,2857,3893,355,343,360
3.340,2271,2851,3988,354,352,352
3.360,2302,2853,4079,358,351,347
3.380,2272,2856,3957,356,347,353
3.400,2292,2852,3977,354,347,350
3.420,2243,2851,3860,349,356,347
3.440,2297,2855,3971,347,348,351
3.460,2299,2853,4095,352,354,357
3.480,2281,2851,3980,354,356,354
3.500,2280,2853,3966,328,352,357
3.520,2282,2849,3921,354,353,355
3.540,2273,2855,4008,353,355,357
3.560,2285,2855,4095,357,359,346
3.580,2280,2856,3962,355,347,355
3.600,2262,2852,3960,357,347,349
3.620,2263,2853,3930,354,355,358
3.640,2237,2851,3974,355,350,354
3.660,2252,2859,4090,360,356,342
3.680,2263,2844,3965,355,348,353
3.700,2289,2852,3957,349,362,354
3.720,2278,2847,3868,352,346,349
3.740,2287,2848,3973,348,347,349
3.760,2309,2855,4095,351,347,358
3.780,2308,2852,3981,356,346,351
3.800,2292,2849,3961,349,358,349
3.820,2291,2858,3885,346,355,345
3.840,2237,2846,3974,348,349,347
3.860,2302,2859,4095,351,357,342
3.880,2260,2854,3989,349,348,347
3.900,2263,2856,3968,356,351,362
3.920,2287,2845,3892,346,355,344
3.940,2301,2850,3974,349,356,352
3.960,2273,2857,4095,357,359,344
3.980,2269,2856,3981,353,351,348
4.000,2256,2845,3945,356,353,358
4.020,2247,2855,3859,352,351,352
4.040,2262,2849,3964,353,351,354
4.060,2261,2854,4095,358,352,351
4.080,2302,2854,3991,347,350,356
4.100,2308,2864,3896,354,343,344
4.120,2305,2854,3838,351,351,349
4.140,2306,2858,3983,360,357,355
4.160,2280,2858,4095,359,355,360
4.180,2278,2845,4011,352,351,358
4.200,2267,2843,3844,359,342,351
4.220,2264,2852,3844,352,352,341
4.240,2278,2853,3987,357,347,355
4.260,2309,2853,4095,351,358,366
4.280,2298,2851,3999,349,361,352
4.300,2280,2854,3767,350,347,345
4.320,2287,2853,3813,360,352,351
4.340,2298,2858,3986,356,348,356
4.360,2283,2858,4095,356,355,356
4.380,2281,2850,4018,351,351,355
4.400,2260,2849,3750,357,353,351
4.420,2280,2854,3853,357,353,345
4.440,2268,2856,3985,353,357,351
4.460,2319,2857,4095,351,357,359
4.480,2303,2850,4021,364,345,352
4.500,2281,2852,3725,354,355,356
4.520,2274,2846,3833,347,353,348
4.540,2308,2852,4004,347,349,351
4.560,2313,2864,4095,354,356,354
4.580,2301,2846,4008,347,363,349
4.600,2278,2860,3737,362,350,373
4.620,2276,2880,3796,350,347,351
4.640,2284,2851,4017,350,354,357
4.660,2298,2851,4095,363,353,351
4.680,2281,2852,4008,357,353,347
4.700,2264,2854,3808,351,350,357
4.720,2261,2846,3834,350,354,351
4.740,2280,2853,4013,354,345,356
4.760,2274,2855,4095,354,359,356
4.780,2276,2855,4005,350,354,357
4.800,2252,2853,3745,351,346,351
4.820,2262,2841,3830,353,358,350
4.840,2273,2852,4026,358,354,348
4.860,2288,2855,4095,363,355,361
4.880,2294,2858,3997,360,347,351
4.900,2273,2844,3612,348,350,346
4.920,2285,2864,3835,347,354,346
4.940,2301,2852,4010,355,351,352
4.960,2308,2855,4095,357,354,357
4.980,2282,2847,3989,356,354,353
5.000,2271,2849,3634,351,348,347
5.020,2289,2852,3826,352,353,346
5.040,2302,2852,4016,351,347,353
5.060,2304,2849,4095,353,360,360
5.080,2299,2848,3997,352,347,352
5.100,2289,2847,3766,354,354,347
5.120,2314,2850,3874,326,346,350
5.140,2310,2853,4004,349,355,355
5.160,2330,2852,4095,353,345,351
5.180,2303,2847,3990,351,355,353
5.200,2303,2849,3727,347,357,345
5.220,2283,2851,3894,351,360,356
5.240,2297,2851,4012,349,349,353
5.260,2319,2859,4095,351,357,356
5.280,2314,2855,4015,357,349,355
5.300,2278,2845,3663,352,351,349
5.320,2299,2854,3924,353,357,356
5.340,2308,2854,4002,359,357,356
5.360,2320,2858,4095,360,349,354
5.380,2309,2847,3985,353,352,356
5.400,2292,2843,3639,347,352,356
5.420,2309,2851,3936,357,357,349
5.440,2312,2855,4012,356,353,357
5.460,2299,2878,4095,376,350,360
5.480,2261,2857,4001,359,355,341
5.500,2303,2844,3748,352,359,349
5.520,2304,2855,3938,355,355,348
5.540,2294,2854,3970,351,360,352
5.560,2303,2853,4095,361,355,360
5.580,2301,2850,3998,358,359,358
5.600,2309,2847,3756,351,348,354
5.620,2311,2852,3966,360,357,355
5.640,2296,2853,4016,351,360,354
5.660,2297,2851,4082,353,357,360
5.680,2316,2852,3994,353,353,354
5.700,2290,2849,3804,353,356,347
5.720,2313,2852,3961,356,351,354
5.740,2313,2847,3994,362,354,357
5.760,2304,2856,4039,344,347,358
5.780,2311,2848,3961,349,340,352
5.800,2293,2847,3811,353,357,352
5.820,2302,2854,3978,351,348,352
5.840,2302,2852,4080,344,353,353
5.860,2306,2845,4036,357,362,350
5.880,2280,2847,3992,352,359,354
5.900,2291,2844,3823,351,348,359
5.920,2306,2857,4005,352,354,358
5.940,2328,2846,4095,355,355,354
5.960,2312,2850,4035,355,360,355
5.980,2318,2855,3972,351,353,348
6.000,2311,2854,3791,352,350,360
6.020,2301,2854,3991,358,356,356
6.040,2317,2860,4095,353,351,357
6.060,2297,2854,4023,348,355,351
6.080,2303,2851,3967,359,368,355
6.100,2306,2847,3798,350,372,353
6.120,2294,2853,3996,355,353,360
6.140,2312,2861,4095,356,352,352
6.160,2293,2854,4008,357,356,350
6.180,2320,2849,3961,351,353,355
6.200,2305,2847,3791,359,353,351
6.220,2322,2854,3990,351,355,358
6.240,2320,2850,4095,357,357,356
6.260,2320,2857,4025,360,351,360
6.280,2311,2861,3962,355,357,358
6.300,2302,2851,3878,350,373,350
6.320,2312,2855,3986,356,356,359
6.340,2338,2852,4089,357,351,362
6.360,2315,2857,4021,356,364,351
6.380,2313,2849,3962,353,337,351
6.400,2315,2853,3902,355,362,357
6.420,2320,2846,3983,354,354,350
6.440,2316,2858,4014,351,359,349
6.460,2317,2857,3990,355,360,357
6.480,2324,2851,3952,353,355,355
6.500,2315,2851,3899,347,355,354
6.520,2319,2859,3984,355,363,360
6.540,2325,2854,4045,359,356,359
6.560,2328,2857,3967,350,354,357
6.580,2321,2852,3958,350,360,356
6.600,2317,2851,3876,361,355,356
6.620,2315,2862,3977,362,355,349
6.640,2322,2856,4095,355,362,361
6.660,2304,2857,3966,355,360,360
6.680,2308,2851,3963,363,356,366
6.700,2302,2843,3906,351,347,357
6.720,2305,2859,4010,351,358,355
6.740,2322,2870,4075,361,357,361
6.760,2301,2848,3949,360,355,356
6.780,2308,2855,3965,351,360,359
6.800,2325,2852,3904,359,368,356
6.820,2321,2862,3991,355,355,357
6.840,2311,2861,4010,362,361,363
6.860,2313,2858,3959,359,353,361
6.880,2322,2861,3986,359,361,356
6.900,2314,2857,3940,361,353,358
6.920,2320,2847,3982,355,360,358
6.940,2324,2862,4086,360,350,364
6.960,2317,2859,3970,361,359,357
6.980,2306,2853,3982,351,361,357
7.000,2318,2857,3940,363,357,360
7.020,2323,2857,3993,368,363,356
7.040,2316,2853,4095,364,357,356
7.060,2315,2854,3965,360,361,359
7.080,2329,2847,3991,351,358,352
