Time,25W,25X,25Y,25Z,25P,25Q
86.838,1910,2732,3871,105,106,101
86.838,1912,2728,3671,96,103,103
86.838,1915,2740,3709,102,108,105
86.838,1921,2739,3823,98,108,101
86.838,1914,2732,4001,109,97,106
86.838,1904,2734,3884,109,103,105
86.838,1907,2728,3672,99,101,101
86.838,1911,2736,3720,106,104,104
86.838,1914,2738,3820,103,105,105
86.838,1912,2734,4001,112,104,103
86.838,1907,2728,3874,104,104,109
86.838,1912,2734,3656,105,104,104
86.838,1914,2740,3736,106,102,100
86.838,1913,2738,3826,102,100,103
86.838,1915,2738,3997,104,103,115
86.838,1911,2738,3866,103,101,104
86.838,1911,2733,3646,106,104,105
86.838,1910,2729,3722,105,108,100
86.838,1912,2736,3821,104,101,106
86.838,1914,2734,4007,95,102,105
86.838,1916,2736,3868,104,105,106
86.838,1919,2747,3651,106,99,106
86.838,1915,2734,3724,108,102,99
86.838,1921,2729,3820,103,96,105
86.838,1913,2731,3998,103,103,103
86.838,1912,2735,3875,104,99,99
86.838,1915,2733,3647,105,107,103
86.838,1907,2734,3726,110,103,101
86.838,1911,2731,3830,104,101,102
86.838,1906,2735,3997,106,103,101
86.838,1916,2730,3867,102,98,101
86.838,1907,2735,3642,101,100,102
86.838,1910,2736,3724,107,107,95
86.838,1911,2736,3831,105,104,108
86.838,1909,2736,3996,101,102,102
86.850,1912,2728,3872,101,108,102
86.869,1909,2736,3635,101,105,109
86.888,1911,2731,3725,102,102,100
86.905,1914,2736,3853,104,109,105
86.925,1909,2726,3988,105,99,104
86.925,1913,2731,3872,105,99,99
86.945,1908,2735,3622,104,108,102
86.964,1910,2730,3717,102,100,108
86.982,1916,2732,3861,102,101,102
86.994,1906,2728,3989,104,98,105
87.008,1906,2733,3876,104,101,101
87.027,1907,2732,3625,105,105,104
87.047,1918,2735,3713,98,103,99
87.067,1916,2734,3867,101,107,105
87.069,1910,2732,3987,103,103,102
87.085,1908,2727,3872,106,106,105
87.104,1913,2727,3611,106,100,101
87.126,1912,2729,3729,100,103,101
87.145,1907,2730,3873,103,103,104
