Time,25W,25X,25Y,25Z,25P,25Q
0.000,1917,2739,3885,114,111,116
0.020,1919,2741,3887,113,116,115
0.040,1918,2735,3679,110,115,111
0.060,1922,2738,3691,111,115,117
0.080,1922,2739,3792,117,109,113
0.100,1919,2742,4011,117,115,111
0.120,1921,2739,3879,113,109,112
0.140,1917,2737,3684,111,113,113
0.160,1925,2740,3683,111,117,111
0.180,1922,2743,3789,121,119,116
0.200,1926,2748,3995,115,112,115
0.220,1922,2745,3882,112,117,110
0.240,1921,2735,3679,111,115,115
0.260,1922,2741,3682,119,117,120
0.280,1926,2742,3793,117,110,113
0.300,1930,2742,4003,119,116,115
0.320,1924,2745,3888,120,116,111
0.340,1916,2744,3665,112,114,115
0.360,1924,2739,3680,111,116,117
0.380,1914,2739,3786,116,107,120
0.400,1922,2741,4003,111,117,117
0.420,1922,2738,3879,111,115,112
0.440,1922,2746,3677,114,116,114
0.460,1924,2736,3676,114,115,117
0.480,1925,2746,3788,114,114,117
0.500,1943,2750,4028,118,116,116
0.520,1918,2741,3886,111,99,114
0.540,1925,2743,3675,113,113,113
0.560,1924,2738,3678,111,116,115
0.580,1928,2742,3801,122,116,113
0.600,1932,2744,4021,117,114,124
0.620,1918,2740,3888,117,111,119
0.640,1916,2735,3670,115,111,114
0.660,1917,2742,3690,118,117,120
0.680,1920,2747,3802,114,110,114
0.700,1922,2741,4011,116,110,111
0.720,1924,2735,3880,110,116,115
0.740,1913,2740,3668,113,112,110
0.760,1921,2737,3694,111,111,112
0.780,1917,2737,3814,112,107,116
0.800,1920,2745,4022,119,116,117
0.820,1919,2742,3883,117,112,112
0.840,1915,2746,3667,114,111,115
0.860,1930,2745,3694,110,111,113
0.880,1928,2741,3805,115,115,114
0.900,1921,2744,4000,111,111,106
0.920,1923,2742,3882,109,117,117
0.940,1910,2739,3670,111,113,114
0.960,1925,2742,3693,111,114,111
0.980,1924,2742,3809,110,116,112
1.000,1924,2744,4040,116,113,113
1.020,1932,2746,3890,111,109,121
1.040,1932,2739,3658,109,113,113
1.060,1933,2748,3693,114,112,117
1.080,1926,2742,3797,115,120,116
1.100,1928,2731,4012,114,111,112
1.120,1923,2742,3881,112,114,112
1.140,1917,2739,3666,121,114,112
1.160,1915,2740,3691,117,111,117
1.180,1927,2741,3804,114,111,110
1.200,1917,2737,4019,117,117,115
1.220,1923,2743,3879,109,114,116
1.240,1923,2742,3676,110,110,114
1.260,1926,2744,3695,111,111,114
1.280,1923,2743,3805,127,111,111
1.300,1927,2743,4012,115,113,113
1.320,1919,2741,3881,110,113,114
1.340,1922,2748,3650,112,116,116
1.360,1920,2737,3698,115,115,116
1.380,1915,2740,3801,117,115,120
1.400,1919,2744,4016,109,117,118
1.420,1925,2735,3873,111,111,120
1.440,1916,2746,3670,114,113,107
1.460,1960,2740,3717,114,116,117
1.480,1926,2741,3823,115,115,105
1.500,1921,2740,4021,113,112,116
1.520,1922,2742,3869,111,118,111
1.540,1919,2741,3672,120,111,113
1.560,1918,2738,3718,110,109,112
1.580,1917,2742,3823,116,107,110
1.600,1930,2745,4011,115,115,111
1.620,1918,2740,3871,122,108,116
1.640,1919,2740,3661,110,115,114
1.660,1924,2735,3705,113,118,113
1.680,1916,2739,3815,112,115,116
1.700,1940,2741,4022,115,110,111
1.720,1928,2740,3875,119,108,116
1.740,1919,2735,3669,114,114,111
1.760,1929,2741,3722,117,118,122
1.780,1929,2742,3820,116,115,113
1.800,1919,2739,4007,120,114,118
1.820,1930,2746,3878,114,111,109
1.840,1918,2739,3670,114,111,115
1.860,1919,2746,3713,113,113,118
1.880,1928,2740,3824,115,118,110
1.900,1922,2755,4005,114,110,117
1.920,1924,2740,3883,116,115,116
1.940,1917,2748,3663,120,111,107
1.960,1936,2740,3720,113,114,112
1.980,1919,2744,3826,112,110,111
2.000,1925,2733,3999,113,111,115
2.020,1919,2741,3871,117,116,115
2.040,1916,2735,3659,118,114,115
2.060,1929,2740,3723,112,116,115
2.080,1930,2747,3819,120,119,115
2.100,1927,2733,4012,114,109,113
2.120,1926,2740,3878,121,118,111
2.140,1909,2738,3665,114,113,120
2.160,1915,2742,3718,120,111,114
2.180,1926,2741,3819,116,114,117
