Time,25W,25X,25Y,25Z,25P,25Q
30.063,1849,2645,3615,39,37,36
30.063,1847,2647,3925,46,42,41
30.063,1843,2645,3885,38,31,32
30.063,1846,2659,3741,36,35,42
30.063,1849,2658,3556,45,40,41
30.063,1856,2653,3636,37,33,40
30.063,1853,2649,3933,40,35,36
30.063,1862,2653,3896,39,39,36
30.063,1848,2648,3722,39,39,38
30.063,1839,2645,3535,44,31,37
30.063,1852,2646,3657,37,38,34
30.063,1855,2646,3980,39,41,37
30.063,1847,2648,3909,35,40,41
30.063,1846,2646,3729,37,40,40
30.063,1847,2641,3510,38,38,42
30.063,1847,2646,3655,38,37,40
30.063,1846,2645,3968,40,42,38
30.063,1855,2647,3899,40,38,37
30.063,1839,2643,3710,39,39,35
30.063,1854,2650,3532,38,38,36
30.063,1851,2652,3636,38,42,36
30.063,1855,2645,3942,39,42,43
30.063,1850,2650,3896,44,41,33
30.063,1848,2652,3725,40,35,36
30.063,1850,2653,3526,40,41,35
30.063,1848,2622,3650,40,35,36
30.063,1850,2650,3988,44,33,42
30.063,1854,2645,3886,40,39,38
30.063,1842,2645,3723,31,39,40
30.063,1849,2647,3526,41,38,35
30.063,1857,2647,3656,41,42,35
30.063,1850,2652,3961,37,40,35
30.063,1851,2648,3885,42,40,31
30.063,1845,2647,3687,37,39,36
30.063,1857,2648,3529,37,35,41
30.063,1846,2649,3640,37,37,35
30.063,1859,2644,3979,39,40,37
30.063,1852,2647,3874,40,39,38
30.063,1846,2648,3649,47,35,45
30.063,1847,2639,3525,38,38,40
30.063,1847,2648,3653,35,39,41
30.063,1847,2650,3966,31,39,40
30.063,1850,2650,3877,34,42,33
30.063,1853,2650,3679,39,35,36
30.063,1840,2647,3535,36,39,35
30.063,1846,2648,3636,42,36,42
30.063,1846,2650,3965,36,39,40
30.063,1847,2650,3868,35,38,36
30.063,1842,2650,3660,39,40,34
30.063,1856,2650,3547,40,40,34
30.063,1847,2648,3625,37,40,37
30.063,1846,2643,3946,38,40,36
30.063,1845,2645,3855,33,35,37
30.063,1849,2646,3620,40,34,37
30.063,1850,2646,3523,36,39,41
30.063,1847,2647,3620,38,36,41
30.063,1857,2647,3960,37,31,38
30.063,1846,2648,3849,41,40,38
30.063,1843,2652,3609,36,37,37
30.063,1848,2662,3551,37,35,40
30.063,1861,2651,3615,37,37,37
30.063,1858,2645,3943,37,39,40
30.063,1856,2646,3827,37,33,40
30.063,1849,2649,3598,37,42,40
30.063,1843,2628,3532,39,36,39
30.063,1849,2646,3619,33,42,39
30.063,1841,2651,3923,40,38,33
30.063,1850,2642,3843,41,40,41
30.063,1852,2648,3596,35,37,38
30.063,1849,2650,3526,49,31,37
30.063,1844,2645,3596,39,39,39
30.063,1849,2641,3928,39,40,36
30.063,1852,2649,3837,36,37,37
30.063,1848,2654,3578,37,34,34
30.063,1848,2642,3538,37,38,38
30.063,1850,2643,3620,40,40,40
30.063,1851,2639,3934,39,38,34
30.063,1849,2649,3838,39,40,35
30.063,1848,2652,3566,16,38,37
30.063,1846,2645,3541,39,41,37
30.064,1847,2647,3639,35,41,35
30.080,1847,2645,3930,30,35,31
30.080,1849,2645,3846,40,38,37
30.100,1848,2648,3562,39,36,36
30.116,1847,2646,3554,42,35,40
30.136,1858,2645,3661,36,41,35
30.156,1849,2646,3937,39,40,37
30.175,1848,2647,3849,36,41,41
30.195,1850,2646,3565,38,38,35
30.197,1847,2651,3555,34,38,27
30.212,1846,2643,3681,35,38,35
30.231,1849,2640,3963,37,35,38
30.251,1847,2652,3856,36,37,38
30.272,1843,2645,3565,40,37,35
30.292,1847,2653,3566,35,41,36
30.311,1852,2650,3706,36,35,41
30.331,1850,2647,3959,39,41,34
30.343,1851,2646,3837,38,42,41
30.343,1846,2646,3543,38,40,35
30.361,1847,2649,3555,41,37,36
30.377,1850,2643,3700,39,41,38
30.391,1851,2648,3948,40,37,40
30.409,1844,2646,3844,36,38,39
30.427,1846,2646,3507,44,36,35
30.447,1845,2650,3564,44,38,42
30.468,1845,2649,3706,38,37,38
30.490,1851,2642,3943,35,35,36
30.490,1841,2650,3852,42,36,38
30.508,1843,2647,3503,40,34,38
30.527,1851,2645,3562,41,35,37
30.539,1852,2648,3737,37,34,35
30.558,1846,2646,3948,38,35,42
30.577,1847,2644,3836,36,34,33
30.597,1845,2647,3508,33,38,36
30.615,1850,2650,3577,36,31,31
30.637,1851,2622,3749,31,33,41
30.639,1848,2652,3972,38,39,43
30.654,1843,2644,3865,34,41,37
30.674,1851,2645,3519,37,36,39
30.697,1852,2644,3581,36,42,35
30.716,1846,2644,3776,44,39,40
30.730,1852,2651,3978,38,37,42
30.750,1845,2650,3855,36,35,39
30.770,1850,2647,3521,42,42,37
30.790,1845,2650,3599,39,41,37
30.809,1849,2648,3770,37,35,37
30.809,1849,2648,3979,38,35,38
30.825,1851,2645,3860,40,31,40
30.841,1847,2645,3516,41,38,37
30.861,1852,2647,3583,42,37,42
30.881,1852,2644,3761,38,26,35
30.902,1853,2644,3951,40,37,38
30.921,1851,2650,3860,39,35,34
30.940,1852,2643,3502,40,40,35
30.962,1852,2647,3606,34,35,38
30.963,1852,2663,3752,35,39,36
30.981,1865,2648,3949,35,34,36
31.000,1850,2652,3841,43,35,34
31.020,1851,2644,3511,41,37,35
31.039,1851,2652,3602,40,35,40
31.055,1849,2647,3813,46,36,42
31.076,1839,2652,3963,35,37,37
31.097,1856,2646,3844,39,37,37
31.117,1856,2654,3499,35,33,31
31.118,1846,2649,3571,43,38,42
31.138,1847,2644,3795,42,40,49
31.156,1846,2650,3943,39,40,37
31.168,1846,2648,3836,35,35,39
31.189,1839,2651,3493,41,42,42
31.211,1845,2652,3597,41,41,38
31.230,1845,2645,3789,41,35,40
31.250,1858,2647,3929,40,40,37
31.272,1847,2646,3831,33,37,39
31.272,1842,2645,3487,42,34,37
31.293,1846,2649,3606,38,37,43
31.313,1841,2645,3794,39,36,41
31.335,1849,2648,3950,39,31,40
31.352,1852,2647,3848,35,40,36
31.363,1840,2651,3498,39,34,38
31.384,1848,2650,3603,38,38,32
31.403,1853,2647,3827,37,40,33
31.423,1850,2656,3949,42,36,40
31.423,1857,2643,3844,41,40,42
31.457,1855,2645,3495,42,34,40
31.457,1851,2645,3595,38,37,38
31.477,1851,2645,3837,39,33,44
31.496,1850,2652,3936,40,41,40
31.515,1848,2645,3837,41,40,37
31.534,1852,2643,3471,35,40,38
31.551,1850,2647,3610,38,37,41
31.566,1859,2654,3872,37,41,41
31.566,1847,2648,3933,35,36,36
31.586,1853,2649,3836,40,38,36
31.606,1846,2651,3477,40,39,32
31.625,1850,2653,3611,40,40,37
31.644,1843,2649,3865,40,39,42
31.663,1847,2653,3929,40,38,36
31.682,1845,2649,3833,44,37,38
31.701,1833,2653,3488,38,43,38
31.722,1851,2651,3618,35,39,40
31.723,1859,2640,3873,44,42,40
31.734,1847,2656,3919,37,36,38
31.751,1849,2649,3834,39,42,38
31.765,1839,2652,3497,40,34,36
31.784,1851,2656,3621,43,40,37
31.803,1844,2652,3887,41,36,35
31.820,1849,2651,3914,40,40,36
31.840,1845,2645,3827,36,40,36
31.855,1852,2650,3496,36,41,38
31.856,1849,2645,3612,40,39,37
31.871,1850,2656,3890,37,37,40
31.892,1843,2641,3902,38,35,39
31.905,1854,2652,3790,42,38,38
31.925,1848,2650,3497,41,38,36
31.939,1844,2650,3613,38,42,36
31.959,1851,2647,3919,36,40,40
31.977,1851,2653,3916,36,35,39
31.996,1843,2649,3755,37,39,37
31.997,1849,2646,3474,36,37,37
32.005,1843,2645,3596,37,36,38
32.018,1856,2649,3923,40,38,38
32.038,1848,2647,3908,39,40,37
32.056,1841,2658,3751,40,37,39
32.076,1854,2651,3499,41,37,44
32.095,1848,2651,3621,42,37,38
32.117,1859,2648,3968,43,40,40
32.135,1856,2650,3900,41,35,38
32.135,1853,2646,3736,41,38,37
32.152,1850,2644,3509,33,40,38
32.193,1852,2647,3617,41,37,36
32.194,1850,2660,3949,40,39,39
32.208,1847,2643,3887,42,34,39
32.226,1845,2646,3722,42,40,41
32.243,1847,2660,3503,38,38,37
32.259,1851,2649,3653,40,38,35
32.280,1850,2642,3993,41,34,39
32.280,1853,2644,3901,44,43,42
32.299,1850,2645,3730,40,36,35
32.317,1848,2646,3496,37,38,40
32.335,1853,2646,3680,39,38,39
32.353,1854,2650,4003,43,42,37
32.370,1850,2650,3901,42,44,35
32.389,1860,2652,3721,41,51,38
32.408,1839,2651,3540,40,38,37
32.425,1844,2648,3683,37,36,39
32.426,1856,2652,4020,37,39,41
32.441,1850,2652,3899,42,37,36
32.458,1844,2647,3731,34,40,35
32.478,1847,2650,3529,40,41,42
32.496,1851,2647,3690,34,41,37
32.516,1848,2647,4025,36,40,41
32.536,1849,2650,3887,38,39,42
