Time,25W,25X,25Y,25Z,25P,25Q
0.000,1873,2649,3609,37,44,43
0.020,1878,2646,3600,41,42,40
0.040,1883,2654,3762,40,42,40
0.060,1877,2647,3953,41,41,39
0.080,1894,2652,3859,41,40,41
0.100,1880,2649,3541,38,35,41
0.120,1879,2654,3596,40,45,40
0.140,1886,2656,3759,39,40,37
0.160,1870,2650,3957,40,38,42
0.180,1876,2649,3864,37,40,41
0.200,1872,2652,3537,38,39,37
0.220,1883,2650,3596,38,43,39
0.240,1871,2671,3739,45,39,39
0.260,1873,2651,3952,40,37,44
0.280,1877,2650,3855,46,35,40
0.300,1868,2651,3543,40,35,38
0.320,1875,2647,3590,41,39,42
0.340,1877,2650,3736,44,37,35
0.360,1881,2652,3963,41,41,40
0.380,1872,2651,3855,44,34,39
0.400,1876,2649,3575,40,38,39
0.420,1872,2651,3588,41,39,42
0.440,1878,2647,3720,39,42,43
0.460,1877,2650,3958,40,40,40
0.480,1877,2647,3859,38,43,42
0.500,1872,2652,3569,42,41,42
0.520,1880,2639,3582,43,40,39
0.540,1881,2652,3732,42,46,38
0.560,1878,2650,3970,39,41,40
0.580,1875,2650,3866,39,39,40
0.600,1869,2648,3536,40,37,40
0.620,1877,2653,3593,42,40,42
0.640,1880,2647,3744,40,43,42
0.660,1882,2653,3983,42,40,39
0.680,1879,2657,3883,39,43,45
0.700,1875,2655,3549,43,41,43
0.720,1880,2651,3587,39,39,41
0.740,1879,2653,3733,42,39,46
0.760,1874,2649,3972,38,46,42
0.780,1882,2653,3876,40,39,40
0.800,1872,2655,3562,40,44,42
0.820,1888,2653,3600,42,42,41
0.840,1882,2651,3753,46,43,39
0.860,1880,2656,3989,44,42,43
0.880,1869,2650,3863,44,43,39
0.900,1870,2657,3559,44,40,39
0.920,1877,2653,3597,42,41,39
0.940,1881,2654,3741,40,44,39
0.960,1877,2652,3984,44,39,43
0.980,1874,2648,3869,43,37,44
1.000,1863,2649,3561,42,41,39
1.020,1875,2650,3593,45,46,43
1.040,1885,2659,3736,40,44,39
1.060,1881,2647,3978,44,43,39
1.080,1882,2651,3864,43,41,41
1.100,1871,2653,3537,45,40,38
1.120,1882,2648,3602,42,43,43
1.140,1881,2652,3756,45,36,39
1.160,1869,2646,3980,40,37,40
1.180,1874,2650,3893,43,41,38
1.200,1871,2651,3568,43,45,44
1.220,1877,2651,3616,38,39,39
1.240,1877,2647,3761,42,38,43
1.260,1878,2662,4012,42,42,35
1.280,1875,2662,3882,41,42,40
1.300,1882,2655,3546,40,42,44
1.320,1887,2651,3594,37,44,43
1.340,1882,2656,3757,42,48,37
1.360,1884,2655,3975,39,42,42
1.380,1880,2646,3871,41,40,41
1.400,1874,2668,3570,38,43,44
