Time,W,X,Y
0.008,2159.404029420116,1790.9409705086598,468.10497840614613
0.008,2197.7283573627947,1466.0982442361237,431.2975944603933
0.031,2187.084980985663,1685.0059670502174,461.2657287211938
0.031,2115.7862525378173,1830.8259395070925,433.13703353181035
0.032,2073.9932699368333,1564.9277416942673,477.24040752285083
0.032,2065.9872089105074,1646.596262957043,491.1838400551243
0.058,1893.464607952995,1801.1351847893548,414.15783223274826
0.058,2162.682283312954,1753.9694481669205,411.8772194157617
0.085,1894.8058454739996,1696.0872681560688,383.8457167586802
0.085,2146.937860907495,1678.2008592070815,425.9633400815176
0.085,2091.9483702984876,1638.1532990390344,413.9148800601299
0.113,2090.573679643618,1727.5506584034608,417.66298954454294
0.113,2039.366525698995,2019.0867960604992,428.23849116103196
0.14,2036.2549808222718,1636.6934297594923,421.55569819439717
0.14,2056.6653856959833,1740.9093370448975,436.3246492897714
0.14,2174.0889839480765,1700.6102751538579,444.9720852098098
0.167,1919.074893379328,1773.5928812731172,381.1598134904312
0.168,2112.2746719740335,1834.6882653707132,429.6312783212286
0.194,2173.6349765037885,1784.4515098696543,471.38248947175236
0.194,1865.0773573049728,1829.2015175164338,475.2797320075705
0.194,1983.309697271321,1805.083672701858,395.1950595135396
0.194,1966.7527266798268,1776.0546917208262,448.4478805617898
0.219,2011.9955416604798,1717.8375191104587,429.6565775951108
0.246,2026.9675539837529,1830.2373721254814,440.94856781609434
0.246,2033.76578795151,1699.5544547567606,391.46536061941055
0.247,1973.2204593302374,1786.4007667429883,428.51206514469897
0.247,2019.0738995283348,1652.0236324728176,429.3172701792061
0.276,2098.9989985544403,1798.4517015953927,477.39170969862147
0.303,2091.9867596588783,1742.1665685733706,451.2737364184381
0.303,2013.1588000720387,1574.6766204527676,416.3889137661489
0.303,2187.501671155219,1775.482705623047,409.9471944329031
0.303,2249.809891764856,1724.3717089493546,432.525923868273
0.33,2142.2009238398446,1674.1611806071032,459.82458573147966
0.33,2126.4043549491385,1751.0136108147024,439.1061841273655
0.357,2000.508110312387,1702.7094042714536,432.3343841669539
0.357,2030.34512721255,1736.4101696252594,429.7396356925672
0.357,1937.1672244880351,1572.490151106362,431.32867698148505
0.357,1963.7140719157906,1726.4593110542407,423.6264516029066
0.386,2445.564709909791,1600.7461155540655,420.93665102109725
0.386,2121.0391847682044,1587.4588227568083,427.719990134881
0.414,2214.0784210122465,1701.984447782268,426.6135426678226
0.415,2186.6645934596622,1633.3601127656184,472.7857187532783
0.416,2336.0394091544667,1695.2534355934358,427.1336494028171
0.416,1961.7136500216682,1667.1947797725202,456.09197319663923
0.442,2077.3647677220124,1691.8314901355325,441.5043630742247
0.442,2156.385576023613,1762.391502128219,443.1575590197507
0.47,2048.368460601274,1697.3274739479539,418.3369789005957
0.47,2067.75203314904,1601.0405235790333,460.0376628247259
0.471,2130.0551343812176,1831.3377631672479,460.3686978302093
0.471,2130.4703685524128,1678.3196568813714,407.6204222232705
0.498,2307.4923334803275,1687.4473453864262,432.71634811004344
0.498,2068.139830096575,1615.7300116429478,401.1081698003041
0.526,2280.8573886347517,1725.709310818777,423.58367821186243
0.526,2208.042305010654,1705.505367308318,421.4615302668528
0.526,2200.956202535747,1733.1558484733005,406.1612475589375
0.526,2180.9881584182867,1717.8292479130623,396.69928386204367
0.555,2133.5875607710345,1761.975126840917,465.3089204254239
0.555,2164.352322615712,1648.0753458694683,413.3961670684515
0.582,2104.2825381508155,1725.7896020861053,411.11427948357465
0.582,1891.2541919822236,1849.142256219824,417.77562911465327
0.61,2207.074294247631,1783.6622946590505,472.39507664425844
0.61,2145.0017952648827,1839.3847868273774,452.35469207924154
0.61,2061.9208719675685,1780.8969678404778,411.7341235947325
0.611,2258.297959790807,1824.9960147509967,439.845434700187
0.638,2231.6278204236683,1747.6866002164295,434.19046994593566
0.638,2060.9770784977686,1759.5292759523395,460.41607399360095
0.639,2157.143232110542,1755.5717895331597,443.3368509398688
0.639,2278.3636714162876,1786.559966272915,417.0656024107312
0.665,2153.9431878182418,1810.6396639365278,441.34699950773734
0.665,1998.4594035435393,1811.3654911131566,392.84524864040543
0.693,2005.004377433361,1828.6881850814514,434.8408414121986
0.693,2137.9557294347414,1605.6014643544643,465.3712472203363
0.693,2332.504739375129,1626.3346366660119,391.516884574212
0.693,2182.090536167627,1730.5048444758386,442.4559667385282
0.72,2093.3850131975237,1751.3688702632503,427.88183510260666
0.72,2248.963391716155,1565.5254320269687,431.08897624542817
0.747,2152.2959678711463,1543.098503894298,381.9496981718844
0.747,2121.5564666789764,1713.4241277767437,458.4140635880615
0.748,2183.0695666221563,1859.2371049461847,486.58439570424997
0.748,2119.512493348322,1591.4070472445248,419.5798869274119
0.775,2126.510910997817,1797.861735823802,456.52529324520606
0.775,2207.8789630698056,1872.5753574023365,396.95578090523867
0.809,2192.76905242049,1853.3976538682375,493.8399527881072
0.809,2025.307972074923,1787.998143481776,418.53943240781655
0.829,2080.1601581782465,1795.6877500778096,386.3690685039997
0.829,2222.1952924601665,1603.219515637472,425.39910037441314
0.829,2290.659272124106,1691.3635614894138,381.2987929221104
0.83,2134.2377288563102,1703.2642027485788,437.1114180781972
0.85,2039.3201189075974,1614.589799607028,403.5086434669057
0.871,2060.0707372223114,1657.908762768648,447.91253703789715
0.872,2081.640053030472,1690.1200645650752,426.77815123412756
0.89,2058.046238616374,1803.3389018011246,439.59869711576806
0.891,2050.1916033070734,1716.2716214857837,422.7878043939619
0.891,2074.0296263818127,1621.002068294068,413.8047335103668
0.891,2068.162925285171,1758.1063438397841,421.0452776538831
0.911,2043.5516140789766,1652.2274750402523,395.54083058939125
0.911,2122.981854329888,1768.8308504135482,473.2646222676953
0.932,2042.619308409558,1773.4994465146087,404.28816219063754
0.932,2076.6729405630217,1715.1110996536377,432.0834331642029
0.953,2176.6219298505457,1783.9175147635706,411.9276328489509
0.953,2121.8048938527486,1767.4764249604016,460.5755586674801
0.975,2135.5486675871557,1718.0756311983691,423.99094744907813
0.975,2296.2279477534953,1716.9548618308193,408.32455908186444
0.996,2094.8864519424164,1791.3958699108643,421.59619962920556
0.996,2158.7389000469766,1620.9558410527077,403.61342274448003
1.018,2139.065219478137,1746.9138486685313,372.3308549702187
1.018,2252.1882684415264,1814.3088529653635,438.225317441069
1.038,1968.7064875434112,1764.6670170419197,425.64906325286915
1.038,2012.5772581078465,1780.4327922732114,422.7229296983217
1.058,2193.360671629427,1689.5225830563209,468.7650131709052
1.058,2262.207641543642,1745.8327471432074,472.5478126650934
