Time,25W,25X,25Y
0.008,1434.6894950138062,1929.6884386223091,4561.99133984867
0.008,1304.497381635913,2010.9112929093935,4409.287651637236
0.031,1384.856343883246,1855.8575346503744,4619.557781334691
0.031,1376.282577289687,1659.1682775605755,3630.525891428904
0.032,1287.7402283809963,1746.0444989728383,4145.379002028801
0.032,1250.9330031218701,1773.8364801440896,3513.891517464721
0.058,1264.1615276416417,1757.4986177508695,3760.8216609153405
0.058,1366.094970110202,1876.4385289895417,4554.95872232693
0.085,1466.6477192400444,1910.0566685562408,4287.698648124919
0.085,1298.1410459878973,1840.7876703448223,4126.787144095494
0.085,1449.9436563761317,1858.7273238979294,4478.066030656809
0.113,1343.2973827743845,1897.827804686569,4179.506268756637
0.113,1389.638544629562,1820.968108539522,4731.982997013278
0.14,1294.0882376344857,1889.972107063509,3832.2082851946634
0.14,1350.041405470638,1834.9865833972272,4096.321474355555
0.14,1346.5190319775372,1964.2185460979072,3587.7689744103573
0.167,1378.0561319434942,1816.6848652781407,4514.260971564772
0.168,1275.5286479807291,1879.3867944251347,3545.148963655892
0.194,1327.6157771531148,1732.6853463019588,4357.444078934838
0.194,1428.623539345599,1768.062614004921,4817.667040234942
0.194,1366.7188166788906,1784.4767677184593,4719.259108755878
0.194,1452.226375644399,1817.0341824641096,4406.521188295458
0.219,1459.953072539467,1918.227738508966,4534.463500269875
0.246,1435.4973177829993,2018.0970280475938,3890.2905722089904
0.246,1320.3609730532994,1703.9062183794495,4107.484049548622
0.247,1310.6532275625516,1926.2074506885904,3475.90495665413
0.247,1334.4250700741468,1869.014084903826,3722.838481064862
0.276,1499.6433837713648,1733.9810659968027,4559.731036924487
0.303,1506.2899336167707,1792.7720979100307,4411.762988512395
0.303,1328.076660791966,1930.2879633528294,4429.062113738466
0.303,1456.8783056680927,1869.9844598362483,4315.775504841142
0.303,1540.9413413318296,1956.5888377320239,4715.543608929681
0.33,1560.7296332680567,1766.7308466301906,4731.418688845803
0.33,1312.1038120377555,1803.7329983157006,4199.331877405836
0.357,1331.1904538774465,1813.4728696196496,3996.1221752788147
0.357,1353.466950085308,1895.6645307080257,3601.434143429747
0.357,1262.8524955423823,2010.591516907998,4085.1849018778025
0.357,1392.5581755723151,1965.7243541134744,4473.128429209487
0.386,1445.7370183871324,1829.0089097768318,4592.782202077186
0.386,1335.3294065511748,1881.874819539783,4239.896278984498
0.414,1434.7493761089906,1791.9555213203791,4345.984252200179
0.415,1421.8979044576251,1901.1280455559752,4472.7469301170795
0.416,1369.5005178548631,1906.562008906568,4493.407944354494
0.416,1395.6165619009898,1777.0817947726919,3907.4019060660194
0.442,1205.3906429874255,1912.0535598309666,4115.481267334527
0.442,1310.335081259261,1882.9570275415635,3176.2386229753038
0.47,1209.7072992742485,1948.723695985668,3500.903205496065
0.47,1407.2191717633184,2039.054575824725,4442.916316673734
0.471,1286.0412159366451,1866.2145480031886,4716.242675668694
0.471,1376.2486256565244,1804.6267010704491,4036.8889139832554
0.498,1424.3199065764616,1767.2172925186146,4295.8481298427405
0.498,1405.9339619472364,1635.6078267107189,4646.413408447874
0.526,1484.6505646784258,1926.6745759046673,4423.611012177872
0.526,1311.9359900432305,1819.6614856904766,4093.047892162789
0.526,1322.5007355232758,1770.3501121841143,4345.755529823375
0.526,1169.5763522088284,1698.5754818917615,3787.921196881729
0.555,1306.06281574601,1987.841708059596,3714.860901272622
0.555,1214.2022056091887,1743.0932830258346,4044.856472599389
0.582,1333.9356307077776,1907.9621797316406,4035.5473486437113
0.582,1429.0167801678176,1764.720278806551,4454.839553256884
0.61,1280.0157236622763,1725.5105095429726,4360.773038329669
0.61,1488.7182595219206,1747.4636735991762,4291.6196810643405
0.61,1322.8513145707466,1703.6865725253683,4457.561107418128
0.611,1216.7274913142974,1972.8844893382588,3976.0246540090525
0.638,1262.2008494995744,1909.6507530758895,3984.9584417925425
0.638,1314.8528591051456,1921.8271152992666,3679.3945564063965
0.639,1235.512956961109,1944.2852706632311,3789.8455363178946
0.639,1325.5237387746272,1765.985468263938,4392.2652139957445
0.665,1389.901887394638,1711.2061584815713,4061.3273622370875
0.665,1417.0621748225756,1808.8086281785918,4653.669810593227
0.693,1464.1135193917335,1706.37888645587,4124.630138908006
0.693,1430.6336348596649,1959.093825467471,4537.892073262739
0.693,1275.4447479184973,1844.9971557521646,4411.041138951345
0.693,1215.092377450184,1888.8273100015347,4106.2666845156955
0.72,1199.2417405035465,1813.2256655601307,4260.476237043323
0.72,1252.7523757477675,1760.424749585206,3789.8523136456038
0.747,1335.6475293717012,1770.226296677967,3708.034175066007
