Time,25W,25X,25Y
0.008,2100.7567318310007,1684.0455777153527,3292.257252370893
0.008,2100.672662997167,1683.8753234167837,3290.5395200429916
0.031,2112.7018335092603,1688.0038653392423,3809.166499243281
0.031,2112.5996926680227,1687.8750508179567,3808.0896972076453
0.032,2105.7476842166097,1686.98749557689,4042.5701456231463
0.032,2105.6291012273687,1686.9025803319032,4042.185137486796
0.058,2114.7070681343016,1678.0130557086898,4073.0464796386045
0.058,2114.57413131348,1677.9733730760083,4073.381926477605
0.085,2099.7934673058303,1682.963582793505,3749.418811357612
0.085,2099.64867101367,1682.9693315879192,3750.4808049279277
0.085,2095.819721459502,1684.9304581337178,3471.5507550945335
0.113,2095.6659011752654,1684.980721011733,3473.3230851628755
0.113,2098.8070570304876,1690.8768286293325,3822.322575076227
0.14,2098.6473138001747,1690.9696162578666,3824.7676078489776
0.14,2100.798110780125,1688.8673137735,4027.9007906741676
0.14,2100.635727245031,1688.9996333074348,4030.9609202135844
0.167,2104.7767984290986,1687.8543017908942,4071.385497769344
0.168,2104.6151489025096,1688.022247623573,4074.985118428256
0.194,2104.775162866299,1686.843551058707,3728.986830977756
0.194,2104.617620112158,1687.0424153251909,3733.034766586665
0.194,2102.7825554792357,1677.878154376055,3633.3138322866052
0.194,2102.6323969544214,1678.102554270271,3637.7061473777007
0.219,2105.761662308084,1684.8301816417973,3785.3663879729343
0.246,2105.6219786561533,1685.0742002645197,3789.9894979605897
0.246,2112.7179519317697,1679.8494285274612,3998.1524415843055
0.247,2112.5915604591487,1680.1067657197113,4002.886432721862
0.247,2108.731725858445,1688.797127909074,4070.753019328358
0.276,2108.6210915861247,1689.0612573501287,4075.4750855476195
0.303,2100.765790634851,1678.849629300488,3732.621376373124
0.303,2100.6729573028965,1679.113958064375,3737.209278845234
0.303,2101.7509290410567,1680.8412948033965,3638.2407095496405
0.303,2101.6774621563018,1681.0993215732299,3642.576165979098
0.33,2102.735478099517,1674.8788669394078,3726.9336971338043
0.33,2102.6824217666626,1675.1243351740561,3730.9056113461224
0.357,2100.735736947726,1686.8232683455242,3972.8345080360305
0.357,2100.703585820882,1687.0503108742855,3976.3419562170952
0.357,2108.682535804454,1690.813153778399,4071.5717804151113
0.357,2108.6712230518215,1691.016425561199,4074.52667822509
0.386,2098.7257395009788,1684.8589015188445,3696.890490459164
0.386,2098.734641202582,1685.0336976445828,3699.2198749433037
0.414,2105.678638917777,1686.8639909718743,3629.588643344738
0.415,2105.706594829085,1687.0063473668474,3631.2365148208414
0.416,2093.7338126500367,1684.8921276685764,3743.3356896620962
0.416,2093.779162776988,1684.9989024401277,3744.2643712666772
0.442,2100.68848436729,1674.964245756091,3956.5601866885854
0.442,2100.7491203253962,1675.033179591852,3956.7511726697926
0.47,2108.639016373772,1698.8555110818697,4073.304830265153
0.47,2108.712446059219,1698.8852656500046,4072.7591080598795
0.471,2102.665707284814,1683.9554444865992,3659.889165658941
0.471,2102.7491309825778,1683.9456183240504,3658.6270109156035
0.498,2105.6458062389925,1681.9857784481183,3665.207222457115
0.498,2105.73620194345,1681.9369003688823,3663.267480094037
0.526,2108.627470986103,1674.0475610924425,3731.1733713049302
0.526,2108.721686424621,1673.9610616830712,3728.6122490688354
0.526,2102.658811594959,1686.996116391965,3963.2132402532334
0.526,2102.7536602326472,1686.8742786742405,3960.1026537216185
0.555,2105.64364713179,1687.0126813001348,4074.8583082931127
0.555,2105.736005303129,1686.8585721189268,4071.28382753658
0.582,2106.640675600375,1689.0167604601256,3650.335712474459
0.582,2106.7275778646344,1688.8341445871163,3646.394170381994
0.61,2099.681837337321,1676.0988611690539,3647.4961600970614
0.61,2099.760567191984,1675.8921004902859,3643.29299043458
0.61,2104.6601298424193,1682.0770880364335,3708.259645189365
0.611,2104.7283030509075,1681.8510285055024,3703.9060246217555
0.638,2099.6928895857336,1681.090144534813,3974.86045748157
0.638,2099.7485275803087,1680.8499938172301,3970.470329906467
0.639,2106.6623590935283,1685.073790025797,4075.2963683557136
0.639,2106.703950194851,1684.8249889290194,4070.983431892802
0.665,2091.749924877453,1689.0546687787955,3621.6521215542093
0.665,2091.776471421947,1688.80275965361,3617.5268583842067
0.693,2091.7576515771702,1685.0755179300627,3672.246185175946
0.693,2091.768701451445,1684.8260132417074,3668.413012161452
0.693,2101.7119713188586,1673.1364007950215,3691.956765662944
0.693,2101.707632855935,1672.894654997539,3688.511379397261
0.72,2108.682053701218,1685.0664886189961,3991.122338318785
0.72,2108.6629933825807,1684.837576326809,3988.149322078869
0.747,2097.7477605764125,1701.9674681796312,4074.4097296686123
0.747,2097.7151834931374,1701.7560714208742,4071.980481882513
0.748,2108.695142801678,1678.0853208214523,3639.4502569954457
0.748,2108.650756341928,1677.8956278846242,3637.621291503105
0.775,2108.7002640973074,1685.0356807268586,3686.877507793242
0.775,2108.646225831517,1684.8712987835545,3685.6891656484167
0.809,2100.746896536334,1684.0272165385225,3693.509970427845
0.809,2100.685747750272,1683.8910998494985,3692.985571552218
0.829,2112.685292458205,1687.9908263288335,3979.636107219094
0.829,2112.619879223691,1687.8852214284202,3979.781558192052
0.829,2102.739709410527,1679.0230405346463,4072.8022256599675
0.83,2102.67309347067,1678.949449350476,4073.606087635062
0.85,2107.7124099490825,1677.0173933148242,3638.811847617219
0.871,2107.6477720176945,1676.9765547268876,3640.2458561278095
0.872,2104.7262456005715,1684.9582403878553,3680.2880054754783
0.89,2104.666783923941,1684.9501302748406,3682.308022051085
0.891,2103.7278231873192,1678.9741730206695,3697.9199928007934
0.891,2103.6766503829326,1678.9980223932853,3700.4673571708245
0.891,2108.695854658226,1686.9159667034655,3998.0690175159534
0.911,2108.65589592382,1686.9702970950652,4001.072259015402
0.911,2093.769370707077,1688.89080405618,4071.4760075505806
0.932,2093.7432664815256,1688.9734789405777,4074.852865419865
0.932,2106.6921170783785,1669.9791249094053,3615.76958197172
0.953,2106.682133133025,1670.087415553681,3619.4292767809116
0.953,2099.7207426573773,1681.9033965042331,3672.359687528942
0.975,2099.728690404719,1682.0340603486175,3676.2053801340144
0.975,2102.6952312897274,1682.888220095273,3692.197347447868
0.996,2102.7224008208614,1683.0375894898898,3696.128717837127
0.996,2098.706683454428,1685.86432231695,3988.600488746479
1.018,2098.7537914645754,1686.0284012414506,3992.5163649425585
1.018,2104.6645809497095,1685.858540830027,4071.2023144457057
1.038,2104.7317352922355,1686.0331070810607,4075.003281327086
1.038,2111.6173167310126,1673.9190302036532,3649.5609477177304
1.058,2111.7039988661145,1674.099740458647,3653.1518671958133
1.058,2104.6453394292703,1686.8481459062873,3678.5447320971684
1.059,2104.750405517736,1687.0306410609028,3681.8371094641475
1.059,2104.6367668551875,1673.918314801349,3698.6176708632665
1.08,2104.7584677043774,1674.098323030958,3701.531807197438
1.08,2105.623942260062,1684.8623404336295,3986.2894782170597
1.101,2105.7599617748733,1685.0357755436714,3988.756355338063
1.101,2112.58041756901,1681.8831030206272,4072.0757739880155
1.122,2112.7279288105206,1682.0461558225625,4074.0386263968144
1.122,2095.666691385057,1681.8896132510722,3675.4764821210747
1.145,2095.822428810335,1682.0388339243027,3676.89201940817
1.145,2103.6211781382835,1679.9083754193755,3681.7298666921515
1.164,2103.7815241018657,1680.0407450883642,3682.569119794172
1.164,2108.593602327266,1682.9017548144773,3640.2486388105235
1.185,2108.7546854829748,1683.0147448765567,3640.497413963849
1.185,2111.578708611997,1683.906884375133,4040.3969479607395
1.205,2111.736511476103,1683.9985024498183,4040.0558829511706
1.205,2105.613923863756,1685.9074562286721,4073.5107792082167
1.228,2105.7643964992303,1685.9762779546857,4072.5950072555634
1.228,2112.5816898097137,1680.94591747357,3691.8395603803256
1.229,2112.720866375188,1680.9911037458244,3690.3779974369045
1.229,2105.626163119959,1680.9578658571202,3674.19374880608
1.247,2105.7502779038946,1680.9791654633825,3672.228029911044
1.247,2098.6724089565328,1687.9323263069934,3610.768516346716
1.268,2098.7780084909923,1687.930064283616,3608.351615705687
1.268,2099.677492807583,1683.965180953626,4052.5991579810457
1.289,2099.761540728957,1683.9402333227138,4049.7937354002183
1.289,2104.662539179865,1681.9867177307387,4074.649872384836
1.332,2104.7225106746173,1681.940473599467,4071.5263953795597
1.332,2101.6913686688167,1681.0020402295343,3783.3458879286823
1.332,2101.725331607068,1680.936352518403,3779.9805840851463
1.333,2101.7048939541187,1684.989568921571,3666.0673972415307
1.354,2101.7115741657167,1684.906695236129,3662.5400951128295
1.354,2105.697424813465,1682.0132339840495,3570.630801436614
1.372,2105.6762533911747,1681.9157693484185,3567.022720322435
1.372,2108.6953085055875,1684.0087862347577,4036.1407007647504
1.393,2108.646449516143,1683.8995895615437,4032.5322501230344
1.394,2110.6981745828944,1686.997491964913,4074.9032208207536
1.394,2110.622532115655,1686.879608241595,4071.371868801559
1.394,2114.6896300637545,1687.9953150329452,3802.3008862898623
1.415,2114.5888341330465,1687.8718952586878,3798.9191540232982
1.415,2105.7494585282043,1684.0182595350082,3650.018306121773
1.435,2105.6258299525994,1683.892480443551,3646.851940032781
1.435,2105.7598032884434,1684.018261430175,3508.6471387141255
1.457,2105.616298280989,1683.8932469857045,3505.753507416204
1.457,2099.800508082696,1684.0167447117685,4010.7943831264265
1.479,2099.640643882905,1683.8954912676406,4008.221138538869
1.479,2110.7484525538353,1688.987088068378,4074.277742642037
