Time,25W,25X,25Y
0.008,2295.3572932457205,1219.7184444154175,2872.927013514339
0.008,1974.8141152924413,1591.6449825604723,3535.227603390651
0.031,1920.951499970056,1554.825095261199,3948.7621064622226
0.031,2343.7973569208875,1676.5595804549089,4623.262193011997
0.032,2123.2685328495013,1729.3780516147149,3762.3556019098123
0.032,2063.216782064057,1940.4494575616138,3826.243791432844
0.058,2426.4791054074876,1683.7532390416932,3793.577270063819
0.058,2071.818688011626,1710.2151184676648,3505.496232061359
0.085,2401.3947360750412,1609.0652661897577,4408.815443329568
0.085,1802.7596277043006,1975.9297256823997,3463.555162668032
0.085,2009.0979284140349,1771.5446022959286,3344.349404784527
0.113,2152.3433350953287,1719.9524881104098,4651.932421012684
0.113,1883.8881972745926,1744.8429812701768,4083.362028593993
0.14,1976.987414852793,1707.9220087200724,4172.837575914545
0.14,2260.707189300043,1974.5123954132453,4302.147389685864
0.14,2043.6250005155362,2111.0145834061987,3255.575400522726
0.167,2502.285666597911,1765.1011226967512,3885.8195687692273
0.168,1931.4104867123604,1792.4938906947148,4124.740160392601
0.194,2360.5577939778595,1395.6305603149603,3779.277111229486
0.194,2437.5250117020996,1474.048651574563,2829.061279639295
0.194,2293.008015218251,1779.5011439433886,3138.051823781065
0.194,2068.6565072378976,1906.5630924216634,3832.5822643892348
0.219,2167.987479645459,1837.3808283928906,3700.8457000141198
0.246,2323.536409111458,1917.6760578621331,4606.118589114425
0.246,1840.7163231635259,1778.6587191685912,3102.7494520575597
0.247,2103.2835093795325,1784.0508542082105,3193.5563268808537
0.247,2120.216770588232,1467.3782758404545,3211.3417496762067
0.276,2174.355167471195,1771.1227423712407,3502.271576841434
0.303,2236.7689791024372,1795.374308086402,4117.048671005721
0.303,1643.2966518586352,1444.151338207432,3808.385156284645
0.303,2664.0169908254165,1778.1934137603705,3724.7465262311907
0.303,2403.8488926922655,1759.2026021872664,3676.5604424038766
0.33,2582.382132035812,1553.432323830125,4767.8472401194
0.33,2089.6658344765215,2037.1121066247351,3207.1847304413045
0.357,1993.6667757021205,1807.696044556786,4502.327569883306
0.357,2188.0489668929804,1730.9477880917439,4205.336303016803
0.357,2188.524426018601,1461.02314944116,3964.3758228416004
0.357,2385.480683632542,1904.7009372285877,3606.7850617091276
0.386,2452.8777842088566,1683.4349934278932,4266.619509762602
0.386,2174.163359042558,1684.5477859475793,4532.72232550889
0.414,2423.9242480731714,1530.041750998357,3076.183209041381
0.415,2151.7580182471697,1645.0005014285175,3260.2613091180933
0.416,2145.276406260391,1932.132137862875,2898.8339068306295
0.416,2083.3595388470526,1593.7373264976063,4540.189965818907
0.442,2044.3204304000376,1688.383040308059,4362.8964248917255
0.442,1886.7769502545877,1799.365645296574,3733.3338330951733
0.47,1974.569900707948,1315.391414120676,4030.328967341593
0.47,2169.889799753543,1846.368356386637,3823.8544483867336
0.471,2193.911132490679,1532.4630322636494,3876.534181955814
0.471,1755.219220306381,1460.0655067826035,4496.033101300258
0.498,2086.386594341297,1425.4924746655643,4120.0517685715395
0.498,2062.1186580970216,1836.0901327460576,3872.7129554557546
0.526,2490.947794957263,1347.148178248241,3626.820713612817
0.526,2283.850237707602,1393.620160702261,3452.572265361021
0.526,2041.1249217703296,1753.8324693009774,3461.6612286453537
0.526,2218.4804009582094,1638.0707118603075,3731.398016620711
0.555,2277.178483184397,1979.2660545602776,3566.702517660285
0.555,1804.0299659021257,1388.0643256790454,4372.414510693875
0.582,2125.682993417376,2030.333098241499,3689.8124236003837
0.582,2427.7814067661593,1986.3047153727855,2971.53325212705
0.61,1928.1410548190604,1967.1511128369439,3380.7366852473224
0.61,2108.318245301464,1625.846472153132,4219.848912302529
0.61,2157.133460246468,1433.2515196236443,4705.414861790709
0.611,1788.978646593685,1877.6842687789558,4605.972485636375
0.638,1945.267400575411,1794.0599590250968,4500.819480121147
0.638,1775.4845867743816,1589.420185129982,3394.7064041129033
0.639,2104.542727503305,1750.6976140324855,3517.422795305995
0.639,2361.5231925217768,1856.5408786592977,3161.269866931087
0.665,2188.169260589539,1635.7033842290439,4030.1088446443237
0.665,2365.052092191351,1782.8382684575643,4446.820711342813
0.693,2598.543400672449,1707.1752010145829,4184.178270685954
0.693,2316.070684261715,1588.608955623006,4059.92871019704
0.693,1992.1711041512226,1762.0581524386907,3416.237998624123
0.693,1971.8838483776174,1661.0233060250375,3739.335747206032
0.72,1883.4663387336093,1633.0556022046499,3261.0369168137645
0.72,2107.3086864410634,1933.5131927063717,3072.352501431462
0.747,2398.699020516658,1839.5515385255467,3174.6573433242174
0.747,1766.1638862654586,1571.4923424084288,3453.722553554564
0.748,2054.437251941008,1811.6941632296619,4181.149190715312
0.748,1927.747064667123,1747.377444771746,3241.7489646858735
0.775,2011.1522945443392,1431.0218912232017,3521.535609030708
0.775,2200.7798805561824,1412.0760499072999,4207.851525801819
0.809,2334.7318815353738,1572.10416042662,4285.559987144559
0.809,2018.1080603478267,1678.2270609317857,4295.932900213588
0.829,2087.259019231793,1638.923796190725,3729.855495689263
0.829,2462.742390937201,1804.4772509761751,4075.278615398751
0.829,2568.2431365850075,1357.3358944480644,3785.2058483282954
0.83,1412.541790207359,1865.3950039107247,3301.362159322899
0.85,2363.110122282488,1532.013792725577,3978.834308283125
