Time,25W,25X,25Y
0.008,2179.267928520778,1733.3743843067407,4116.867009245509
0.008,2152.601178923853,1821.4340108946676,4024.045296991701
0.031,2092.700520209899,1671.7500227297353,4168.994072136152
0.031,2113.913612959518,1556.4932904260802,3892.22881976964
0.032,2154.6242943731404,1655.6239562388562,3601.9407399536267
0.032,2094.9833868957717,1858.4901829086775,3463.198193132198
0.058,2155.243588008023,1834.409945278594,3343.4485078755215
0.058,2259.302243517237,1817.2604277751652,3090.024515777734
0.085,2273.3308291052754,1676.768980077314,3831.877747540373
0.085,2259.015939922768,1755.7301278331408,4046.3389020316995
0.085,2033.3946752941981,1733.9776996978346,3826.8066673932494
0.113,2156.145579771106,1657.9102527620405,4033.1463600882907
0.113,2174.2125481196813,1760.170104495377,3930.2032980035005
0.14,2075.666043922269,1750.926930532968,4078.0898512276653
0.14,2168.17723004404,1690.0218248175013,3472.6998736809833
0.14,2158.0728718262235,1733.623341714636,3667.0264474457304
0.167,2037.157786214787,1729.104922488779,3358.4409176060194
0.168,2162.448376414188,1855.060480669788,3300.7319455821003
0.194,2016.309498417905,1642.530957725798,4098.272664935326
0.194,2175.6004484087343,1587.0609319305536,4148.001624092143
0.194,2114.312135495946,1703.8241722460127,3991.1743862432872
0.194,2181.09842638412,1767.1320478888167,4021.8259553553935
0.219,2105.835712017669,1663.1047314076975,4105.193340166766
0.246,2094.8042627706354,1677.1908364819978,4096.603725332311
0.246,2164.1132134799973,1673.842188113257,3809.715166968279
0.247,2102.0157665968977,1765.7294527585752,3579.3498166889212
0.247,2080.9887935055704,1854.1192934712367,3127.3610113730006
0.276,2151.1609399040167,1791.5167920269178,3316.0086665801105
0.303,2081.7925647805155,1727.5424248054762,4169.760318423539
0.303,2149.2743728692435,1757.8476708015476,4099.688288523088
0.303,2111.056722271332,1785.7761197827053,3963.997106761445
0.303,2112.9680629928193,1640.6956798791575,4114.56920194969
0.33,2124.4164935778895,1607.42860179217,3840.5063458282107
0.33,2085.7334948521984,1802.8205379224246,3964.066090689687
0.357,2195.828462706175,1657.125275390684,3645.156394073836
0.357,2116.992139866324,1806.6236328197483,3460.1285625654177
0.357,2142.6652388077805,1686.5552839719467,3295.6006605264033
0.357,2097.933050818265,1790.9717301163919,3180.916285843549
0.386,2132.4348191650106,1650.1512787238266,4012.3200949334155
0.386,2247.559231099375,1710.4042504804015,4112.525946087078
0.414,2034.61358562665,1749.8146955636312,3964.6683471933397
0.415,2153.9585190167563,1818.699161693619,4278.585296926406
0.416,2100.950615593932,1741.182674370902,4117.006725720361
0.416,2021.6786664045092,1691.8505235948542,4002.1518344203764
0.442,2169.1243364218317,1768.741154348202,3755.4395328049254
0.442,2083.247722156227,1724.4860009604593,3595.0420560648054
0.47,2108.5454813213696,1717.8299691754037,3309.6580341799595
0.47,2181.8234769111405,1599.706687104861,3233.181633645766
0.471,2110.6118599790484,1779.8357232993606,3875.590312499166
0.471,2194.967217246645,1617.3307255772938,4140.64426280035
0.498,2068.2956518106585,1705.9886496973122,4148.389211315743
0.498,2144.7262529297254,1825.6554642643252,4059.629029665609
0.526,2087.63024214904,1712.77335123542,3923.323364197353
0.526,2237.498316774722,1767.9227457381405,3857.120622524297
0.526,2243.057733623499,1766.5773673052581,3672.328453792975
0.526,2227.803421991377,1766.4757648836714,3589.5551379217145
0.555,2067.051562430546,1791.3624985433567,3093.1158013742142
0.555,2199.904065067561,1753.799306589845,3102.755255605353
0.582,2034.283706383521,1753.3373942179458,3901.900550569676
0.582,2217.011303705144,1787.7475677427801,4018.485757887478
0.61,2073.4859658601695,1670.6184215225533,4042.354803501231
0.61,2058.55835696917,1725.52985995315,3893.981511774994
0.61,2055.366444286184,1859.177495220029,3892.776839929259
0.611,2225.910753991396,1747.9879827435343,4061.717045527258
0.638,2106.8807326282777,1824.8043560356405,3691.375051874402
0.638,1956.305751053265,1715.8216663937073,3490.0142480101026
0.639,2193.9171867340947,1813.3427381266606,3056.9542204119184
0.639,2206.3894906570827,1710.2810536562413,3256.134228909854
0.665,2227.1005160373506,1698.3054663157295,4033.506129339785
0.665,2139.383864368024,1765.5735782922593,4156.0844879557535
0.693,2197.295386734526,1744.5894583431507,3914.3504474988094
0.693,2042.0785330782157,1738.4967100275162,3969.5048845609126
0.693,2106.1200821714483,1759.118042738612,4095.785686765391
0.693,2191.8705827153076,1684.2950183977462,4042.5334609987326
0.72,2123.4006780132704,1739.130749408096,3682.441943140044
0.72,2157.516948922328,1724.1939851435673,3662.718631543799
0.747,2042.8424942969248,1651.2366071264714,3066.007958551564
0.747,2166.2670679317407,1737.1588480067803,3067.4780669608313
0.748,2105.2365457578235,1823.5057844482144,4071.7883512293215
0.748,2043.1657553550451,1728.235874703386,4038.0844057754507
0.775,2164.4386313513664,1781.080421943255,3993.074029845949
0.775,2271.3041454582867,1779.8425768757177,3916.244795191386
0.809,2041.9046094523096,1761.1189834121587,3982.3828969349483
0.809,2083.553774814797,1686.7999766122543,4035.268032144818
0.829,2146.2506102882353,1763.4360358845404,3795.8685118263797
0.829,2213.9818632552838,1729.193994271668,3848.1024534611956
0.829,2123.576665731542,1689.453121178131,3060.866428904168
0.83,2070.3367534140016,1690.6798754456856,3186.0801578620712
0.85,2264.1308573797583,1699.2685812353454,4013.5188101319395
0.871,2095.9147816485947,1751.231653073623,4127.732101709821
0.872,2054.1724885431445,1663.1867593787183,4063.89269661813
0.89,2310.633089262476,1561.5538921184902,3927.998534724122
0.891,2072.9454359695546,1766.5342859338693,4077.453643435635
0.891,2155.8446367242127,1799.1721758361675,4159.409868401684
0.891,2062.174698550377,1697.3384137940147,3649.8254093928085
0.911,2130.3024030711626,1723.1357370139856,3750.9116494440177
0.911,1995.3323710043653,1707.853632826007,3134.930098538605
0.932,2076.7552060614244,1827.481200105062,3035.703849265006
0.932,2068.8659432748113,1597.2663338473653,4033.9385113212243
0.953,2117.753524209686,1694.6999120094151,4376.559872931496
0.953,2165.756025190011,1719.9317075429506,4089.67751369145
0.975,2082.6783433448177,1740.2616834958974,3925.19797390832
0.975,2117.2408225598247,1686.9663011942932,4116.374675135931
0.996,2081.678800522833,1789.2949435969986,3884.5081946069745
0.996,2102.71491921242,1796.08632478064,3765.384287995028
1.018,2226.1957091413024,1682.9677844193784,3472.715846163442
1.018,2114.2971133147153,1783.3982665948502,2969.4901681257193
1.038,2041.9441628541535,1842.9910267301677,2990.543489032655
1.038,2191.36872609691,1759.9566921920407,3948.8575653806115
1.058,2047.4154218538974,1713.6094892140939,4050.061716000862
1.058,2095.4534511315214,1726.8285741535922,4012.129785929908
1.059,2098.7663378178822,1799.436846638213,4148.062045563284
1.059,2158.0235483505235,1705.05903610573,3919.9689454467716
1.08,2109.222009301947,1834.9812851300596,3545.7989046032667
1.08,2084.1997246204073,1741.2261930890493,3683.897955083752
1.101,2125.4206353071527,1767.3743966125587,2805.66286313439
1.101,2254.119616874794,1776.9153182050893,2831.5239787171004
1.122,2061.0315082905263,1711.6914406027502,4185.939793298881
1.122,2084.5124048443995,1744.164740533075,4057.004697657648
1.145,2211.652347422081,1734.649220620918,4158.950230704019
1.145,2214.383479589422,1758.0470282634096,4127.939696090919
1.164,2291.839181918404,1748.467658950774,4001.699957606738
1.164,2163.725060448416,1769.6214287082016,3764.4288883864956
1.185,2185.813618994267,1787.5235989130713,3977.1376583717692
1.185,2064.473624432215,1794.673266684876,3258.0674505727225
1.205,2151.6444336057652,1691.8785489678928,3039.315305432383
1.205,1998.9186483911035,1726.0244362105122,4015.187575912619
1.228,2138.396544506737,1765.7452178019166,4148.485849234738
1.228,2158.651942382585,1725.3177933040647,3970.4200735445593
1.229,2090.9937549756155,1815.3655497092413,3989.76799860596
1.229,2150.7146486351166,1690.1481978902095,4183.748482660272
1.247,2078.6076473855787,1773.120453400838,3934.9487910215094
1.247,2143.066909354989,1700.1508830433638,3632.6406857113193
1.268,2223.2684567798924,1700.2379970191032,3859.2476600352657
1.268,2125.426151350526,1719.0097865498524,3349.690478843977
1.289,2166.1234351790454,1778.794284207387,3576.773907848837
1.289,2187.2771119301074,1691.0601357243302,3615.960765771812
1.332,2157.4981925548955,1679.3590619368617,3872.099789703233
1.332,2132.695655857187,1782.1152320471253,3886.3625126925963
1.332,2161.0404106677515,1713.234931701146,4085.742786108618
1.333,2078.604453869881,1753.1325724865321,3985.4593218914033
1.354,2093.346176098632,1802.4007259852292,3524.2678408685506
1.354,2109.7774749715973,1691.215946347807,3390.3224261636783
1.372,2102.4584607054735,1684.5103286708547,3835.8115034183643
1.372,2092.394871225661,1923.5752401460488,3519.4008863326235
1.393,2135.1426936804405,1743.5751942506051,3839.1253101396765
1.394,2071.1091094749213,1735.6405671865093,4036.927606296932
1.394,2140.62550055375,1603.1640284367995,3943.8338730117885
1.394,2252.7250101580266,1775.3242156315214,3933.210458748256
1.415,2009.2476579649424,1731.309483385399,4090.7940566173615
1.415,1998.469965272034,1680.5553586554906,3627.774797705088
1.435,2146.975515152233,1799.4581853294194,3745.8080433293
1.435,2230.5687803387714,1629.2256585918199,3518.447225458023
1.457,2088.7343778100812,1746.9064496533938,3862.348776830459
1.457,2074.3218849007903,1645.152888420257,3691.7484454084365
1.479,2123.274857217388,1728.3392067531724,3687.8932922853996
1.479,2078.246274890963,1804.078231768302,3858.7022500903317
1.502,2139.947164882153,1563.8309825332678,3997.0698869062635
1.502,2125.2255443887534,1706.7724722581581,4168.246413748648
1.522,2064.4764976370466,1809.9457086398374,3643.699904697678
1.522,2209.763387485581,1829.6503546392,3573.9269712714704
1.542,2100.4199513988833,1771.0476733392547,3624.576090623091
1.543,2180.85279203591,1771.5630426093721,3673.917349796814
1.563,2271.903884913955,1728.5365135619836,3714.7422103027457
1.563,2163.071919824248,1844.5368689055451,3746.1315315207844
