Time,25W,25X,25Y
0.008,1212,1730,3861
0.008,1212,1730,3861
0.031,1254,1729,4040
0.031,1254,1729,4040
0.032,1329,1738,4095
0.032,1329,1738,4095
0.058,1200,1729,3731
0.058,1200,1729,3731
0.085,1188,1733,3725
0.085,1188,1733,3725
0.085,1217,1712,3845
0.113,1261,1734,4026
0.113,1261,1734,4026
0.14,1323,1722,4095
0.14,1323,1722,4095
0.14,1184,1731,3746
0.167,1184,1731,3746
0.168,1192,1723,3719
0.194,1192,1723,3719
0.194,1228,1742,3825
0.194,1228,1742,3825
0.194,1249,1730,3996
0.219,1249,1730,3996
0.246,1358,1737,4095
0.246,1358,1737,4095
0.247,1169,1730,3680
0.247,1169,1730,3680
0.276,1178,1722,3715
0.303,1178,1722,3715
0.303,1199,1725,3838
0.303,1199,1725,3838
0.303,1238,1732,4019
0.33,1359,1734,4095
0.33,1359,1734,4095
0.357,1179,1715,3682
0.357,1179,1715,3682
0.357,1172,1723,3730
0.357,1172,1723,3730
0.386,1224,1747,3846
0.386,1221,1723,4014
0.414,1221,1723,4014
0.415,1346,1730,4095
0.416,1346,1730,4095
0.416,1144,1724,3651
0.442,1144,1724,3651
0.442,1197,1723,3753
0.47,1197,1723,3753
0.47,1179,1733,3811
0.471,1179,1733,3811
0.471,1254,1730,4017
0.498,1254,1730,4017
0.498,1355,1726,4095
0.526,1355,1726,4095
0.526,1184,1721,3670
0.526,1184,1721,3670
0.526,1173,1731,3752
0.555,1173,1731,3752
0.555,1203,1713,3813
0.582,1203,1713,3813
0.582,1239,1732,4035
0.61,1239,1732,4035
0.61,1334,1732,4095
0.61,1334,1732,4095
0.611,1151,1736,3701
0.638,1151,1736,3701
0.638,1202,1728,3751
0.639,1202,1728,3751
0.639,1190,1733,3759
0.665,1190,1733,3759
0.665,1256,1726,4043
0.693,1256,1726,4043
0.693,1316,1725,4095
0.693,1316,1725,4095
0.693,1212,1727,3741
0.72,1212,1727,3741
0.72,1196,1727,3745
0.747,1196,1727,3745
0.747,1230,1728,3712
0.748,1230,1728,3712
0.748,1270,1719,4064
0.775,1270,1719,4064
0.775,1344,1722,4095
0.809,1344,1722,4095
0.809,1194,1722,3800
0.829,1194,1722,3800
0.829,1184,1728,3725
0.829,1184,1728,3725
0.83,1182,1732,3722
0.85,1182,1732,3722
0.871,1265,1729,4075
0.872,1265,1729,4075
0.89,1328,1725,4095
0.891,1328,1725,4095
0.891,1199,1725,3815
0.891,1199,1725,3815
0.911,1183,1727,3714
0.911,1183,1727,3714
0.932,1180,1729,3651
0.932,1180,1729,3651
0.953,1250,1723,4050
0.953,1250,1723,4050
0.975,1291,1738,4095
0.975,1291,1738,4095
0.996,1191,1721,3839
0.996,1191,1721,3839
1.018,1193,1725,3670
1.018,1193,1725,3670
1.038,1174,1725,3565
1.038,1174,1725,3565
1.058,1274,1727,4057
1.058,1274,1727,4057
1.059,1264,1726,4095
1.059,1264,1726,4095
1.08,1213,1717,3894
1.08,1213,1717,3894
1.101,1156,1725,3617
1.101,1156,1725,3617
1.122,1138,1732,3482
1.122,1138,1732,3482
1.145,1259,1731,4042
1.145,1259,1731,4042
1.164,1311,1724,4095
1.164,1311,1724,4095
1.185,1226,1726,3896
1.185,1226,1726,3896
1.205,1148,1719,3605
1.205,1148,1719,3605
1.228,1119,1727,3466
1.228,1119,1727,3466
1.229,1219,1730,4012
1.229,1219,1730,4012
1.247,1337,1725,4095
1.247,1337,1725,4095
1.268,1192,1735,3922
1.268,1192,1735,3922
1.289,1158,1728,3624
1.289,1158,1728,3624
1.332,1131,1725,3449
1.332,1131,1725,3449
1.332,1221,1728,3980
1.333,1221,1728,3980
1.354,1343,1727,4095
1.354,1343,1727,4095
1.372,1223,1722,3930
1.372,1223,1722,3930
1.393,1174,1726,3639
1.394,1174,1726,3639
1.394,1128,1724,3348
1.394,1128,1724,3348
1.415,1240,1722,3984
1.415,1240,1722,3984
1.435,1345,1720,4095
1.435,1345,1720,4095
1.457,1235,1752,3941
1.457,1235,1752,3941
1.479,1176,1723,3639
1.479,1176,1723,3639
1.502,1101,1721,3319
1.502,1101,1721,3319
1.522,1261,1730,3967
1.522,1350,1727,4095
1.542,1261,1730,3967
1.543,1350,1727,4095
1.563,1244,1733,3957
1.563,1244,1733,3957
1.563,1187,1727,3666
1.563,1187,1727,3666
1.584,1116,1733,3257
1.584,1116,1733,3257
1.605,1258,1728,3992
1.605,1258,1728,3992
1.627,1335,1731,4095
1.627,1335,1731,4095
1.647,1227,1720,3949
1.647,1227,1720,3949
1.668,1175,1722,3663
1.668,1175,1722,3663
1.691,1099,1719,3239
1.691,1099,1719,3239
1.711,1240,1730,3983
1.711,1240,1730,3983
1.731,1323,1726,4095
1.731,1323,1726,4095
1.732,1247,1728,3968
1.732,1247,1728,3968
1.752,1183,1726,3663
1.752,1183,1726,3663
1.772,1117,1728,3268
1.772,1117,1728,3268
1.794,1233,1728,3976
1.794,1233,1728,3976
1.815,1287,1738,4095
1.815,1287,1738,4095
1.837,1232,1730,3923
1.837,1232,1730,3923
1.859,1179,1718,3688
1.859,1179,1718,3688
1.88,1105,1720,3239
1.88,1105,1720,3239
1.899,1236,1745,3984
1.899,1236,1745,3984
1.9,1259,1719,4086
1.9,1259,1719,4086
1.921,1252,1720,3965
1.921,1252,1720,3965
1.941,1188,1722,3695
1.941,1188,1722,3695
1.962,1108,1722,3261
1.962,1108,1722,3261
2.004,1231,1723,3996
2.005,1231,1723,3996
2.005,1255,1725,4073
2.005,1255,1725,4073
2.025,1260,1719,3967
2.025,1260,1719,3967
2.045,1185,1725,3712
2.045,1185,1725,3712
2.066,1066,1719,3260
2.066,1066,1719,3260
2.066,1257,1719,3999
2.066,1257,1719,3999
2.087,1248,1730,4053
2.087,1248,1730,4053
2.107,1233,1729,3939
2.107,1196,1728,3723
2.128,1196,1728,3723
2.129,1116,1735,3255
2.15,1116,1735,3255
2.15,1252,1727,4010
2.171,1252,1727,4010
2.171,1244,1722,4038
2.192,1244,1722,4038
2.192,1224,1732,3967
2.216,1193,1724,3751
2.216,1224,1732,3967
2.234,1193,1724,3751
2.234,1087,1719,3235
2.234,1087,1719,3235
2.234,1235,1727,4030
2.255,1235,1727,4030
2.255,1249,1728,4048
2.276,1249,1728,4048
