Time,25W,25X,25Y
0.008,2105.7998887153194,1684.6695043023024,3398.5832784900094
0.008,2107.1884633932364,1682.339552000624,3492.695862347562
0.031,2110.8368356439146,1683.635356657666,3987.192548725993
0.031,2113.125002339437,1686.4075615265353,4201.696719345237
0.032,2112.9245857951823,1687.5306092027165,3992.562226667007
0.032,2103.016427531768,1692.5503874896788,3911.2291544011755
0.058,2103.049426533608,1693.3500982261758,3730.6160353245427
0.058,2113.8807744528362,1688.7663475291038,3598.3150782060275
0.085,2117.1897878355853,1681.1027762979475,3379.483824435717
0.085,2116.742181944929,1681.039187578188,3483.5395257759164
0.085,2111.3200592508256,1685.811822594906,4066.028422956695
0.113,2110.6265558993887,1686.33957891292,4108.407502740381
0.113,2107.41523806352,1684.511572341064,4096.574121840825
0.14,2106.556832443367,1685.6296369285415,4079.564635949295
0.14,2092.455527025177,1678.2417607124733,3817.7006335767396
0.14,2091.548740182754,1679.8696288990184,3752.0248978401505
0.167,2107.43000906768,1696.040208543611,3621.9590812841698
0.168,2111.6078637296837,1682.0255090623382,3278.542198367313
0.194,2112.3387067980075,1679.9354714161855,3384.38626604701
0.194,2108.7285567650706,1686.0756838707869,4040.23091377205
0.194,2109.192648934829,1683.9410353561093,4147.735450627114
0.194,2106.894894365433,1689.0155276992732,4046.4904046149795
0.219,2118.0119501648064,1680.0523508090744,3843.39735113157
0.246,2118.0834637495277,1681.8586199575136,3766.2304932556412
0.246,2113.822288038007,1691.2474110179867,3621.0428593580896
0.247,2114.2674477034893,1692.634362932195,3578.3400972015907
0.247,2102.6504562042533,1687.4908278341309,3479.068141318093
0.276,2103.4212227417684,1688.3824154579129,3474.2999983492878
0.303,2108.519831156047,1697.7406030911895,4079.954255999353
0.303,2109.524617463634,1698.1450689570313,4109.820234058889
0.303,2111.4465822793995,1692.9562048889227,4069.6622186335326
0.303,2132.566066274526,1675.959144957169,3832.3856399425936
0.33,2131.4372887380946,1676.1062677576642,3768.170044396234
0.33,2112.544126908904,1706.8491044775526,3630.617776204809
0.357,2111.48833926981,1707.1743103175527,3559.2248085902825
0.357,2103.4671564878795,1691.8228027597006,3478.401855757302
0.357,2102.587142836191,1692.1612892811336,3412.337686428872
0.357,2110.3512930424204,1690.8707527490878,4122.774682437661
0.386,2109.714839424936,1691.0844918515465,4072.0026424131274
0.386,2104.21719797759,1687.9690025220264,4112.614468438433
0.414,2103.8499365043385,1687.9730593940494,4083.079151301531
0.415,2106.0862219655023,1690.0849526759691,3767.20727261551
0.416,2105.9721552748174,1689.8611591676943,3760.2533357864218
0.416,2103.976727129325,1690.1848115549005,3589.781907211139
0.442,2104.0657730646794,1689.7803182142552,3602.4842238349984
0.442,2094.901225715961,1691.2410473673858,3376.1033806447763
0.47,2095.1218857283393,1690.7525951421403,3402.3526286958
0.47,2111.8648018254803,1687.238220426336,4067.1960073803743
0.471,2112.1392523543464,1686.7860574428596,4099.255962737225
0.471,2108.865012707516,1685.1759584803272,4079.236204798384
0.498,2109.123671873065,1684.8735025770054,4109.426929342591
0.498,2111.8931764086874,1695.068486757432,3760.618736026164
0.526,2112.086118917916,1694.9946302587666,3782.790020551507
0.526,2108.936700057804,1688.9408956538518,3598.166269633312
0.526,2109.0400819631586,1689.1211053839359,3608.6999012735178
0.526,2106.9819335253433,1688.8230501518549,3452.4270915583525
0.555,2106.9986635618907,1689.2233174237795,3450.624615135179
0.555,2116.0169728789847,1686.7425555691605,4099.993833224049
0.582,2115.97200556857,1687.277283128876,4087.8413188904046
0.582,2103.0338901352525,1690.7183819933498,4103.778437833792
0.61,2102.9654997793214,1691.2701327020927,4085.2032015032846
0.61,2103.0300115735536,1697.7565759150045,3803.193563400473
0.61,2102.979064228054,1698.202963103469,3783.0163851246066
0.611,2103.0080713253788,1689.8489949322823,3603.2141086447205
0.638,2103.0075475702897,1690.09045494472,3586.0398780369683
0.638,2112.9752870966267,1692.975304201187,3461.319068943287
0.639,2113.042112091667,1692.9573905901234,3450.595758044453
0.639,2110.9415988749474,1692.107730981946,4097.337865130009
0.665,2111.0722780674296,1691.8329118884624,4094.755948568302
0.665,2102.917446520021,1688.217454451635,4093.242039272978
0.693,2103.0882145752266,1687.743858270811,4098.559949943435
0.693,2106.911519712696,1685.2811508733903,3802.9300571888048
0.693,2107.0828449249334,1684.7087179301377,3814.216306495455
0.693,2108.928891366658,1690.286197591031,3586.0494517460097
0.72,2109.0533935018375,1689.733565965333,3600.24874394576
0.72,2113.9698552131263,1697.2333635660061,3369.8884056997354
0.747,2114.0021173494133,1696.8108932689477,3383.5631803784186
0.747,2116.029651994321,1687.1364022170962,4089.351445452807
0.748,2115.936115040634,1686.9215585811482,4099.430357334139
0.748,2114.099113383845,1688.0186776817263,4092.0153086056916
