Time,25W,25X,25Y
0.008,1185.344614751471,1653.4730175271425,3562.616358332569
0.008,1227.34047379335,1647.9050193776407,3651.017524163898
0.031,1076.6657962411373,1655.2481871288198,3458.5138657416774
0.031,1203.5943808771913,1571.3344033070257,3321.6371721095193
0.032,1228.8310916693988,1615.2848320502355,3790.600837212109
0.032,1304.9134165397509,1635.728359505145,4059.5215833838847
0.058,1376.6992636586679,1443.4548386440322,3907.744169864973
0.058,1269.967809360475,1638.9310754618627,3844.607016935743
0.085,1240.4485090238218,1632.2211721629142,3536.064758818262
0.085,1228.4041651429568,1649.955978798196,3819.9386250996004
0.085,1218.1024605374619,1666.3350758672552,3399.4676669668456
0.113,1164.321661336881,1538.4748595164758,3278.141609393729
0.113,1131.819339494329,1628.2671852769788,3249.963791298977
0.14,1201.7336646040026,1702.311443316722,3770.3093263696255
0.14,1246.3535069522113,1637.706601658022,3586.488486718995
0.14,1281.403725269309,1654.5313576110716,3941.8375274216774
0.167,1314.9903976387068,1606.0968858619772,3790.0135496793755
0.168,1311.2792357935086,1636.7780134733462,3663.8889786573386
0.194,1134.5904229117596,1692.7379903100943,3461.751127153596
0.194,1166.2956163770932,1464.4811322568337,3145.1595261607085
0.194,1175.3228756803874,1604.491990674064,3382.845391754948
0.194,1297.4390453687256,1587.9913945991993,3583.157384584865
0.219,1328.3321489879233,1667.619462762496,3377.2170281156104
0.246,1315.5302052022032,1661.7073057426303,3802.913855393623
0.246,1343.0184915272305,1615.8071880614502,4153.25817772965
0.247,1294.6130122385146,1584.4763667000327,3550.110834347457
0.247,1301.3974995009348,1627.9945463362244,3676.171217238374
0.276,1213.3772114757473,1665.9899224244605,3672.0571399902883
0.303,1285.1874153416925,1662.0432451214008,3567.145439753344
0.303,1074.9803224563796,1647.4372143258374,3093.538407304253
0.303,1194.9535135110548,1508.4149244907228,3338.526162109686
0.303,1271.3658385110318,1586.0241285068557,3622.3574209592825
0.33,1195.340422864743,1629.5520528351117,3748.3690199156426
0.33,1288.1241237098707,1640.192123935384,3807.1900799840832
0.357,1257.9524369567355,1574.616566495806,3678.695500126812
0.357,1350.581895420631,1565.7577394306102,3799.623640678221
0.357,1267.187136007121,1637.97362151848,3453.8423981061073
0.357,1167.5246309898037,1680.492903868425,3678.565905936026
0.386,1121.1915896447724,1565.4801192728842,3299.820675715962
0.386,1156.8117595771516,1656.5734109875948,3203.0741708084315
0.414,1280.1412479204937,1700.533311013916,3576.1027226108067
0.415,1397.68510419862,1568.1862701056534,3820.1212637879357
0.416,1317.2386608992438,1497.077035921834,3663.9591431250324
0.416,1335.4368726414073,1695.587736560275,3880.4097534754183
0.442,1306.5925166135667,1618.8632243700206,4020.6008485632765
0.442,1289.352010434675,1614.2433144086335,3903.5925672720305
0.47,1187.4126098361664,1589.5401611387754,3546.9905467977424
0.47,1197.1439157833136,1589.4821456573216,3747.181725266329
0.471,1187.7144737622898,1641.8161757515347,3236.357192118739
0.471,1141.3689972706036,1630.853965661004,2979.639416211113
0.498,1251.2303880696616,1661.3283235616373,3539.527135740182
0.498,1252.7595307867086,1688.703052645823,3649.0255360629917
0.526,1263.152535561573,1628.5418660278442,3733.5523696707664
0.526,1231.2347823504267,1489.1270361304892,3604.1101674365577
0.526,1266.9121055535695,1440.0398818005372,3584.6151437835892
0.526,1314.3952797861243,1673.714505710172,3838.1116576719714
0.555,1156.7119311342744,1615.2379026769681,3752.2046015740534
0.555,1327.5542038446913,1605.3398522266152,3746.351668856982
0.582,1117.779493229249,1602.6066773715243,3176.381953327381
0.582,1146.9344763657484,1738.4631872708753,3286.5956028140286
0.61,1192.7812851791425,1646.224962270603,3753.871877469133
0.61,1242.2796251909263,1739.0117087453784,3801.643968778673
0.61,1264.8165752245286,1669.850857858645,3753.6314844525427
0.611,1340.147699844747,1667.222076631467,3598.4938338678744
0.638,1263.0556366333687,1757.1449718245806,3622.0218349176366
0.638,1271.0414883628034,1727.5323519105668,3969.111963303879
0.639,1174.8963026489012,1655.3454236122698,3517.393876663468
0.639,1174.4400426273958,1554.0857041902093,3692.7350030295474
0.665,1049.9765516625744,1532.0106094435687,2920.9964796976906
0.665,1151.8850109103262,1662.5797300923266,3208.225959721072
0.693,1294.4904750326236,1553.1035170557213,3786.3348758167895
0.693,1278.7027074988168,1562.559361464212,3868.68037615854
0.693,1258.492037385347,1625.0020476930954,3615.739130321298
0.693,1174.4976001933524,1702.831367068513,3938.0670330624125
0.72,1300.089728926207,1550.9520286636205,3599.5178371742263
0.72,1194.1072224407344,1578.7096677758977,3587.5837820828597
0.747,1218.9769419115169,1536.6713728307927,3694.293613645941
