Time,25W,25X,25Y
0.008,2100.761583927053,1681.2627415221755,4312.974550933838
0.008,2297.5457129583197,1772.9719179715403,3719.953260232129
0.031,2024.37613735436,1765.6128781317022,3683.8081607512795
0.031,2200.7426786701108,1896.2420227962252,3271.9823895082386
0.032,2238.017161789891,1944.2255098787496,2840.9192685390767
0.032,2342.09177205435,1917.217394256625,4007.7257939597303
0.058,2280.7524588319056,1779.778581375757,4489.937129690727
0.058,2348.208164098655,1777.029693346125,4618.815077334579
0.085,2178.7216438840555,1980.9188375357262,4357.704929594093
0.085,2490.679114452372,1925.0293151041496,3837.22287249002
0.085,2244.9766235289103,1681.8881730020162,4280.2861034954885
0.113,2356.2620851543793,1976.7469813916273,3781.60858073393
0.113,2204.5833561984577,1742.4637251567706,3667.391555111576
0.14,1958.2544981078638,1773.2753245066376,3154.5007303857915
0.14,2310.65570256901,1658.7344812146475,3464.8739844795687
0.14,2098.1411092450176,1835.9401387106643,4425.58256008798
0.167,2268.4661527532644,1909.4583462232672,4358.159301328136
0.168,2194.927195202497,1968.0663428946648,4010.1236399153063
0.194,2222.6401103883327,1737.2212112403697,4656.527000918757
0.194,2093.254217011759,1643.1558831967154,4393.60118005798
0.194,2424.483839374724,1894.6410185558916,3585.5362340722495
0.194,2478.3904780633698,1698.2269385099232,3566.31913151481
0.219,2383.2551661417747,1936.393333192109,3780.0496922494744
0.246,2170.2554707606682,1786.1360813120914,3465.4722322426696
0.246,2540.1359811826533,1667.014435924699,3689.675764723844
0.247,2172.277573255857,1869.548570105172,4342.330479265277
0.247,2116.182300685033,1785.7697148243647,4709.745797926475
0.276,2175.6018095005875,1878.1145805210108,4449.608079241922
0.303,2298.9265570235534,1599.612257640369,4605.7106667044545
0.303,2176.152448468078,1774.9259143744387,4212.750390629701
0.303,2075.3647944204226,1822.055576580131,3817.975325778409
0.303,2079.163409021633,1827.672954098993,3757.938757197382
0.33,2294.493834257111,1857.392890910539,4162.566185964089
0.33,2170.0786227450217,1895.333004212132,3704.951681063826
0.357,2374.2834247140213,1767.968387196733,3840.078919805549
0.357,2122.184416713144,1836.9630612866408,4511.652462980671
0.357,2462.366879533803,1865.438876797366,4473.5690350588175
0.357,2222.9923295151466,1838.9219381470418,4505.081897830987
0.386,2122.4192347398334,1684.940141110083,4670.734552954426
0.386,2207.704981035243,1718.1095016544368,3936.2900991673964
0.414,2235.556535980826,1778.0247179237228,3408.9465065033587
0.415,2377.165123174499,1684.170477164777,3032.144986756738
0.416,2216.4104716414977,1831.184469165337,3731.0558543371026
0.416,2247.783532484046,1882.9613496198135,3685.0655348646856
0.442,2304.1286215823247,1746.3398955500522,3790.178874403029
0.442,2171.431049078674,1570.034406626713,4120.877516787311
0.47,2221.2149326372237,1645.5218911275388,4439.742040933353
0.47,2227.031681942229,1938.5848656241064,4750.379279827197
0.471,2327.11221034396,1670.7312955555012,4149.690080408408
0.471,1924.1355061848767,1760.1635776099681,3592.5744841306496
0.498,2170.4268574775324,1688.1215765455795,4183.158892221587
0.498,2196.5534109987993,1937.3059201992105,3889.7809129289794
0.526,2060.069410277199,1766.9149371162391,3707.836425372839
0.526,2188.257922195623,1964.5401196831463,3437.207370423512
0.526,2090.163422864042,1710.422936754363,3539.1542713904128
0.526,2338.7191936463432,1785.896301885103,4222.303875097022
0.555,2393.9529729924457,1900.1173448486156,4373.814299661122
0.555,2393.379055482916,1973.8573785928193,4654.108970897936
0.582,2397.86603324258,1738.907328945722,3959.0111388839773
0.582,2303.3144232503905,1657.63422479045,3451.0819138045777
0.61,2313.730642424016,1827.0963170519155,3467.256468911538
0.61,2543.666817959476,1622.5755584342305,3711.4567510459724
0.61,2254.0719919625117,1796.460047495429,3361.311118907685
0.611,2363.733709682031,1606.4859343675005,3498.8310723743166
0.638,2396.8243023889713,1896.546871510458,4193.315956522024
0.638,2416.2120393952014,1742.0070549436282,4157.140935288004
0.639,2166.5078319295935,1760.5461985742252,4181.365097127938
0.639,2347.924998423286,1881.8618727890682,4369.596022495971
0.665,2247.2658364126373,1769.8090169610957,4668.904205112284
0.665,2067.151359117922,1654.2785688048446,3851.4035315220376
0.693,2275.5111503508397,1805.4058219651874,3892.6394681932993
0.693,2050.8645770999974,1833.4481770866814,3496.19127095964
0.693,2241.4691733498635,1952.2854730577963,3378.252121137379
