held_out_day,n_test_original,best_val_acc,test_acc,test_macro_f1
1,103,0.9481481516802752,0.8349514563106796,0.8296626585419689
2,103,0.9481481516802752,0.8737864077669902,0.8764259814259815
3,102,0.9629629664950901,0.9019607843137255,0.899143971970059
4,102,0.9481481481481482,0.9019607843137255,0.9005908584169453
5,101,0.9555555555555556,0.8712871287128713,0.8677757612421859
6,100,0.9777777777777777,0.89,0.8872727272727272
7,99,0.9629629629629629,0.9090909090909091,0.9075499338242967
8,98,0.9338235294117647,0.8979591836734694,0.8836448433431192
9,96,0.9264705882352942,0.8333333333333334,0.8238905423280423
10,95,0.9558823529411765,0.8421052631578947,0.8321520568803178
