held_out_fold,held_out_groups,validation_block,n_train_total,n_train_original,n_val_original,n_test_original,best_val_acc,test_acc,test_macro_f1
1,1,2,1920,1920,240,240,0.8291666666666667,0.8041666666666667,0.8005530035288091
2,2,3,1920,1920,240,240,0.8666666666666667,0.8166666666666667,0.816638202517374
3,3,4,1920,1920,240,240,0.85,0.8166666666666667,0.81726493840022
4,4,5,1920,1920,240,240,0.8125,0.8125,0.8106791811878789
5,5,6,1920,1920,240,240,0.7666666666666667,0.7958333333333333,0.7922943825263504
6,6,7,1920,1920,240,240,0.8416666666666667,0.725,0.7266767121276811
7,7,8,1920,1920,240,240,0.8458333333333333,0.8291666666666667,0.8273176870879545
8,8,9,1920,1920,240,240,0.8458333333333333,0.8208333333333333,0.8210231533071218
9,9,10,1920,1920,240,240,0.8166666666666667,0.825,0.8235723623430291
10,10,1,1920,1920,240,240,0.8458333333333333,0.7875,0.7947281866431938
