block,class_index,class_name,n_original
1,0,clipper,30
1,1,earbud,30
1,2,eraser,30
1,3,finger,30
1,4,hotpeltier,30
1,5,peltier,30
1,6,pen,30
1,7,sponge,30
2,0,clipper,30
2,1,earbud,30
2,2,eraser,30
2,3,finger,30
2,4,hotpeltier,30
2,5,peltier,30
2,6,pen,30
2,7,sponge,30
3,0,clipper,30
3,1,earbud,30
3,2,eraser,30
3,3,finger,30
3,4,hotpeltier,30
3,5,peltier,30
3,6,pen,30
3,7,sponge,30
4,0,clipper,30
4,1,earbud,30
4,2,eraser,30
4,3,finger,30
4,4,hotpeltier,30
4,5,peltier,30
4,6,pen,30
4,7,sponge,30
5,0,clipper,30
5,1,earbud,30
5,2,eraser,30
5,3,finger,30
5,4,hotpeltier,30
5,5,peltier,30
5,6,pen,30
5,7,sponge,30
6,0,clipper,30
6,1,earbud,30
6,2,eraser,30
6,3,finger,30
6,4,hotpeltier,30
6,5,peltier,30
6,6,pen,30
6,7,sponge,30
7,0,clipper,30
7,1,earbud,30
7,2,eraser,30
7,3,finger,30
7,4,hotpeltier,30
7,5,peltier,30
7,6,pen,30
7,7,sponge,30
8,0,clipper,30
8,1,earbud,30
8,2,eraser,30
8,3,finger,30
8,4,hotpeltier,30
8,5,peltier,30
8,6,pen,30
8,7,sponge,30
9,0,clipper,30
9,1,earbud,30
9,2,eraser,30
9,3,finger,30
9,4,hotpeltier,30
9,5,peltier,30
9,6,pen,30
9,7,sponge,30
10,0,clipper,30
10,1,earbud,30
10,2,eraser,30
10,3,finger,30
10,4,hotpeltier,30
10,5,peltier,30
10,6,pen,30
10,7,sponge,30
